Notes,Infant Birth Weight 12,Infant Birth Weight 12 Code,County of Residence,County of Residence Code,Year,Year Code,Births,Average Birth Weight (grams)
,499 grams or less,1,"Jefferson County, AL",1073,2019,2019,25,359.88
,499 grams or less,1,"Mobile County, AL",1097,2019,2019,27,397.74
,499 grams or less,1,"Montgomery County, AL",1101,2019,2019,11,366.82
,499 grams or less,1,"Tuscaloosa County, AL",1125,2019,2019,13,394.85
,499 grams or less,1,"Unidentified Counties, AL",1999,2019,2019,36,394.58
,499 grams or less,1,"Maricopa County, AZ",4013,2019,2019,52,370.38
,499 grams or less,1,"Unidentified Counties, AR",5999,2019,2019,40,378.12
,499 grams or less,1,"Alameda County, CA",6001,2019,2019,12,405.33
,499 grams or less,1,"Contra Costa County, CA",6013,2019,2019,13,389.69
,499 grams or less,1,"Fresno County, CA",6019,2019,2019,16,397.12
,499 grams or less,1,"Kern County, CA",6029,2019,2019,14,406.57
,499 grams or less,1,"Los Angeles County, CA",6037,2019,2019,97,388.61
,499 grams or less,1,"Monterey County, CA",6053,2019,2019,13,397.77
,499 grams or less,1,"Orange County, CA",6059,2019,2019,25,396.6
,499 grams or less,1,"Riverside County, CA",6065,2019,2019,26,398.5
,499 grams or less,1,"Sacramento County, CA",6067,2019,2019,31,377.23
,499 grams or less,1,"San Bernardino County, CA",6071,2019,2019,54,375.28
,499 grams or less,1,"San Diego County, CA",6073,2019,2019,34,387.38
,499 grams or less,1,"Santa Clara County, CA",6085,2019,2019,12,412.75
,499 grams or less,1,"Stanislaus County, CA",6099,2019,2019,16,357.12
,499 grams or less,1,"Unidentified Counties, CA",6999,2019,2019,16,408.19
,499 grams or less,1,"Arapahoe County, CO",8005,2019,2019,11,387.91
,499 grams or less,1,"Fairfield County, CT",9001,2019,2019,13,401.77
,499 grams or less,1,"Hartford County, CT",9003,2019,2019,18,379.11
,499 grams or less,1,"New Haven County, CT",9009,2019,2019,13,401.38
,499 grams or less,1,"New Castle County, DE",10003,2019,2019,16,380.5
,499 grams or less,1,"District of Columbia, DC",11001,2019,2019,19,381.79
,499 grams or less,1,"Broward County, FL",12011,2019,2019,32,427.41
,499 grams or less,1,"Duval County, FL",12031,2019,2019,26,371.81
,499 grams or less,1,"Hillsborough County, FL",12057,2019,2019,34,350.47
,499 grams or less,1,"Lee County, FL",12071,2019,2019,11,415.18
,499 grams or less,1,"Miami-Dade County, FL",12086,2019,2019,48,398.9
,499 grams or less,1,"Orange County, FL",12095,2019,2019,31,375.23
,499 grams or less,1,"Palm Beach County, FL",12099,2019,2019,23,398.52
,499 grams or less,1,"Pinellas County, FL",12103,2019,2019,16,371.25
