Notes,Infant Birth Weight 12,Infant Birth Weight 12 Code,County of Residence,County of Residence Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Year,Year Code,Births,Average Birth Weight (grams)
,499 grams or less,1,"Jefferson County, AL",1073,Not Hispanic or Latino,2186-5,2019,2019,24,364.5
,499 grams or less,1,"Mobile County, AL",1097,Not Hispanic or Latino,2186-5,2019,2019,27,397.74
,499 grams or less,1,"Montgomery County, AL",1101,Not Hispanic or Latino,2186-5,2019,2019,11,366.82
,499 grams or less,1,"Tuscaloosa County, AL",1125,Not Hispanic or Latino,2186-5,2019,2019,13,394.85
,499 grams or less,1,"Unidentified Counties, AL",1999,Not Hispanic or Latino,2186-5,2019,2019,36,394.58
,499 grams or less,1,"Maricopa County, AZ",4013,Hispanic or Latino,2135-2,2019,2019,26,379.19
,499 grams or less,1,"Maricopa County, AZ",4013,Not Hispanic or Latino,2186-5,2019,2019,26,361.58
,499 grams or less,1,"Unidentified Counties, AR",5999,Not Hispanic or Latino,2186-5,2019,2019,34,370.38
,499 grams or less,1,"Fresno County, CA",6019,Hispanic or Latino,2135-2,2019,2019,15,400.93
,499 grams or less,1,"Los Angeles County, CA",6037,Hispanic or Latino,2135-2,2019,2019,69,388.25
,499 grams or less,1,"Los Angeles County, CA",6037,Not Hispanic or Latino,2186-5,2019,2019,24,381.08
,499 grams or less,1,"Orange County, CA",6059,Hispanic or Latino,2135-2,2019,2019,10,435
,499 grams or less,1,"Orange County, CA",6059,Not Hispanic or Latino,2186-5,2019,2019,13,360.92
,499 grams or less,1,"Riverside County, CA",6065,Hispanic or Latino,2135-2,2019,2019,15,397.53
,499 grams or less,1,"Sacramento County, CA",6067,Not Hispanic or Latino,2186-5,2019,2019,20,361.9
,499 grams or less,1,"San Bernardino County, CA",6071,Hispanic or Latino,2135-2,2019,2019,29,376.59
,499 grams or less,1,"San Bernardino County, CA",6071,Not Hispanic or Latino,2186-5,2019,2019,20,383.65
,499 grams or less,1,"San Diego County, CA",6073,Not Hispanic or Latino,2186-5,2019,2019,13,391.46
,499 grams or less,1,"San Diego County, CA",6073,Unknown or Not Stated,9,2019,2019,14,402.07
,499 grams or less,1,"Stanislaus County, CA",6099,Hispanic or Latino,2135-2,2019,2019,10,358.6
,499 grams or less,1,"Hartford County, CT",9003,Not Hispanic or Latino,2186-5,2019,2019,11,388.55
,499 grams or less,1,"New Castle County, DE",10003,Not Hispanic or Latino,2186-5,2019,2019,13,364.85
,499 grams or less,1,"District of Columbia, DC",11001,Not Hispanic or Latino,2186-5,2019,2019,18,385.78
,499 grams or less,1,"Broward County, FL",12011,Not Hispanic or Latino,2186-5,2019,2019,25,424.2
,499 grams or less,1,"Duval County, FL",12031,Not Hispanic or Latino,2186-5,2019,2019,24,379.08
,499 grams or less,1,"Hillsborough County, FL",12057,Not Hispanic or Latino,2186-5,2019,2019,27,348.07
,499 grams or less,1,"Miami-Dade County, FL",12086,Hispanic or Latino,2135-2,2019,2019,23,397.65
,499 grams or less,1,"Miami-Dade County, FL",12086,Not Hispanic or Latino,2186-5,2019,2019,24,397.88
,499 grams or less,1,"Orange County, FL",12095,Hispanic or Latino,2135-2,2019,2019,10,362.2
,499 grams or less,1,"Orange County, FL",12095,Not Hispanic or Latino,2186-5,2019,2019,19,371.05
,499 grams or less,1,"Palm Beach County, FL",12099,Not Hispanic or Latino,2186-5,2019,2019,19,397.68
,499 grams or less,1,"Pinellas County, FL",12103,Not Hispanic or Latino,2186-5,2019,2019,15,373.33
,499 grams or less,1,"Polk County, FL",12105,Not Hispanic or Latino,2186-5,2019,2019,13,428.23
,499 grams or less,1,"Unidentified Counties, FL",12999,Not Hispanic or Latino,2186-5,2019,2019,29,369.79
,499 grams or less,1,"DeKalb County, GA",13089,Not Hispanic or Latino,2186-5,2019,2019,17,406.88
,499 grams or less,1,"Fulton County, GA",13121,Not Hispanic or Latino,2186-5,2019,2019,18,405.56
,499 grams or less,1,"Gwinnett County, GA",13135,Not Hispanic or Latino,2186-5,2019,2019,20,397.4
,499 grams or less,1,"Unidentified Counties, GA",13999,Not Hispanic or Latino,2186-5,2019,2019,79,384.51
,499 grams or less,1,"Honolulu County, HI",15003,Not Hispanic or Latino,2186-5,2019,2019,15,402.47
,499 grams or less,1,"Cook County, IL",17031,Hispanic or Latino,2135-2,2019,2019,29,412.34
,499 grams or less,1,"Cook County, IL",17031,Not Hispanic or Latino,2186-5,2019,2019,59,385.24
,499 grams or less,1,"Will County, IL",17197,Not Hispanic or Latino,2186-5,2019,2019,11,368.09
,499 grams or less,1,"Unidentified Counties, IL",17999,Not Hispanic or Latino,2186-5,2019,2019,19,393.37
,499 grams or less,1,"Allen County, IN",18003,Not Hispanic or Latino,2186-5,2019,2019,10,396
,499 grams or less,1,"Marion County, IN",18097,Not Hispanic or Latino,2186-5,2019,2019,21,355.95
,499 grams or less,1,"Unidentified Counties, IN",18999,Not Hispanic or Latino,2186-5,2019,2019,23,368.78
,499 grams or less,1,"Unidentified Counties, IA",19999,Not Hispanic or Latino,2186-5,2019,2019,16,413.19
,499 grams or less,1,"Unidentified Counties, KS",20999,Not Hispanic or Latino,2186-5,2019,2019,22,394.45
,499 grams or less,1,"Jefferson County, KY",21111,Not Hispanic or Latino,2186-5,2019,2019,16,371.88
,499 grams or less,1,"Unidentified Counties, KY",21999,Not Hispanic or Latino,2186-5,2019,2019,32,328.22
,499 grams or less,1,"Caddo Parish, LA",22017,Not Hispanic or Latino,2186-5,2019,2019,12,360.67
,499 grams or less,1,"East Baton Rouge Parish, LA",22033,Not Hispanic or Latino,2186-5,2019,2019,14,369.07
,499 grams or less,1,"Jefferson Parish, LA",22051,Not Hispanic or Latino,2186-5,2019,2019,11,418.36
,499 grams or less,1,"Orleans Parish, LA",22071,Not Hispanic or Latino,2186-5,2019,2019,13,371.38
,499 grams or less,1,"Unidentified Counties, LA",22999,Not Hispanic or Latino,2186-5,2019,2019,29,390.72
,499 grams or less,1,"Baltimore County, MD",24005,Not Hispanic or Latino,2186-5,2019,2019,18,398.17
,499 grams or less,1,"Montgomery County, MD",24031,Not Hispanic or Latino,2186-5,2019,2019,11,381.64
,499 grams or less,1,"Prince George's County, MD",24033,Not Hispanic or Latino,2186-5,2019,2019,16,395.25
,499 grams or less,1,"Baltimore city, MD",24510,Not Hispanic or Latino,2186-5,2019,2019,21,358.95
,499 grams or less,1,"Middlesex County, MA",25017,Not Hispanic or Latino,2186-5,2019,2019,14,386.07
,499 grams or less,1,"Macomb County, MI",26099,Not Hispanic or Latino,2186-5,2019,2019,18,386.5
,499 grams or less,1,"Oakland County, MI",26125,Not Hispanic or Latino,2186-5,2019,2019,18,361.5
,499 grams or less,1,"Wayne County, MI",26163,Not Hispanic or Latino,2186-5,2019,2019,61,403.95
,499 grams or less,1,"Unidentified Counties, MI",26999,Not Hispanic or Latino,2186-5,2019,2019,22,393.41
,499 grams or less,1,"Hennepin County, MN",27053,Not Hispanic or Latino,2186-5,2019,2019,16,375.31
,499 grams or less,1,"Ramsey County, MN",27123,Not Hispanic or Latino,2186-5,2019,2019,14,371.79
,499 grams or less,1,"Unidentified Counties, MN",27999,Not Hispanic or Latino,2186-5,2019,2019,16,385.62
,499 grams or less,1,"Hinds County, MS",28049,Not Hispanic or Latino,2186-5,2019,2019,13,400.38
,499 grams or less,1,"Unidentified Counties, MS",28999,Not Hispanic or Latino,2186-5,2019,2019,44,405.14
,499 grams or less,1,"Jackson County, MO",29095,Not Hispanic or Latino,2186-5,2019,2019,11,419.18
,499 grams or less,1,"St. Louis County, MO",29189,Not Hispanic or Latino,2186-5,2019,2019,20,371.25
,499 grams or less,1,"Unidentified Counties, MO",29999,Not Hispanic or Latino,2186-5,2019,2019,21,377.43
,499 grams or less,1,"Clark County, NV",32003,Not Hispanic or Latino,2186-5,2019,2019,14,425.86
,499 grams or less,1,"Essex County, NJ",34013,Not Hispanic or Latino,2186-5,2019,2019,10,405.7
,499 grams or less,1,"Ocean County, NJ",34029,Not Hispanic or Latino,2186-5,2019,2019,12,367.33
,499 grams or less,1,"Bronx County, NY",36005,Not Hispanic or Latino,2186-5,2019,2019,12,351.92
,499 grams or less,1,"Erie County, NY",36029,Not Hispanic or Latino,2186-5,2019,2019,16,405.19
,499 grams or less,1,"Kings County, NY",36047,Not Hispanic or Latino,2186-5,2019,2019,23,410.61
,499 grams or less,1,"Monroe County, NY",36055,Not Hispanic or Latino,2186-5,2019,2019,18,389
,499 grams or less,1,"Nassau County, NY",36059,Not Hispanic or Latino,2186-5,2019,2019,10,375.6
,499 grams or less,1,"Queens County, NY",36081,Not Hispanic or Latino,2186-5,2019,2019,14,366.21
,499 grams or less,1,"Suffolk County, NY",36103,Not Hispanic or Latino,2186-5,2019,2019,12,408.17
,499 grams or less,1,"Unidentified Counties, NY",36999,Not Hispanic or Latino,2186-5,2019,2019,17,347.94
,499 grams or less,1,"Forsyth County, NC",37067,Not Hispanic or Latino,2186-5,2019,2019,11,421.64
,499 grams or less,1,"Guilford County, NC",37081,Not Hispanic or Latino,2186-5,2019,2019,17,368.47
,499 grams or less,1,"Mecklenburg County, NC",37119,Not Hispanic or Latino,2186-5,2019,2019,17,386.65
,499 grams or less,1,"Pitt County, NC",37147,Not Hispanic or Latino,2186-5,2019,2019,11,395.91
,499 grams or less,1,"Wake County, NC",37183,Not Hispanic or Latino,2186-5,2019,2019,23,370.7
,499 grams or less,1,"Unidentified Counties, NC",37999,Not Hispanic or Latino,2186-5,2019,2019,47,372.26
,499 grams or less,1,"Cuyahoga County, OH",39035,Not Hispanic or Latino,2186-5,2019,2019,30,363.67
,499 grams or less,1,"Franklin County, OH",39049,Not Hispanic or Latino,2186-5,2019,2019,38,378.92
,499 grams or less,1,"Hamilton County, OH",39061,Not Hispanic or Latino,2186-5,2019,2019,18,382.83
,499 grams or less,1,"Lucas County, OH",39095,Not Hispanic or Latino,2186-5,2019,2019,14,376.43
,499 grams or less,1,"Montgomery County, OH",39113,Not Hispanic or Latino,2186-5,2019,2019,19,373.63
,499 grams or less,1,"Unidentified Counties, OH",39999,Not Hispanic or Latino,2186-5,2019,2019,29,362.9
,499 grams or less,1,"Oklahoma County, OK",40109,Not Hispanic or Latino,2186-5,2019,2019,18,372.28
,499 grams or less,1,"Tulsa County, OK",40143,Not Hispanic or Latino,2186-5,2019,2019,14,369.86
,499 grams or less,1,"Unidentified Counties, OK",40999,Not Hispanic or Latino,2186-5,2019,2019,24,329.04
,499 grams or less,1,"Multnomah County, OR",41051,Not Hispanic or Latino,2186-5,2019,2019,10,398.4
,499 grams or less,1,"Allegheny County, PA",42003,Not Hispanic or Latino,2186-5,2019,2019,15,362.07
,499 grams or less,1,"Delaware County, PA",42045,Not Hispanic or Latino,2186-5,2019,2019,17,336
,499 grams or less,1,"Montgomery County, PA",42091,Not Hispanic or Latino,2186-5,2019,2019,13,336.77
,499 grams or less,1,"Philadelphia County, PA",42101,Not Hispanic or Latino,2186-5,2019,2019,32,378.38
,499 grams or less,1,"Philadelphia County, PA",42101,Unknown or Not Stated,9,2019,2019,15,351.67
,499 grams or less,1,"Unidentified Counties, PA",42999,Not Hispanic or Latino,2186-5,2019,2019,11,366.09
,499 grams or less,1,"Unidentified Counties, SC",45999,Not Hispanic or Latino,2186-5,2019,2019,37,390.32
,499 grams or less,1,"Davidson County, TN",47037,Not Hispanic or Latino,2186-5,2019,2019,23,394.35
,499 grams or less,1,"Shelby County, TN",47157,Not Hispanic or Latino,2186-5,2019,2019,29,395.21
,499 grams or less,1,"Unidentified Counties, TN",47999,Not Hispanic or Latino,2186-5,2019,2019,25,363.72
,499 grams or less,1,"Bell County, TX",48027,Not Hispanic or Latino,2186-5,2019,2019,14,410.79
,499 grams or less,1,"Bexar County, TX",48029,Hispanic or Latino,2135-2,2019,2019,24,373.5
,499 grams or less,1,"Bexar County, TX",48029,Not Hispanic or Latino,2186-5,2019,2019,15,390.8
,499 grams or less,1,"Dallas County, TX",48113,Hispanic or Latino,2135-2,2019,2019,17,342.12
,499 grams or less,1,"Dallas County, TX",48113,Not Hispanic or Latino,2186-5,2019,2019,40,383.82
,499 grams or less,1,"El Paso County, TX",48141,Hispanic or Latino,2135-2,2019,2019,10,407.3
,499 grams or less,1,"Fort Bend County, TX",48157,Not Hispanic or Latino,2186-5,2019,2019,10,402.9
,499 grams or less,1,"Harris County, TX",48201,Hispanic or Latino,2135-2,2019,2019,49,384.29
,499 grams or less,1,"Harris County, TX",48201,Not Hispanic or Latino,2186-5,2019,2019,71,373.07
,499 grams or less,1,"Hidalgo County, TX",48215,Hispanic or Latino,2135-2,2019,2019,11,385.91
,499 grams or less,1,"Tarrant County, TX",48439,Hispanic or Latino,2135-2,2019,2019,12,421.58
,499 grams or less,1,"Tarrant County, TX",48439,Not Hispanic or Latino,2186-5,2019,2019,27,364.74
,499 grams or less,1,"Travis County, TX",48453,Hispanic or Latino,2135-2,2019,2019,16,396.12
,499 grams or less,1,"Travis County, TX",48453,Not Hispanic or Latino,2186-5,2019,2019,13,313
,499 grams or less,1,"Unidentified Counties, TX",48999,Hispanic or Latino,2135-2,2019,2019,33,378.21
,499 grams or less,1,"Unidentified Counties, TX",48999,Not Hispanic or Latino,2186-5,2019,2019,33,383.3
,499 grams or less,1,"Davis County, UT",49011,Not Hispanic or Latino,2186-5,2019,2019,11,390.36
,499 grams or less,1,"Salt Lake County, UT",49035,Not Hispanic or Latino,2186-5,2019,2019,13,405.15
,499 grams or less,1,"Utah County, UT",49049,Not Hispanic or Latino,2186-5,2019,2019,10,375.9
,499 grams or less,1,"Fairfax County, VA",51059,Not Hispanic or Latino,2186-5,2019,2019,10,352
,499 grams or less,1,"Henrico County, VA",51087,Not Hispanic or Latino,2186-5,2019,2019,10,356.4
,499 grams or less,1,"Richmond city, VA",51760,Not Hispanic or Latino,2186-5,2019,2019,11,397.82
,499 grams or less,1,"Unidentified Counties, VA",51999,Not Hispanic or Latino,2186-5,2019,2019,47,369.6
,499 grams or less,1,"King County, WA",53033,Not Hispanic or Latino,2186-5,2019,2019,16,393.12
,499 grams or less,1,"Unidentified Counties, WV",54999,Not Hispanic or Latino,2186-5,2019,2019,20,390.05
,499 grams or less,1,"Brown County, WI",55009,Not Hispanic or Latino,2186-5,2019,2019,10,357.8
,499 grams or less,1,"Milwaukee County, WI",55079,Not Hispanic or Latino,2186-5,2019,2019,18,362
,499 grams or less,1,"Unidentified Counties, WI",55999,Not Hispanic or Latino,2186-5,2019,2019,24,381.67
,499 grams or less,1,"Unidentified Counties, WY",56999,Not Hispanic or Latino,2186-5,2019,2019,11,404.18
,500 - 999 grams,2,"Houston County, AL",1069,Not Hispanic or Latino,2186-5,2019,2019,12,759.75
,500 - 999 grams,2,"Jefferson County, AL",1073,Not Hispanic or Latino,2186-5,2019,2019,65,749.23
,500 - 999 grams,2,"Madison County, AL",1089,Not Hispanic or Latino,2186-5,2019,2019,37,750.89
,500 - 999 grams,2,"Mobile County, AL",1097,Not Hispanic or Latino,2186-5,2019,2019,35,702.2
,500 - 999 grams,2,"Montgomery County, AL",1101,Not Hispanic or Latino,2186-5,2019,2019,34,786.76
,500 - 999 grams,2,"Tuscaloosa County, AL",1125,Not Hispanic or Latino,2186-5,2019,2019,20,675.1
,500 - 999 grams,2,"Unidentified Counties, AL",1999,Not Hispanic or Latino,2186-5,2019,2019,132,768.52
,500 - 999 grams,2,"Unidentified Counties, AK",2999,Not Hispanic or Latino,2186-5,2019,2019,16,753.12
,500 - 999 grams,2,"Maricopa County, AZ",4013,Hispanic or Latino,2135-2,2019,2019,82,790.67
,500 - 999 grams,2,"Maricopa County, AZ",4013,Not Hispanic or Latino,2186-5,2019,2019,123,781.54
,500 - 999 grams,2,"Pima County, AZ",4019,Hispanic or Latino,2135-2,2019,2019,20,807.7
,500 - 999 grams,2,"Pima County, AZ",4019,Not Hispanic or Latino,2186-5,2019,2019,15,830.73
,500 - 999 grams,2,"Pinal County, AZ",4021,Hispanic or Latino,2135-2,2019,2019,13,806.92
,500 - 999 grams,2,"Yuma County, AZ",4027,Hispanic or Latino,2135-2,2019,2019,12,824.42
,500 - 999 grams,2,"Benton County, AR",5007,Not Hispanic or Latino,2186-5,2019,2019,10,836.9
,500 - 999 grams,2,"Pulaski County, AR",5119,Not Hispanic or Latino,2186-5,2019,2019,39,716.1
,500 - 999 grams,2,"Sebastian County, AR",5131,Not Hispanic or Latino,2186-5,2019,2019,12,848.25
,500 - 999 grams,2,"Unidentified Counties, AR",5999,Not Hispanic or Latino,2186-5,2019,2019,113,787.95
,500 - 999 grams,2,"Alameda County, CA",6001,Hispanic or Latino,2135-2,2019,2019,13,846.23
,500 - 999 grams,2,"Alameda County, CA",6001,Not Hispanic or Latino,2186-5,2019,2019,50,773.22
,500 - 999 grams,2,"Contra Costa County, CA",6013,Hispanic or Latino,2135-2,2019,2019,18,733.44
,500 - 999 grams,2,"Contra Costa County, CA",6013,Not Hispanic or Latino,2186-5,2019,2019,27,782.7
,500 - 999 grams,2,"Fresno County, CA",6019,Hispanic or Latino,2135-2,2019,2019,33,696.97
,500 - 999 grams,2,"Fresno County, CA",6019,Not Hispanic or Latino,2186-5,2019,2019,36,721.17
,500 - 999 grams,2,"Kern County, CA",6029,Hispanic or Latino,2135-2,2019,2019,35,712.23
,500 - 999 grams,2,"Kern County, CA",6029,Not Hispanic or Latino,2186-5,2019,2019,15,758.53
,500 - 999 grams,2,"Los Angeles County, CA",6037,Hispanic or Latino,2135-2,2019,2019,271,767.82
,500 - 999 grams,2,"Los Angeles County, CA",6037,Not Hispanic or Latino,2186-5,2019,2019,167,757.79
,500 - 999 grams,2,"Los Angeles County, CA",6037,Unknown or Not Stated,9,2019,2019,18,742.28
,500 - 999 grams,2,"Merced County, CA",6047,Hispanic or Latino,2135-2,2019,2019,11,754
,500 - 999 grams,2,"Monterey County, CA",6053,Hispanic or Latino,2135-2,2019,2019,14,770.93
,500 - 999 grams,2,"Orange County, CA",6059,Hispanic or Latino,2135-2,2019,2019,60,790.95
,500 - 999 grams,2,"Orange County, CA",6059,Not Hispanic or Latino,2186-5,2019,2019,43,784.79
