level_0,index,County of Residence,County of Residence Code,low_birth_rate,Not Hispanic or Latino_low_birth_rate,Hispanic or Latino_low_birth_rate,Unknown or Not Stated_low_birth_rate,Black or African American_low_birth_rate,White_low_birth_rate,Asian_low_birth_rate,More than one race_low_birth_rate,American Indian or Alaska Native_low_birth_rate,Native Hawaiian or Other Pacific Islander_low_birth_rate
0,0,"Ada County, ID",16001.0,0.05735204392922514,0.05652173913043478,0.04230769230769231,,,0.055351401010564995,0.057803468208092484,0.07575757575757576,,
1,1,"Adams County, CO",8001.0,0.09452253999030538,0.09764631043256998,0.08829568788501027,0.1,0.10661764705882353,0.08922844746274287,0.10126582278481013,0.07643312101910828,,
2,2,"Adams County, PA",42001.0,0.05997693194925029,0.05821474773609314,,,,0.05795314426633785,,,,
3,3,"Aiken County, SC",45003.0,0.10339077265147303,0.10302282541640963,,,0.14522821576763487,0.065343258891646,,,,
4,4,"Alachua County, FL",12001.0,0.10665180230397622,0.10903814262023218,0.07063197026022305,,0.17625899280575538,0.07277289836888332,,,,
5,5,"Alamance County, NC",37001.0,0.09046849757673667,0.09065934065934066,0.0549738219895288,,0.09873949579831932,0.07722616233254531,,,,
6,6,"Alameda County, CA",6001.0,0.07248366371972984,0.0754409136819206,0.06393648140409527,0.036053130929791274,0.11222681630242173,0.059464169026355915,0.07844065656565656,0.06887417218543046,,
7,7,"Albany County, NY",36001.0,0.08278260869565217,0.07614607614607614,0.06319702602230483,,0.11181102362204724,0.05855599772598067,0.061488673139158574,,,
8,8,"Alexandria city, VA",51510.0,0.06255044390637611,0.060950413223140494,0.056925996204933584,,0.08918406072106262,0.05075187969924812,,,,
9,9,"Allegan County, MI",26005.0,0.059236165237724084,0.05897435897435897,,,,0.05714285714285714,,,,
10,10,"Allegheny County, PA",42003.0,0.08542007956938918,0.08496204167339687,0.03914590747330961,,0.13969465648854962,0.06786626679995557,0.06844547563805105,0.03968253968253968,,
11,11,"Allen County, IN",18003.0,0.0876463921420476,0.0880503144654088,0.06746031746031746,,0.1408284023668639,0.07248930279385854,0.05704697986577181,,,
12,12,"Allen County, OH",39003.0,0.07907348242811502,0.08,,,0.1,0.06559031281533804,,,,
13,13,"Anchorage Borough, AK",2020.0,0.06512337827524803,0.06268393172454385,0.04241071428571429,,0.07109004739336493,0.04207573632538569,0.09048723897911833,0.05708245243128964,0.057803468208092484,
14,14,"Anderson County, SC",45007.0,0.08854891052387576,0.08968609865470852,,,0.12971698113207547,0.07317073170731707,,,,
15,15,"Androscoggin County, ME",23001.0,0.07725694444444445,0.07808340727595386,,,0.06989247311827956,0.07467532467532467,,,,
16,16,"Anne Arundel County, MD",24003.0,0.07604227833235466,0.07801294385167046,0.05982905982905983,,0.10778443113772455,0.06854754440961337,0.057971014492753624,,,
17,17,"Anoka County, MN",27003.0,0.0665868263473054,0.06641025641025641,0.047058823529411764,,0.10150375939849623,0.05778491171749599,0.04748603351955307,,,
18,18,"Arapahoe County, CO",8005.0,0.09761330115312417,0.0949043379427922,0.09332023575638507,0.13761467889908258,0.13116279069767442,0.08322568739619857,0.1392156862745098,0.10714285714285714,,
19,19,"Arlington County, VA",51013.0,0.06664142370314274,0.06691449814126393,0.05439330543933055,,0.06866952789699571,0.05778240499739719,0.06683168316831684,,,
20,20,"Ascension Parish, LA",22005.0,0.08743169398907104,0.08869329722410291,,,0.140625,0.05580159433126661,,,,
21,21,"Ashtabula County, OH",39007.0,0.06666666666666667,0.06620553359683795,,,,0.06496062992125984,,,,
22,22,"Atlantic County, NJ",34001.0,0.07521186440677965,0.081203007518797,0.05166051660516605,,0.10067114093959731,0.06074766355140187,,,,
23,23,"Baldwin County, AL",1003.0,0.07235701906412478,0.07231208372978117,0.04975124378109453,,0.08461538461538462,0.062467464862051014,,,,
24,24,"Baltimore County, MD",24005.0,0.09102257359825236,0.09409945277182964,0.05483028720626632,,0.1272939120302942,0.06770627714172918,0.07481296758104738,0.05555555555555555,,
25,25,"Baltimore city, MD",24510.0,0.12246753246753246,0.12988178961544217,0.05177993527508091,,0.1548172757475083,0.06854256854256854,0.06944444444444445,0.1056338028169014,,
26,26,"Barnstable County, MA",25001.0,0.045953360768175584,0.04265041888804265,0.072992700729927,,,0.03868312757201646,,,,
27,27,"Bartow County, GA",13015.0,0.07009345794392523,0.0718835304822566,0.06321839080459771,,0.1232876712328767,0.05089538171536286,,,,
28,28,"Bay County, FL",12005.0,0.08673726676752395,0.0893760539629005,,,0.11526479750778816,0.06496985934360348,,,,
29,29,"Bay County, MI",26017.0,0.0707182320441989,0.07434052757793765,,,,0.0695754716981132,,,,
30,30,"Beaufort County, SC",45013.0,0.08667736757624397,0.07670454545454546,0.06060606060606061,,0.14420803782505912,0.05606060606060606,,,,
31,31,"Beaver County, PA",42007.0,0.06844850065189048,0.06598639455782312,,,0.07633587786259542,0.0663109756097561,,,,
32,32,"Bell County, TX",48027.0,0.09126403123474866,0.09732142857142857,0.07451923076923077,,0.1332934847579199,0.07164948453608247,0.0736196319018405,,,
33,33,"Benton County, AR",5007.0,0.06772908366533864,0.06548279689234185,0.05851755526657997,,,0.05989847715736041,0.10679611650485436,,,
34,34,"Benton County, WA",53005.0,0.06402199528672427,0.054071661237785014,0.06213364595545135,0.09016393442622951,,0.06244503078276165,,,,
35,35,"Bergen County, NJ",34003.0,0.0735719048677484,0.07035098522167488,0.07618250313938886,,0.10860366713681241,0.06295891266989533,0.08629737609329446,,,
36,36,"Berkeley County, SC",45015.0,0.09577070954211814,0.10141987829614604,0.04032258064516129,,0.12903225806451613,0.07452165156092648,,,,
37,37,"Berkeley County, WV",54003.0,0.07847222222222222,0.07404637247569185,,,0.11904761904761904,0.05995203836930456,,,,
38,38,"Berks County, PA",42011.0,0.08090270385352352,0.07380952380952381,0.08609656777196044,,0.0903954802259887,0.07313899010931807,,,,
39,39,"Berkshire County, MA",25003.0,0.0805523590333717,0.0792838874680307,,,,0.0764163372859025,,,,
40,40,"Bernalillo County, NM",35001.0,0.0981682884945621,0.09306149292995725,0.10208757637474541,,0.11659192825112108,0.09605011310248826,0.08955223880597014,0.05982905982905983,0.05148514851485148,
41,41,"Berrien County, MI",26021.0,0.071024512884978,0.07412491420727522,,,0.13089005235602094,0.04950495049504951,,,,
42,42,"Bexar County, TX",48029.0,0.08926861039806903,0.09333482192698449,0.08702513150204559,,0.1354120267260579,0.08410421414845601,0.10449438202247191,0.06142506142506143,,
43,43,"Bibb County, GA",13021.0,0.13002364066193853,0.13127797115862755,,,0.1655430711610487,0.059420289855072465,,,,
44,44,"Black Hawk County, IA",19013.0,0.06609547123623011,0.06767411300919843,,,0.09597523219814241,0.054841473864610114,,,,
45,45,"Blair County, PA",42013.0,0.05917159763313609,0.0592274678111588,,,,0.05658709106984969,,,,
46,46,"Blount County, TN",47009.0,0.07961007311129163,0.07951598962834917,,,,0.06935908691834942,,,,
47,47,"Bonneville County, ID",16019.0,0.07189901207464325,0.07270323859881031,0.05154639175257732,,,0.07122343480758185,,,,
48,48,"Boone County, KY",21015.0,0.06614077669902912,0.06556291390728476,,,0.1346153846153846,0.06267409470752089,,,,
49,49,"Boone County, MO",29019.0,0.09033511413307431,0.09268795056642637,,,0.12307692307692308,0.07607994842037395,,,,
50,50,"Bossier Parish, LA",22015.0,0.11592434411226357,0.11997273346966598,,,0.1463963963963964,0.08530805687203792,,,,
51,51,"Boulder County, CO",8013.0,0.07849419303163796,0.07679558011049724,0.05582922824302135,,,0.0745594215996385,,,,
52,52,"Brazoria County, TX",48039.0,0.08599663582842725,0.09732693625771076,0.058011049723756904,,0.11849710982658959,0.07011686143572621,0.11204481792717087,,,
53,53,"Brazos County, TX",48041.0,0.0775340393343419,0.08299240210403273,0.05908096280087528,,0.12311557788944724,0.06186069167072577,,,,
54,54,"Brevard County, FL",12009.0,0.07620889748549323,0.07349966284558328,0.08016877637130802,,0.12515337423312883,0.06676449009537784,0.07194244604316546,,,
55,55,"Bristol County, MA",25005.0,0.07742284786139686,0.07357422725293862,0.08846584546472565,,0.09850746268656717,0.07205387205387205,0.05319148936170213,,,
56,56,"Bronx County, NY",36005.0,0.10168702132063755,0.11272200072490032,0.09273824766782514,,0.11927781013395457,0.08493696084936961,0.08997429305912596,0.046875,,
57,57,"Broome County, NY",36007.0,0.06878850102669405,0.0697928026172301,,,0.09195402298850575,0.05524168236032643,,,,
58,58,"Broward County, FL",12011.0,0.0950824201123492,0.10336358054172068,0.07701035314139838,,0.13552137580234952,0.06667216087028185,0.08174097664543524,0.056140350877192984,,
59,59,"Brown County, WI",55009.0,0.060664730558244596,0.062359970126960415,0.038834951456310676,,,0.05478364430329496,,,,
60,60,"Brunswick County, NC",37019.0,0.07418397626112759,0.06958473625140292,0.09401709401709402,,0.0873015873015873,0.06741573033707865,,,,
61,61,"Bucks County, PA",42017.0,0.07447758528308626,0.07381476295259051,0.05928853754940711,,0.0821917808219178,0.06496020649602065,0.08591885441527446,,,
