name,population,white_total,black_total,native_american_total,asian_total,hawaiian_total,some_other_race_alone_total,two_more_races_total,hispanic_or_latino_total,hispanic_or_latino_white_total,hispanic_or_latino_black_total,hispanic_or_latino_american_indian_total,hispanic_or_latino_asian_total,hispanic_or_latino_hawaiian_total,hispanic_or_latino_some_other_race_total,hispanic_or_latino_two_or_more_races_total,not_hispanic_or_latino_total,state,county
"Fayette County, Illinois",21565.0,20245.0,1007.0,68.0,116.0,28.0,13.0,88.0,403.0,377.0,0.0,0.0,0.0,0.0,13.0,13.0,21162.0,17,051
"Logan County, Illinois",29003.0,25667.0,2003.0,73.0,218.0,10.0,230.0,802.0,985.0,618.0,19.0,38.0,0.0,8.0,206.0,96.0,28018.0,17,107
"Saline County, Illinois",23994.0,22234.0,632.0,53.0,178.0,54.0,122.0,721.0,428.0,277.0,0.0,0.0,5.0,0.0,110.0,36.0,23566.0,17,165
"Lake County, Illinois",701473.0,531609.0,47385.0,2162.0,54157.0,285.0,45309.0,20566.0,152141.0,99248.0,1462.0,1255.0,503.0,89.0,43985.0,5599.0,549332.0,17,097
"Massac County, Illinois",14219.0,12956.0,830.0,6.0,29.0,0.0,0.0,398.0,419.0,409.0,0.0,0.0,0.0,0.0,0.0,10.0,13800.0,17,127
"Cass County, Illinois",12493.0,11058.0,652.0,22.0,45.0,1.0,581.0,134.0,2362.0,1628.0,114.0,0.0,0.0,0.0,566.0,54.0,10131.0,17,017
"Huntington County, Indiana",36359.0,34850.0,357.0,157.0,263.0,28.0,420.0,284.0,894.0,391.0,30.0,0.0,0.0,0.0,420.0,53.0,35465.0,18,069
"White County, Indiana",24149.0,21955.0,123.0,84.0,55.0,10.0,1518.0,404.0,2021.0,383.0,9.0,4.0,0.0,10.0,1518.0,97.0,22128.0,18,181
"Jay County, Indiana",20840.0,20212.0,76.0,29.0,157.0,1.0,162.0,203.0,647.0,439.0,0.0,29.0,0.0,0.0,161.0,18.0,20193.0,18,075
"Shelby County, Indiana",44438.0,42110.0,519.0,38.0,250.0,11.0,796.0,714.0,1873.0,1104.0,0.0,17.0,0.0,11.0,723.0,18.0,42565.0,18,145
