,GEOID,STATE,COUNTY,TRACT,CNTY_FIPS,STUSAB,hh6_t_renters,hh6_transit_trips_renters
0,01089010800,01,089,010800,01089,AL,38.14709958,75.56240794
1,01089010701,01,089,010701,01089,AL,37.5957575,32.38388912
2,01059973000,01,059,973000,01059,AL,52.52905342,0.0
3,01059973200,01,059,973200,01059,AL,57.04997716,0.0
4,01089010401,01,089,010401,01089,AL,39.25052021,66.92670417
5,01089001000,01,089,001000,01089,AL,27.77207472,222.3693719
6,01089000902,01,089,000902,01089,AL,31.00273748,140.3301862
7,01089001200,01,089,001200,01089,AL,27.43021484,211.5747422
8,01069040700,01,069,040700,01069,AL,44.83405288,6.469361954
9,01069041000,01,069,041000,01069,AL,45.40058397,0.0
10,01069041200,01,069,041200,01069,AL,41.39593889,11.86049692
11,01069041500,01,069,041500,01069,AL,48.10205763,0.0
12,01069041100,01,069,041100,01069,AL,44.57143025,0.0
13,01089000201,01,089,000201,01089,AL,32.56381105,66.92670417
14,01089002200,01,089,002200,01089,AL,27.5282298,159.7605196
15,01089000301,01,089,000301,01089,AL,33.33337702,60.44992635
16,01089000302,01,089,000302,01089,AL,33.5233481,77.72133388
17,01089000202,01,089,000202,01089,AL,32.63882596,69.08563011
18,01089002722,01,089,002722,01089,AL,35.40587309,69.08563011
19,01089002911,01,089,002911,01089,AL,37.82977524,71.24455606
20,01013952800,01,013,952800,01013,AL,57.92362577,0.0
21,01089002802,01,089,002802,01089,AL,35.72264263,30.22496318
22,01089000601,01,089,000601,01089,AL,33.18194901,116.5820008
23,01089000403,01,089,000403,01089,AL,37.62157032,49.65529665
24,01089010502,01,089,010502,01089,AL,39.83380891,41.01959288
25,01089010501,01,089,010501,01089,AL,39.76033225,53.97314853
26,01089011400,01,089,011400,01089,AL,38.17052616,47.4963707
27,01089000901,01,089,000901,01089,AL,35.50765068,88.51596358
28,01089002921,01,089,002921,01089,AL,33.37686446,69.08563011
29,01089010612,01,089,010612,01089,AL,32.90188109,45.33744476
30,01089010702,01,089,010702,01089,AL,36.72483266,69.08563011
31,01089000602,01,089,000602,01089,AL,33.2519056,129.5355565
32,01089011014,01,089,011014,01089,AL,36.08467501,64.76777823
33,01089010301,01,089,010301,01089,AL,37.88100463,21.58925941
34,01089010302,01,089,010302,01089,AL,40.23169171,92.83381547
35,01089010200,01,089,010200,01089,AL,38.4609972,47.4963707
36,01059972900,01,059,972900,01059,AL,55.06791707,0.0
37,01059973700,01,059,973700,01059,AL,57.36441501,0.0
38,01059973400,01,059,973400,01059,AL,54.68527796,0.0
39,01069042100,01,069,042100,01069,AL,51.29342172,5.391134962
40,01089011021,01,089,011021,01089,AL,30.74656705,133.8534083
41,01089011200,01,089,011200,01089,AL,34.51713249,99.31059329
42,01089001801,01,089,001801,01089,AL,38.3351289,92.83381547
43,01089001901,01,089,001901,01089,AL,34.6560608,187.8265569
44,01089011011,01,089,011011,01089,AL,39.64939425,66.92670417
45,01089011022,01,089,011022,01089,AL,31.51634651,84.1981117
46,01089010622,01,089,010622,01089,AL,27.72327209,164.0783715
47,01089001902,01,089,001902,01089,AL,33.40433334,49.65529665
48,01059973600,01,059,973600,01059,AL,55.54720846,6.476777823
49,01059973300,01,059,973300,01059,AL,54.74852158,30.22496318
50,01059973500,01,059,973500,01059,AL,57.11205406,0.0
51,01103005101,01,103,005101,01103,AL,45.04397029,88.51596358
52,01103005105,01,103,005105,01103,AL,46.43314673,6.476777823
53,01103005600,01,103,005600,01103,AL,48.2052735,21.58925941
54,01103005500,01,103,005500,01103,AL,46.67369337,34.54281506
55,01103005405,01,103,005405,01103,AL,47.45384495,25.90711129
56,01101005901,01,101,005901,01101,AL,44.79951455,54.99609526
57,01101005301,01,101,005301,01101,AL,40.33216888,40.89453237
58,01101005403,01,101,005403,01101,AL,33.75242016,86.01953361
59,01097007400,01,097,007400,01097,AL,43.04760307,11.86074811
60,01097007700,01,097,007700,01097,AL,40.24825163,69.47009606
61,01033020902,01,033,020902,01033,AL,48.79903798,28.06603723
62,01033020901,01,033,020901,01033,AL,50.4939392,30.22496318
63,01023956700,01,023,956700,01023,AL,58.82059507,23.72149622
64,01043964800,01,043,964800,01043,AL,46.50870985,0.0
65,01089000702,01,089,000702,01089,AL,29.01136293,86.35703764
66,01087232100,01,087,232100,01087,AL,58.51066468,0.0
67,01101002400,01,101,002400,01101,AL,41.21606091,18.33203175
68,01101002201,01,101,002201,01101,AL,40.62772752,54.99609526
69,01101002300,01,101,002300,01101,AL,40.77484641,52.17578268
70,01101002500,01,101,002500,01101,AL,41.56934746,0.0
71,01101002202,01,101,002202,01101,AL,42.68312749,26.79296949
72,01101002600,01,101,002600,01101,AL,39.48993972,36.66406351
73,01103000200,01,103,000200,01103,AL,45.42751288,58.29100041
74,01101002900,01,101,002900,01101,AL,37.59871376,52.17578268
75,01101002700,01,101,002700,01101,AL,41.02799729,22.56250062
76,01101003100,01,101,003100,01101,AL,40.53575866,54.99609526
77,01101003000,01,101,003000,01101,AL,39.67681401,43.71484495
78,01101003200,01,101,003200,01101,AL,41.19859259,38.0742198
79,01113030402,01,113,030402,01113,AL,43.01824231,32.39744867
80,01107050000,01,107,050000,01107,AL,46.85410915,8.97888293
81,01107050300,01,107,050300,01107,AL,44.72337042,33.3501366
82,01107050100,01,107,050100,01107,AL,46.17860931,3.848092684
83,01101005302,01,101,005302,01101,AL,40.65424291,40.89453237
84,01097006501,01,097,006501,01097,AL,48.89160086,5.08317776
85,01097006702,01,097,006702,01097,AL,48.90043255,20.33271104
86,01097006407,01,097,006407,01097,AL,50.77031937,1.694392587
87,01097006406,01,097,006406,01097,AL,51.66191436,0.0
88,01097007202,01,097,007202,01097,AL,48.64078716,15.24953328
89,01097007201,01,097,007201,01097,AL,47.15771791,20.33271104
90,01097006701,01,097,006701,01097,AL,46.81654078,45.74859984
91,01059973100,01,059,973100,01059,AL,56.23500633,0.0
92,01089000502,01,089,000502,01089,AL,33.29159341,88.51596358
93,01089000501,01,089,000501,01089,AL,35.2092036,77.72133388
94,01089000503,01,089,000503,01089,AL,33.5770482,99.31059329
95,01089000701,01,089,000701,01089,AL,29.88084752,110.105223
96,01033020704,01,033,020704,01033,AL,43.11530136,4.317851882
97,01033020703,01,033,020703,01033,AL,43.18777717,23.74818535
98,01097006502,01,097,006502,01097,AL,50.17216689,33.88785174
99,01127020800,01,127,020800,01127,AL,42.49057128,21.80585854
100,01127021200,01,127,021200,01127,AL,42.9084803,48.74250733
101,01127021700,01,127,021700,01127,AL,41.50913286,20.52316098
102,01127021600,01,127,021600,01127,AL,40.42787537,33.3501366
103,01127021900,01,127,021900,01127,AL,42.2080567,51.30790246
104,01001020802,01,001,020802,01001,AL,46.8605051,25.3828132
105,01101003301,01,101,003301,01101,AL,38.91904488,43.71484495
106,01101003302,01,101,003302,01101,AL,37.59093946,19.74218804
107,01119011500,01,119,011500,01119,AL,91.65220508,0.0
