voting_population,state,county
41959.0,01,001
167986.0,01,003
19468.0,01,005
17583.0,01,007
42978.0,01,009
7808.0,01,011
15080.0,01,013
88122.0,01,015
10334.0,21,135
18513.0,21,137
7181.0,21,139
20477.0,21,141
6972.0,21,143
50678.0,21,145
13436.0,21,147
71800.0,21,151
14407.0,21,155
24815.0,21,157
13017.0,21,161
21857.0,21,163
16486.0,21,167
7683.0,21,169
21267.0,21,173
10749.0,21,175
34854.0,21,179
5493.0,21,181
48636.0,21,185
8427.0,21,187
11169.0,21,191
46383.0,21,195
9202.0,21,197
1613.0,21,201
13096.0,21,203
13574.0,21,207
40955.0,21,209
13726.0,21,213
14541.0,21,215
8818.0,21,219
6501.0,21,223
11781.0,21,225
9115.0,21,229
15884.0,21,231
26854.0,21,235
5512.0,21,237
83013.0,23,001
54236.0,23,003
24380.0,23,007
44632.0,23,009
32383.0,23,013
28298.0,23,015
122200.0,23,019
13839.0,23,021
40605.0,23,025
24895.0,23,029
164608.0,23,031
259613.0,27,003
25741.0,27,005
34636.0,27,007
29389.0,27,009
3869.0,27,011
51993.0,27,013
19371.0,27,015
27397.0,27,017
73748.0,27,019
23198.0,27,021
8661.0,27,023
42728.0,27,025
9749.0,47,121
145976.0,47,125
5118.0,47,127
23424.0,47,131
17349.0,47,133
4085.0,47,137
13538.0,47,139
24834.0,47,143
43079.0,47,145
232276.0,47,149
16766.0,47,151
11712.0,47,153
669521.0,47,157
15155.0,47,159
126121.0,47,163
139687.0,47,165
8853.0,47,169
14410.0,47,171
4646.0,47,175
29766.0,47,177
13694.0,47,181
26669.0,47,183
161249.0,47,187
104202.0,47,189
36917.0,49,003
83427.0,49,005
440.0,49,009
230826.0,49,011
6981.0,49,015
3705.0,49,017
7239.0,49,019
36926.0,49,021
7507.0,49,023
5944.0,49,025
8468.0,49,027
7661.0,49,029
1462.0,49,031
1529.0,49,033
755607.0,49,035
10568.0,49,037
21713.0,49,039
14961.0,49,041
29352.0,49,043
45615.0,49,045
23570.0,49,047
390252.0,49,049
21518.0,49,051
122422.0,49,053
1878.0,49,055
174590.0,49,057
28550.0,50,003
23978.0,50,005
5071.0,50,009
37972.0,50,011
19694.0,50,015
23406.0,50,017
47688.0,50,021
46918.0,50,023
44242.0,50,027
24044.0,51,001
7377.0,27,165
78716.0,29,037
64078.0,29,043
15593.0,29,049
18443.0,29,055
6130.0,29,061
10325.0,29,067
11621.0,29,073
7295.0,29,079
7877.0,29,085
30254.0,29,091
87289.0,29,097
41509.0,29,101
25107.0,29,107
42769.0,29,113
15568.0,29,119
6900.0,29,125
19193.0,29,131
6738.0,29,137
13199.0,29,143
8155.0,29,149
12048.0,29,155
6424.0,29,203
26396.0,29,209
19999.0,29,215
18971.0,29,221
1581.0,29,227
236032.0,29,510
136796.0,12,005
1299369.0,12,011
123455.0,12,017
54442.0,12,023
693803.0,12,031
9803.0,12,037
10971.0,12,043
18552.0,12,049
81061.0,12,055
124830.0,12,061
6548.0,12,067
229275.0,12,073
6697.0,12,077
283985.0,12,083
57077.0,12,087
30131.0,12,093
323.0,31,005
3979.0,31,011
2205.0,31,017
6051.0,31,023
10005.0,27,159
2708.0,31,029
4590.0,31,035
6353.0,31,039
7055.0,31,045
3984.0,31,051
1383.0,31,057
2099.0,31,063
1460.0,31,069
512.0,31,075
6954.0,31,081
20671.0,01,019
32448.0,01,021
10184.0,01,023
18685.0,01,025
10436.0,01,027
11444.0,01,029
38934.0,01,031
43014.0,01,033
9672.0,01,035
8879.0,01,037
10583.0,01,041
63621.0,01,043
28727.0,01,047
49880.0,01,049
28449.0,01,053
79102.0,01,055
21955.0,01,059
6441.0,01,063
11322.0,01,065
79826.0,01,069
40444.0,01,071
10730.0,01,075
73356.0,01,077
