FIPS,AQI
1003.0,37
1027.0,30
1033.0,37
1049.0,39
1051.0,39
1055.0,43
1069.0,35
1073.0,53
1079.0,24
1089.0,44
1097.0,43
1101.0,52
1103.0,41
1113.0,40
1117.0,42
1119.0,33
1125.0,35
4001.0,10
4003.0,45
4005.0,45
4007.0,48
4012.0,44
4013.0,65
4015.0,14
4017.0,44
4019.0,47
4021.0,63
4023.0,31
4025.0,43
4027.0,45
5001.0,30
5003.0,33
5007.0,35
5019.0,32
5031.0,30
5035.0,40
5051.0,38
5067.0,34
5101.0,36
5113.0,39
5119.0,45
5139.0,35
5143.0,43
6001.0,41
6005.0,39
6007.0,46
6009.0,42
6011.0,39
6013.0,40
6015.0,20
6017.0,43
6019.0,60
6021.0,40
6023.0,27
6025.0,58
6027.0,47
6029.0,67
6031.0,56
6033.0,31
6037.0,71
6039.0,50
6041.0,33
6043.0,47
6045.0,33
6047.0,48
6051.0,27
6053.0,37
6055.0,35
6057.0,44
6059.0,48
6061.0,45
6063.0,25
6065.0,77
6067.0,46
6069.0,38
6071.0,80
6073.0,64
6075.0,36
6077.0,44
6079.0,46
6081.0,35
6083.0,43
6085.0,41
6087.0,35
6089.0,42
6093.0,36
6095.0,40
6097.0,33
6099.0,49
6101.0,44
6103.0,41
6105.0,18
6107.0,66
6109.0,43
6111.0,46
6113.0,41
8001.0,47
8003.0,9
8005.0,46
8007.0,31
8013.0,47
8019.0,46
8029.0,41
8031.0,51
8035.0,46
8041.0,45
8043.0,13
8045.0,44
8047.0,45
8051.0,45
8057.0,6
8059.0,46
8067.0,44
8069.0,48
8077.0,44
8083.0,46
8097.0,10
8099.0,14
8101.0,20
8103.0,44
8107.0,13
8111.0,7
8113.0,11
8123.0,45
9001.0,43
9003.0,39
9005.0,37
9007.0,41
9009.0,41
9011.0,37
9013.0,42
9015.0,36
10001.0,42
10003.0,43
10005.0,42
12001.0,35
12003.0,33
12005.0,38
12009.0,36
12011.0,40
12017.0,30
12021.0,34
12023.0,38
12031.0,43
12033.0,40
12035.0,34
12047.0,33
12055.0,36
12057.0,42
12059.0,40
12061.0,36
12069.0,35
12071.0,36
12073.0,38
12077.0,33
12081.0,36
12083.0,38
12085.0,35
12086.0,38
12089.0,30
12091.0,36
12095.0,36
12097.0,34
12099.0,35
12101.0,36
12103.0,40
12105.0,36
12107.0,17
12113.0,39
12115.0,37
12117.0,37
12111.0,34
12127.0,37
12129.0,35
13021.0,39
13049.0,20
13051.0,38
13055.0,40
13059.0,44
13063.0,36
13067.0,42
13069.0,26
13073.0,39
13085.0,37
13089.0,44
13095.0,40
13097.0,40
13115.0,45
13121.0,49
13127.0,36
13135.0,45
13139.0,37
13151.0,37
13153.0,38
13185.0,35
13213.0,42
13215.0,40
13231.0,37
13245.0,45
13247.0,43
13261.0,39
13295.0,37
13303.0,29
15001.0,16
15003.0,27
15007.0,13
15009.0,15
16001.0,38
16005.0,20
16009.0,37
16013.0,15
16015.0,33
16017.0,21
16019.0,29
16023.0,40
16027.0,25
16037.0,6
16041.0,18
16049.0,40
16053.0,15
16055.0,23
16057.0,10
16059.0,23
16069.0,24
16079.0,29
16083.0,19
16085.0,22
17001.0,41
17019.0,42
17023.0,34
17031.0,53
17043.0,42
17049.0,40
17065.0,43
17083.0,42
17085.0,34
17089.0,40
17097.0,40
17115.0,43
17117.0,33
17119.0,49
17111.0,44
17113.0,44
17143.0,41
