NAME,state,county,County_Name,State_Name,State_Abbreviation,State_Abbreviation_County,FIPS,population,white,black,native_american,asian,hawaiian,some_other_race_alone,two_more_races,hispanic_or_latino,median_family_income,income_20_percentile,income_80_percentile,median_family_income_white,median_family_income_black,median_family_income_indigenous,median_family_income_asian,median_family_income_hispanic,preschool_enrollment_white,preschool_enrollment_black,preschool_enrollment_hispanic,preschool_enrollment_indigenous,preschool_enrollment_asian,all_in_poverty,year,public_students_pre_12,white_employed_16_64,black_employed_16_64,american_indian_employed_16_64,asian_employed_16_64,some_other_race_alone_employed_16_64,two_or_more_race_employed_16_64,hispanic_or_latino_employed_16_64,employed_25_54_population,employed_16_64_population,preschool_enroll,white_under_5,black_under_5,indigenous_under_5,asian_under_5,hispanic_under_5,two_or_more_race_under_5,some_other_race_under_5,avg_edu_prof_diff,low_birth_rate,Not Hispanic or Latino_low_birth_rate,Hispanic or Latino_low_birth_rate,Unknown or Not Stated_low_birth_rate,Black or African American_low_birth_rate,White_low_birth_rate,Asian_low_birth_rate,More than one race_low_birth_rate,American Indian or Alaska Native_low_birth_rate,Native Hawaiian or Other Pacific Islander_low_birth_rate,HPSA Score,HOM_STUDENTS,proportion_homeless,proportion_voter,transit_trips_index,transit_low_cost_index,crime,crime_rate,Total_Juvenile_Arrests,juvenile_crime_rate,hispanic_or_latino_exposure,white_exposure,black_exposure,native_american_exposure,asian_exposure,hawaiian_exposure,some_other_race_alone_exposure,two_more_races_exposure,proportion_high_poverty_neighborhood
"Sebastian County, Arkansas",5,131,SEBASTIAN,Arkansas,AR,AR-SEBASTIAN,05131,127591.0,0.7347853688739802,0.0677320500662272,0.0113879505607762,0.0449639864880751,0.0002037761284103,0.0939721453707549,0.0469547225117759,0.1422043874567955,55104.0,20401.0,89992.0,62106.0,35025.0,,56508.0,40678.0,0.5374211000901713,0.0987376014427412,0.1925157799819657,0.0013525698827772,0.0396753832281334,23271.0,2019.0,21646.0,0.6775180951092471,0.6181947153750665,0.6318359375,0.751974333662389,0.6852660300136426,0.5995174909529554,0.6516662175514237,0.7389543446244478,0.6739700165194819,0.4664955802680354,0.6460587326120556,0.0777553204137439,0.0098680299607656,0.0241350612293425,0.2313636904054214,0.0933301628819403,0.1488526929021519,1.7600000000000002,0.0928699820251647,0.0860778443113772,0.0614886731391585,,0.1015625,0.0909752547307132,,,,,,404.0,0.018663956389171208,0.5150674154848015,35.267748218664835,17.68329246153019,976.0,764.9442358787062,607.0,475.7388844040724,0.7052016651581752,0.2188721625630796,0.8752665393106902,0.9841464971421054,0.9176793876601068,0.99671280408908,0.7722302354925684,0.9424148918277976,0.0
"Sevier County, Arkansas",5,133,SEVIER,Arkansas,AR,AR-SEVIER,05133,17081.0,0.6290029857736666,0.048416369065043,0.0230665651893917,0.0044493882091212,0.004742111117616,0.272993384462268,0.0173291961828932,0.334348106082782,55083.0,19641.0,90629.0,60757.0,,,,43304.0,0.6025974025974026,0.0,0.6077922077922078,0.0,0.0,3590.0,2019.0,3894.0,0.6952571604558053,0.458252427184466,0.8073770491803278,1.0,0.5817490494296578,0.6666666666666666,0.604231311706629,0.7459639126305793,0.6553781027515875,0.5637450199203187,0.4842259721203228,0.0880410858400587,0.0293470286133528,0.0,0.4416727806309611,0.0359501100513573,0.3418928833455613,-0.5,,,,,,,,,,,,62.0,0.015921931176168466,0.5156110615521855,13.297336164722326,6.855814203537444,60.0,351.2674901937826,77.0,450.793279082021,0.5148564284985272,0.3216072977956198,0.9365967175590058,0.9694889730372532,0.9909349790058926,0.9876918401458744,0.6054120699408685,0.9811493556868248,0.0
"Sharp County, Arkansas",5,135,SHARP,Arkansas,AR,AR-SHARP,05135,17139.0,0.95011377559951,0.0083435439640585,0.0033840947546531,0.0008168504580197,0.0,0.0030923624482175,0.0342493727755411,0.022813466363265,44149.0,15742.0,66689.0,43724.0,,,,,0.9779411764705882,0.0220588235294117,0.0220588235294117,0.0,0.0,3743.0,2019.0,2987.0,0.5680766688697951,0.6103896103896104,0.5818181818181818,0.6428571428571429,0.627906976744186,0.4063926940639269,0.4887892376681614,0.6771004942339374,0.5651486401012018,0.4033149171270718,0.976303317535545,0.0106635071090047,0.0,0.0,0.0379146919431279,0.0130331753554502,0.0,1.5,,,,,,,,,,,,81.0,0.02711750920656177,0.5565281353438765,5.2954142250416645,1.105451319821515,12.5,72.93307660890366,123.0,717.6614738316122,0.9744539673819675,0.0495072218760788,0.9894326225362766,0.9929964109338352,0.9968824661339069,0.0,0.9940272653106996,0.958763863581546,0.0
"Stone County, Arkansas",5,137,STONE,Arkansas,AR,AR-STONE,05137,12475.0,0.9654509018036072,0.0008817635270541,0.005130260521042,0.0050501002004008,0.0,8.016032064128256e-05,0.0234068136272545,0.0194789579158316,49487.0,14845.0,73965.0,49451.0,,43750.0,,250001.0,1.0,0.0,0.1728395061728395,0.0,0.0,2449.0,2019.0,1889.0,0.6090214296418403,0.0,0.8,0.2857142857142857,,0.3107569721115538,1.0,0.7111464124966905,0.5954784586947248,0.3243243243243243,0.987719298245614,0.0,0.0,0.0,0.0245614035087719,0.0122807017543859,0.0,1.0,,,,,,,,,,,,4.0,0.0021175224986765486,0.5885617999801764,7.19584968550078,0.8870490833826139,11.0,88.17635270541082,0.0,0.0,0.976525120769848,0.0345018816953006,0.9984557068650848,0.9921273479208974,0.9941954723209956,0.0,0.9998596097150078,0.9738287414817226,0.0
"Union County, Arkansas",5,139,UNION,Arkansas,AR,AR-UNION,05139,39449.0,0.6388248117823012,0.326674947400441,0.0087961672032244,0.0065400897361149,0.0,0.0078075489873,0.0113564348906182,0.0399756647823772,56163.0,16981.0,95896.0,67903.0,34792.0,,83643.0,28536.0,0.5714285714285714,0.3371428571428571,0.07,0.0271428571428571,0.0,7444.0,2019.0,6922.0,0.6616373655208607,0.5206487835308796,0.4066985645933014,0.7071428571428572,0.4537444933920704,0.3121387283236994,0.566200215285253,0.6791211866778617,0.6081306231256248,0.5008445945945945,0.5663245914101103,0.3519574306347396,0.0285062713797035,0.0,0.0760167236792094,0.0532117065754466,0.0,2.7857142857142856,,,,,,,,,,,,207.0,0.02990465183472985,0.568908225137885,18.84199774205688,11.866297510886511,299.0,757.9406322086745,75.0,190.11888767776114,0.9341530877681108,0.2933603364316751,0.5419634802400031,0.9765687001286834,0.9820509811668284,0.0,0.9781845553807466,0.9769351887876128,0.1367544331004836
"Van Buren County, Arkansas",5,141,VAN BUREN,Arkansas,AR,AR-VAN BUREN,05141,16642.0,0.9503665424828748,0.0060689820934983,0.0061891599567359,0.0022232904698954,0.0012618675639947,0.0109361855546208,0.02295397187838,0.0312462444417738,48116.0,16849.0,79506.0,48063.0,,81125.0,,21940.0,0.9576719576719576,0.0,0.0,0.0,0.0,3041.0,2019.0,2367.0,0.5578429178787201,0.35,0.6444444444444445,0.6363636363636364,0.5398230088495575,0.3537735849056603,0.6124661246612466,0.6377598801273646,0.5528265932669914,0.4888888888888889,0.9346153846153846,0.0,0.0089743589743589,0.0,0.0217948717948717,0.0346153846153846,0.0217948717948717,1.6333333333333335,,,,,,,,,,,,214.0,0.0904098014364174,0.5920673441528894,18.703833127251222,3.2207945809365084,58.5,351.52024996995556,25.0,150.22232904698956,0.9457470819580378,0.0496262387381439,0.9862701967964382,0.989847151497718,0.9961691524718036,0.9940068493150684,0.9656260639451996,0.969104562892059,0.0
"Washington County, Arkansas",5,143,WASHINGTON,Arkansas,AR,AR-WASHINGTON,05143,232289.0,0.7718488606864724,0.0367860725217294,0.008833823383802,0.0248268320927809,0.0227044758899474,0.0999401607480337,0.0350597746772339,0.1678038994528367,63719.0,21998.0,103276.0,70154.0,34338.0,96250.0,91228.0,43305.0,0.7175847967284099,0.0923743083954775,0.169593456819822,0.0069761847486167,0.0038489295164782,36730.0,2019.0,38767.0,0.6923690110437598,0.5728187365990434,0.5849500293944738,0.6568941823179111,0.7240177656303383,0.6643162931251574,0.7165289595922226,0.7916803574949071,0.6870464511622492,0.5061011040092969,0.6634393153850959,0.051221188081704,0.0039352864013992,0.0221750265475669,0.2492348054219501,0.0888250359172965,0.1367980510962583,-1.14,0.0848638378720709,0.0808854831843337,0.078697421981004,,0.1017964071856287,0.0830933772110242,,,,0.0674486803519061,,903.0,0.023293006938891324,0.5798879176176035,50.329745376592655,39.650758023762165,858.5,369.58271807963354,1070.0,460.6330906758391,0.6529571004557067,0.2048685229263837,0.9362630050136508,0.9818215660156866,0.9599500146343588,0.8946012419781237,0.7996823278071573,0.956498476465704,0.0609038932752518
"White County, Arkansas",5,145,WHITE,Arkansas,AR,AR-WHITE,05145,78762.0,0.9110230821969986,0.0435997054417104,0.0060308270485767,0.0074020466722531,0.0,0.0097381986237017,0.0222061400167593,0.0434473477057464,57117.0,19129.0,91203.0,58546.0,31378.0,93529.0,,43809.0,0.8698630136986302,0.0194063926940639,0.0901826484018264,0.0,0.0148401826484018,11742.0,2019.0,12541.0,0.6177584081704526,0.5427385892116182,0.7219101123595506,0.4779735682819383,0.7563559322033898,0.5915080527086384,0.6712328767123288,0.7346549752192146,0.6145521713815327,0.340265742345465,0.8498566161409259,0.0219172470299057,0.0,0.0065546907005325,0.0678000819336337,0.0999590331831216,0.0217124129455141,2.95,,,,,,,,,,,,327.0,0.026074475719639584,0.5246038081973061,17.03888955515212,13.618374529078254,485.0,615.779182854676,178.0,225.99730834666465,0.927137194867984,0.0860142502539985,0.9248082907669144,0.9805169441449328,0.97785595545323,0.0,0.9507509986205144,0.9678025409222348,0.0
"Yell County, Arkansas",5,149,YELL,Arkansas,AR,AR-YELL,05149,21464.0,0.7861069698099142,0.0245061498322773,0.0047055534849049,0.0110417443160641,0.0,0.1621785314945956,0.0114610510622437,0.2015467759970182,50792.0,20955.0,85538.0,55320.0,,16786.0,28514.0,39593.0,0.7857142857142857,0.0,0.3248847926267281,0.0,0.0161290322580645,3523.0,2019.0,4256.0,0.6299081851924204,0.4933774834437086,0.2631578947368421,0.7,0.7634649910233393,0.8134328358208955,0.7476190476190476,0.6987874097007224,0.650136695018226,0.6050420168067228,0.7133479212253829,0.0,0.0043763676148796,0.0109409190371991,0.3202042304886944,0.0510576221735959,0.2202771699489423,1.6875,,,,,,,,,,,,116.0,0.02725563909774436,0.4555653172940461,13.222407397451752,7.901904915506335,67.0,312.150577711517,90.0,419.3067461796497,0.7519074467997637,0.2023804499975563,0.9534809993436436,0.99101538575224,0.9731170514022568,0.0,0.7939955239884318,0.9777870557065316,0.0
"Colusa County, California",6,11,COLUSA,California,CA,CA-COLUSA,06011,21454.0,0.8832385569124639,0.0152419129299897,0.0104875547683415,0.0144029085485224,0.0017712314719865,0.0464715204623846,0.0283863149063111,0.5937354339517107,66910.0,24039.0,104097.0,66129.0,43611.0,88750.0,90577.0,62260.0,0.8878787878787879,0.0454545454545454,0.6757575757575758,0.0,0.0,2774.0,2019.0,4519.0,0.7018095987411487,0.4270833333333333,0.7525773195876289,0.4962406015037593,0.6468926553672316,0.4710982658959537,0.7113647767185148,0.7592778335005015,0.6856730696226558,0.3852080123266563,0.8629441624365483,0.0145939086294416,0.0050761421319796,0.0190355329949238,0.7227157360406091,0.0532994923857868,0.0450507614213198,-1.4285714285714286,,,,,,,,,,,9.0,280.0,0.06196061075459172,0.6289303207457734,,,58.0,270.34585625058264,23.0,107.2061154097138,0.3787516242973752,0.1165734499278077,0.9747579500753882,0.9829747715234898,0.9784888829163764,0.996946043953137,0.946389421336726,0.9679290505359928,0.0
"Butte County, California",6,7,BUTTE,California,CA,CA-BUTTE,06007,225817.0,0.8156161847867964,0.0153265697445276,0.0115846016907495,0.0461966990970564,0.0026703038300925,0.0476226324855967,0.0609830083651806,0.163477506122214,67863.0,20269.0,110060.0,70392.0,47381.0,47802.0,55196.0,52836.0,0.7754864943363345,0.0209119953528899,0.1847226256171943,0.0043566656985187,0.0220737728724949,41974.0,2019.0,33331.0,0.6334365536945475,0.4698660714285714,0.5565873476494486,0.583690393918452,0.6887931034482758,0.5372483651750224,0.6389012680792449,0.7245298057516038,0.6247032354240283,0.5077115464776991,0.7483850129198967,0.0085594315245478,0.0096091731266149,0.0499838501291989,0.2345768733850129,0.1428456072351421,0.0406169250645994,0.0714285714285714,0.0592903828197945,0.0549786194257788,0.0454545454545454,,,0.0598099496925656,,,,,14.5625,4544.0,0.13632954306801476,0.6000795884807378,,,1021.0,452.136021645846,182.0,80.5962350044505,0.7885704345997169,0.1744860937516158,0.9636082784680589,0.9717037535241264,0.8982593097202856,0.9877560402438924,0.8950723141337534,0.9244205705090822,0.2140372611616715
"Alameda County, California",6,1,ALAMEDA,California,CA,CA-ALAMEDA,06001,1656754.0,0.4046249473367802,0.1060815305108664,0.0067119198142874,0.3014219371131743,0.0083898997678593,0.1081898700712356,0.0645798953857965,0.2239433253216832,119612.0,38001.0,196571.0,134500.0,65571.0,79632.0,139794.0,79161.0,0.3425436372854349,0.0869486492358948,0.2458897660606938,0.0030781487651191,0.3050988628956326,161581.0,2019.0,234915.0,0.7603043852068613,0.6473200205833043,0.6260013131976362,0.7297907368952422,0.7178534489617312,0.6957485089794423,0.7171881463275542,0.8083075173129035,0.7291849457605392,0.5733649695837646,0.3497609681049882,0.0914000144554925,0.0046773843818728,0.2603743972575865,0.3060847298371692,0.1512354283472209,0.134126320354366,-0.065,0.0724836637197298,0.0754409136819206,0.0639364814040952,0.0360531309297912,0.1122268163024217,0.0594641690263559,0.0784406565656565,0.0688741721854304,,,8.0,3826.0,0.016286742013068557,0.7057003158795955,69.66964141712812,92.13079941938608,9734.0,587.5344197146951,0.0,0.0,0.6483539513192021,0.5012718976759971,0.7690862947557737,0.9817928431920864,0.5667517526533237,0.9745231413294756,0.7642981620916812,0.9241675308117764,0.0595243252610146
"Alpine County, California",6,3,ALPINE,California,CA,CA-ALPINE,06003,1039.0,0.5765158806544755,0.0086621751684311,0.3397497593840231,0.0096246390760346,0.0057747834456207,0.0086621751684311,0.0510105871029836,0.1251203079884504,94792.0,30242.0,127917.0,106250.0,,43750.0,,,0.3076923076923077,0.0,0.1538461538461538,0.2307692307692307,0.0,205.0,2019.0,149.0,0.6109324758842444,0.0,0.4134078212290503,0.0,1.0,0.238095238095238,0.6868686868686869,0.6185185185185185,0.5239852398523985,0.4499999999999999,0.2045454545454545,0.0,0.6136363636363636,0.0,0.2045454545454545,0.1818181818181818,0.0,0.0,,,,,,,,,,,9.0,12.0,0.08053691275167785,0.8354002254791432,,,13.0,1251.2030798845042,0.0,0.0,0.8748796920115496,0.4234841193455245,0.9913378248315688,0.6602502406159769,0.9903753609239654,0.9942252165543792,0.9913378248315688,0.9489894128970164,0.0
