FIPS,crime
1073.0,1132.6666666666663
1117.0,315.6666666666667
1115.0,257.16666666666663
1097.0,328.0
1101.0,242.0
1001.0,70.5
1051.0,109.0
1003.0,334.0
1005.0,79.0
1007.0,26.5
1125.0,569.0
1009.0,157.0
1011.0,24.0
1013.0,36.5
1035.0,32.5
1015.0,326.5
1121.0,296.5
1017.0,84.0
1019.0,66.0
1021.0,72.5
1023.0,3.0
1025.0,36.0
1027.0,35.0
1029.0,12.0
1031.0,57.5
1045.0,257.1666666666667
1033.0,71.0
1037.0,34.0
1039.0,78.0
1041.0,27.0
1043.0,71.5
1047.0,116.0
1049.0,102.0
1123.0,255.5
1053.0,80.0
1055.0,228.5
1095.0,92.0
1057.0,13.5
1059.0,45.0
1061.0,56.0
1063.0,33.0
1065.0,5.0
1067.0,158.66666666666669
1069.0,197.66666666666669
1071.0,98.0
1075.0,9.0
1077.0,160.0
1079.0,32.0
1081.0,386.5
1083.0,562.0
1085.0,16.0
1087.0,82.0
1089.0,738.0
1091.0,52.0
1093.0,30.5
1099.0,7.0
1103.0,127.0
1105.0,14.0
1107.0,16.0
1109.0,133.0
1111.0,14.0
1113.0,104.5
1119.0,39.0
1127.0,153.5
1129.0,20.0
1131.0,24.0
1133.0,52.0
,10.0
,3581.0
,263.0
,289.0
,40.0
,49.0
,107.0
,10.0
,109.0
,16.0
,1.0
,3.0
,5.0
,130.0
,77.0
,69.0
,123.0
,9.0
,1390.0
,56.0
,0.0
,7.0
,7.0
,2.0
,0.0
4001.0,34.0
,4257.0
4003.0,196.0
4005.0,666.0
4007.0,404.0
4009.0,85.0
4011.0,1.0
4013.0,18137.5
4015.0,451.0
4017.0,341.0
4019.0,4485.0
4021.0,826.5
4023.0,42.0
4025.0,637.0
4027.0,592.0
4012.0,43.0
5001.0,150.0
5003.0,71.0
5005.0,118.0
5007.0,1104.5
5009.0,262.0
5011.0,32.0
5013.0,11.0
5015.0,110.0
5017.0,37.0
5019.0,72.0
5021.0,33.0
5023.0,173.5
5045.0,479.0
5025.0,20.0
5027.0,37.0
5029.0,72.0
5031.0,615.0
5033.0,240.0
5035.0,740.0
5037.0,80.0
5039.0,44.0
5041.0,46.0
5043.0,58.0
5047.0,57.0
5049.0,40.5
5051.0,526.0
5053.0,43.0
5055.0,326.0
5057.0,99.0
5059.0,1.0
5061.0,48.0
5063.0,186.0
5065.0,34.0
5067.0,149.0
5069.0,734.0
5071.0,71.0
5073.0,2.0
5075.0,18.0
5077.0,41.0
5079.0,31.0
5081.0,23.0
5083.0,77.0
5085.0,304.0
5087.0,44.0
5089.0,43.0
5091.0,241.0
5093.0,327.0
5095.0,32.0
5097.0,2.5
5099.0,6.0
5101.0,23.0
5103.0,115.0
5105.0,33.0
5107.0,195.0
5109.0,18.5
5111.0,121.0
5113.0,7.0
5115.0,268.0
5117.0,17.0
5119.0,4535.5
5125.0,471.5
5121.0,90.0
5123.0,172.0
5127.0,39.0
5129.0,18.0
5131.0,976.0
5133.0,60.0
5135.0,12.5
5137.0,11.0
5139.0,299.0
5141.0,58.5
5143.0,858.5
