FIPS,HPSA Score
01001,12.0
01007,10.0
01009,7.0
01017,14.0
01019,11.0
01027,12.0
01029,13.0
01037,18.0
01041,16.0
01057,12.0
01075,16.0
01079,15.0
01083,15.0
01111,13.0
01129,19.0
01133,12.0
02013,15.0
02016,10.0
02050,17.0
02060,7.0
02068,14.0
02105,13.0
02130,13.0
02158,22.0
02180,17.0
02185,17.0
02188,18.0
02195,13.0
02198,11.5
02230,9.0
02240,15.0
02261,13.0
02275,13.0
02282,7.0
02290,17.0
04001,11.0
04003,11.7
04005,15.0
04007,17.25
04009,15.75
04012,16.25
04013,11.793103448275861
04015,17.066666666666666
04017,16.272727272727273
04019,10.862068965517242
04021,12.444444444444445
04023,12.0
04025,13.5
04027,12.89090909090909
05013,16.0
05025,12.0
05047,11.0
05061,14.0
05069,11.0
05079,13.0
05087,11.0
05097,13.0
05117,15.0
05127,11.0
06001,8.0
06003,9.0
06005,16.0
06007,14.5625
06009,8.0
06011,9.0
06017,11.736842105263158
06019,8.340909090909092
06023,12.0
06025,13.0
06027,12.0
06029,15.333333333333334
06031,10.0
06033,14.0
06035,10.0
06037,11.65625
06039,12.0
06043,10.0
06045,10.166666666666666
06047,7.0
06055,8.0
06057,6.0
06061,7.230769230769231
06063,12.4
06067,9.0
06069,7.0
06071,12.857142857142858
06073,11.0
06089,11.333333333333334
06091,10.0
06093,17.0
06095,12.0
06097,7.0
06099,12.0
06105,12.75
06107,15.0
06109,11.545454545454545
06115,17.0
08001,12.0
08005,12.0
08007,10.0
08009,16.0
08017,11.0
08019,16.0
08021,21.0
08023,22.0
08027,18.0
08033,13.0
08039,13.0
08041,15.0
08045,12.0
08047,16.0
08049,13.0
08051,14.0
08057,14.0
08067,14.0
08069,17.0
08079,7.0
08081,12.0
08085,16.0
08093,19.0
08099,16.0
08103,16.0
08107,15.0
08111,7.0
08113,12.0
08121,16.0
12019,11.0
12021,15.0
12029,15.0
12039,16.0
12043,17.0
12051,12.0
12065,16.0
12067,14.0
12077,15.0
12085,10.0
12089,10.0
12121,14.0
12129,16.0
13049,12.0
13079,14.0
13083,16.0
13103,6.0
13145,10.0
13159,11.0
13177,6.0
13179,9.0
13181,14.0
13183,16.0
13191,15.0
13197,13.0
13211,10.0
13223,12.0
13263,15.0
15001,15.0
15003,16.0
15007,16.0
15009,14.0
16013,9.0
16015,13.0
16019,10.0
16025,9.0
16033,7.0
16037,16.0
16041,9.0
16043,13.0
16063,11.0
16071,12.0
16081,12.0
16085,13.0
17009,11.0
17011,9.0
17013,9.0
17015,15.0
17017,15.0
17025,15.0
17027,11.0
17031,13.932515337423313
17037,11.0
17039,9.0
17041,11.0
17045,9.0
17047,11.0
17059,15.0
17065,11.0
17069,10.0
17073,11.5
17075,8.0
17083,9.0
17087,15.0
17099,8.565217391304348
17103,11.0
17105,7.0
17117,11.0
17119,7.0
17123,12.0
17125,8.0
17129,10.0
17131,7.0
17133,6.0
17139,9.0
17149,10.0
17151,10.0
17155,9.0
17157,6.0
17163,12.857142857142858
17169,15.0
17171,10.0
17173,13.0
17175,11.5
17183,8.0
17185,11.0
17189,12.0
17203,9.0
18001,15.0
18007,15.0
18009,10.0
18015,15.0
18021,14.0
18023,11.0
18027,8.0
18033,8.0
18045,11.0
18047,7.0
18049,10.0
18055,14.0
18061,8.0
18073,7.0
18075,13.0
18087,11.0
18101,14.0
18107,12.0
18109,10.0
18111,15.0
18113,5.0
18115,10.0
18119,15.0
18121,13.0
18123,10.0
18125,13.0
18129,12.0
18133,4.0
18135,10.0
18139,13.0
18151,11.0
18153,10.0
18155,15.0
18165,13.0
18171,11.0
18175,9.0
18181,13.0
19001,10.0
19003,11.0
19009,9.0
19011,11.0
