FIPS,HOM_STUDENTS
1095.0,499.0
1073.0,1291.0
1117.0,353.0
1089.0,495.0
1123.0,22.0
1039.0,4.0
1015.0,281.0
1083.0,183.0
1055.0,206.0
1097.0,7956.0
1101.0,440.0
1081.0,143.0
1001.0,58.0
1003.0,229.0
1007.0,29.0
1009.0,127.0
1053.0,22.0
1011.0,7.0
1013.0,86.0
1017.0,9.0
1019.0,262.0
1021.0,9.0
1023.0,15.0
1025.0,16.0
1027.0,25.0
1029.0,27.0
1031.0,340.0
1033.0,92.0
1035.0,5.0
1037.0,1.0
1041.0,15.0
1043.0,35.0
1045.0,32.0
1047.0,209.0
1049.0,418.0
1103.0,92.0
1091.0,5.0
1069.0,233.0
1051.0,31.0
1005.0,32.0
1057.0,12.0
1077.0,161.0
1059.0,8.0
1061.0,7.0
1063.0,8.0
1065.0,3.0
1133.0,8.0
1067.0,14.0
1071.0,60.0
1127.0,95.0
1075.0,1.0
1079.0,153.0
1085.0,181.0
1087.0,37.0
1093.0,46.0
1099.0,5.0
1115.0,63.0
1105.0,181.0
1113.0,52.0
1107.0,5.0
1109.0,108.0
1111.0,33.0
1119.0,7.0
1121.0,60.0
1125.0,423.0
1129.0,28.0
1131.0,96.0
2050.0,38.0
2158.0,25.0
2060.0,1.0
2240.0,4.0
2261.0,35.0
2070.0,12.0
2290.0,55.0
2090.0,406.0
2130.0,9.0
2020.0,1928.0
2110.0,126.0
2220.0,54.0
2105.0,28.0
2198.0,17.0
2122.0,223.0
2150.0,20.0
2170.0,577.0
2180.0,54.0
2185.0,36.0
2195.0,3.0
2068.0,3.0
2275.0,5.0
4013.0,10649.0
4025.0,1036.0
4003.0,351.0
4001.0,37.0
4019.0,3120.0
4005.0,529.0
4007.0,816.0
4021.0,606.0
4023.0,423.0
4017.0,309.0
4015.0,329.0
4027.0,365.0
4012.0,27.0
4009.0,28.0
5001.0,81.0
5011.0,20.0
5021.0,32.0
5031.0,398.0
5053.0,63.0
5125.0,141.0
5055.0,322.0
5063.0,267.0
5065.0,30.0
5067.0,126.0
5069.0,163.0
5079.0,30.0
5093.0,527.0
5099.0,27.0
5103.0,44.0
5149.0,116.0
5003.0,54.0
5005.0,165.0
5027.0,63.0
5111.0,299.0
5133.0,62.0
5123.0,50.0
5007.0,1335.0
5119.0,1550.0
5075.0,153.0
5107.0,56.0
5073.0,16.0
5025.0,27.0
5113.0,51.0
5097.0,84.0
5129.0,69.0
5089.0,278.0
5101.0,217.0
5061.0,57.0
5143.0,903.0
5033.0,320.0
5009.0,347.0
5019.0,14.0
5081.0,34.0
5115.0,452.0
5147.0,97.0
5145.0,327.0
5015.0,354.0
5059.0,136.0
5057.0,140.0
5083.0,402.0
5095.0,82.0
5085.0,173.0
5135.0,81.0
5091.0,73.0
5047.0,134.0
5071.0,355.0
5141.0,214.0
5023.0,168.0
5045.0,595.0
5051.0,519.0
5117.0,51.0
5043.0,32.0
5041.0,18.0
5035.0,184.0
5105.0,25.0
5139.0,207.0
5039.0,15.0
5131.0,404.0
5109.0,118.0
5013.0,73.0
5037.0,108.0
5087.0,256.0
5017.0,4.0
5049.0,54.0
5127.0,86.0
5077.0,1.0
5121.0,86.0
5137.0,4.0
5029.0,213.0
6037.0,61967.0
6071.0,29146.0
6041.0,1025.0
6035.0,88.0
6057.0,290.0
6061.0,1290.0
6017.0,720.0
6105.0,155.0
6001.0,3826.0
6019.0,4123.0
6029.0,4735.0
6065.0,20267.0
6047.0,871.0
6097.0,625.0
6107.0,2406.0
6067.0,10260.0
6023.0,1214.0
6073.0,18251.0
6087.0,3699.0
6021.0,282.0
6053.0,12542.0
6077.0,4930.0
6079.0,2953.0
6007.0,4544.0
6099.0,1800.0
6039.0,1184.0
6093.0,228.0
6083.0,7306.0
6111.0,6160.0
6033.0,774.0
6003.0,12.0
6085.0,3237.0
6005.0,179.0
6059.0,28595.0
6045.0,988.0
6103.0,541.0
6013.0,2841.0
6031.0,689.0
6043.0,142.0
6081.0,2055.0
6089.0,1005.0
6109.0,285.0
6095.0,1536.0
6025.0,1935.0
6009.0,231.0
6055.0,429.0
6115.0,400.0
6069.0,240.0
6011.0,280.0
6113.0,990.0
6015.0,203.0
6101.0,320.0
6051.0,7.0
6049.0,5.0
6063.0,119.0
6075.0,2426.0
6091.0,11.0
8017.0,3.0
8125.0,69.0
8001.0,5877.0
8005.0,4885.0
8041.0,2167.0
8067.0,285.0
8037.0,284.0
8069.0,2296.0
8045.0,390.0
8049.0,210.0
8077.0,758.0
8015.0,182.0
8107.0,146.0
8039.0,38.0
8121.0,25.0
8003.0,115.0
8021.0,12.0
8007.0,21.0
8063.0,17.0
8123.0,1579.0
8031.0,3788.0
8093.0,13.0
8013.0,939.0
8014.0,5002.0
8087.0,506.0
8043.0,122.0
8109.0,206.0
8019.0,34.0
8083.0,87.0
8119.0,79.0
8105.0,21.0
8029.0,169.0
8033.0,4.0
8035.0,683.0
8089.0,33.0
8023.0,33.0
8051.0,12.0
8095.0,6.0
8059.0,2753.0
8115.0,15.0
8055.0,12.0
8065.0,7.0
8099.0,67.0
8011.0,11.0
8073.0,35.0
8103.0,23.0
8081.0,8.0
8085.0,221.0
8091.0,2.0
8075.0,35.0
8101.0,588.0
8111.0,8.0
8117.0,18.0
8071.0,15.0
8057.0,7.0
9003.0,1169.0
9011.0,690.0
9001.0,580.0
9009.0,1825.0
9015.0,217.0
9013.0,85.0
9007.0,76.0
9005.0,121.0
10001.0,1138.0
10003.0,1548.0
10005.0,910.0
11001.0,6603.0
12001.0,1028.0
12003.0,55.0
12005.0,5725.0
12007.0,161.0
12009.0,2264.0
12011.0,5419.0
12013.0,202.0
12015.0,362.0
12017.0,4985.0
12019.0,992.0
12021.0,1024.0
12023.0,507.0
12086.0,9917.0
12027.0,154.0
12029.0,53.0
12031.0,3771.0
12033.0,1942.0
12035.0,556.0
12037.0,289.0
12039.0,252.0
12041.0,13.0
12043.0,45.0
12045.0,108.0
12047.0,347.0
12049.0,183.0
12051.0,346.0
12053.0,4949.0
12055.0,465.0
12057.0,4241.0
12059.0,56.0
12061.0,441.0
12063.0,2857.0
12065.0,34.0
12067.0,204.0
12069.0,2019.0
12071.0,1272.0
12073.0,1373.0
12075.0,262.0
12077.0,34.0
12079.0,227.0
12081.0,1418.0
12083.0,2181.0
12085.0,621.0
12087.0,352.0
12089.0,548.0
12091.0,1142.0
12093.0,645.0
12095.0,6122.0
12097.0,3493.0
12099.0,4493.0
12101.0,1908.0
12103.0,4367.0
12105.0,3515.0
12107.0,537.0
12113.0,1141.0
12115.0,826.0
12117.0,1591.0
12109.0,732.0
12111.0,1529.0
12119.0,127.0
12121.0,318.0
12123.0,103.0
12125.0,61.0
12127.0,2746.0
12129.0,94.0
12131.0,466.0
12133.0,213.0
13285.0,213.0
13001.0,58.0
13003.0,5.0
13121.0,3734.0
13089.0,4218.0
13005.0,74.0
13007.0,6.0
13009.0,364.0
13057.0,244.0
13063.0,1817.0
13021.0,743.0
13011.0,283.0
13135.0,2008.0
13243.0,25.0
13013.0,335.0
13015.0,519.0
13017.0,28.0
13019.0,49.0
13023.0,4.0
13025.0,65.0
13143.0,368.0
13027.0,10.0
13029.0,90.0
13031.0,251.0
13033.0,13.0
13035.0,440.0
13129.0,684.0
13039.0,106.0
13043.0,23.0
13045.0,1042.0
13047.0,323.0
13049.0,60.0
13051.0,997.0
13053.0,6.0
13055.0,309.0
13059.0,867.0
13061.0,1.0
13065.0,37.0
13067.0,1951.0
