debt_all,FIPS
.2997214,1001
.2353732,1003
.3507853,1005
.4174603,1007
.3016412,1009
.4880952,1011
.3719807,1013
.3943465,1015
.3955409,1017
.3804756,1019
.3847185,1021
.3966942,1023
.3974719,1025
.3877551,1027
.3333333,1029
.3017677,1031
.3515931,1033
.4172185,1035
.3566879,1037
.3733906,1039
.3485149,1041
.302627,1043
.3150309,1045
.4802571,1047
.3506744,1049
.2647059,1051
.4027073,1053
.3402226,1055
.3468992,1057
.3928571,1059
.3598655,1061
.4644352,1063
.4265594,1065
.2683363,1067
.3215846,1069
.3296837,1071
.358093,1073
.3100961,1075
.2913117,1077
.3812207,1079
.2730619,1081
.2744739,1083
.4371069,1085
.4863388,1087
.2838273,1089
.3722872,1091
.3659622,1093
.3286304,1095
.3737675,1097
.4176829,1099
.4061192,1101
.3522613,1103
.502008,1105
.3756806,1107
.3826754,1109
.4019886,1111
.4661781,1113
.312456,1115
.2314038,1117
.443804,1119
.4486356,1121
.3139278,1123
.3276284,1125
.3820564,1127
.2964427,1129
.3977591,1131
.3311346,1133
,2013
.1948052,2016
.179714,2020
.2517731,2050
,2060
.0980392,2068
.1584158,2070
.1492537,2090
.0684932,2100
.1607516,2110
.1519353,2122
.1724138,2130
.1220238,2150
.2295082,2158
,2164
.1599453,2170
.1551724,2180
.1858974,2185
.1968504,2188
,2195
.1851852,2198
.1744681,2220
.1222707,2240
.1312741,2261
,2282
.1818182,2290
.4554566,4001
.2394846,4003
.279448,4005
.298005,4007
.3545082,4009
.3957447,4011
.3032929,4012
.264425,4013
.2922608,4015
.38125,4017
.2507988,4019
.2788344,4021
.271028,4023
.2209972,4025
.2665177,4027
.3670669,5001
.4324735,5003
.2743823,5005
.2541836,5007
.3077532,5009
.4197531,5011
.359375,5013
.3248053,5015
.5460123,5017
.3539683,5019
.4080338,5021
.2793959,5023
.2876712,5025
.4324324,5027
.3435115,5029
.4088714,5031
.3395736,5033
.4937376,5035
.4233577,5037
.48,5039
.4985337,5041
.4080561,5043
.2866018,5045
.3223819,5047
.3030303,5049
.3323272,5051
.3016158,5053
.4024478,5055
.4375,5057
.3589462,5059
.3418014,5061
.3962873,5063
.3381924,5065
.4596273,5067
.4757136,5069
.3906706,5071
.4252336,5073
.40681,5075
.5258216,5077
.375,5079
.4530831,5081
.3323217,5083
.3081033,5085
.2821159,5087
.3185841,5089
.4875284,5091
.5196983,5093
.3558559,5095
.3008475,5097
.445,5099
.2286996,5101
.4010695,5103
.3137255,5105
.5440313,5107
.3010753,5109
.5151515,5111
.2928803,5113
.3188688,5115
.3014354,5117
.3541185,5119
.3780261,5121
.5151033,5123
.2606061,5125
.3956044,5127
.2626263,5129
.3343457,5131
.3744493,5133
.3913043,5135
.3021148,5137
.4162827,5139
.3307292,5141
.2981664,5143
.3118729,5145
.3820755,5147
.3344,5149
.148565,6001
,6003
.1791383,6005
.2262513,6007
.1904119,6009
.223301,6011
.1754391,6013
.2944785,6015
.156006,6017
.2767851,6019
.2238806,6021
.2308244,6023
.2967644,6025
.19678,6027
.3111569,6029
.3190568,6031
.3159145,6033
.2875648,6035
.2226986,6037
.2560301,6039
.1073707,6041
.205042,6043
.239197,6045
.2881443,6047
.3032258,6049
.1442786,6051
.2314351,6053
.1621192,6055
.146736,6057
.1755021,6059
.1297915,6061
.2026432,6063
.2608633,6065
.2209095,6067
.2296117,6069
.2961367,6071
.2019116,6073
.1111815,6075
.2480772,6077
.1431168,6079
.1156433,6081
.1633171,6083
.1099841,6085
.1510641,6087
.2284937,6089
.2560976,6091
.2172437,6093
.2329354,6095
.1564706,6097
.2533763,6099
.2327332,6101
.2868774,6103
.2286585,6105
.302434,6107
.2261973,6109
.1793591,6111
.1529582,6113
.2800517,6115
.2856114,8001
.2638037,8003
.236128,8005
.2021505,8007
.2301587,8009
.3571429,8011
.1400351,8013
.1226131,8014
.1601256,8015
,8017
.194079,8019
.2406639,8021
.3606557,8023
.375,8025
.1719745,8027
.2036108,8029
.2510369,8031
.1785714,8033
.1256877,8035
.1451917,8037
.1530612,8039
.2252095,8041
.2382057,8043
.2308094,8045
.1402439,8047
.2193995,8049
.1588983,8051
,8053
.2716049,8055
,8057
.1752805,8059
.24,8061
.2217195,8063
.2923077,8065
.1859903,8067
.160817,8069
.3438818,8071
.275641,8073
.2222222,8075
.2242662,8077
,8079
.2390244,8081
.2643678,8083
.1711851,8085
.2563791,8087
.3092979,8089
.1388889,8091
.1799544,8093
.2064516,8095
.1339869,8097
.2575758,8099
.3092662,8101
.1969697,8103
.2334294,8105
.1183575,8107
.2355769,8109
,8111
.1444867,8113
.1758242,8115
.1715177,8117
.1761229,8119
.2125984,8121
.2213909,8123
.2457338,8125
.1957291,9001
.2420478,9003
.2054567,9005
.1718779,9007
.2434018,9009
.207221,9011
.1707653,9013
.2491123,9015
.3177952,10001
.3007596,10003
.2323009,10005
.2232908,11001
.2564447,12001
.412604,12003
.3486495,12005
.4222503,12007
.2959718,12009
.2907147,12011
.3983287,12013
.2343258,12015
.2849192,12017
.3125888,12019
.2023729,12021
.4125616,12023
.3951271,12027
.3956989,12029
.3809243,12031
.3584997,12033
.2521147,12035
.3617021,12037
.4375,12039
.3365854,12041
.3668342,12043
.3182796,12045
.443956,12047
.3902116,12049
.4441536,12051
.293434,12053
.2805734,12055
.3119165,12057
.3314917,12059
.2318584,12061
.405,12063
.3078292,12065
.4339623,12067
.2737125,12069
.2289492,12071
.2868979,12073
.3302881,12075
.372093,12077
.4273684,12079
.2601127,12081
.2938738,12083
.2168971,12085
.2722036,12086
.266735,12087
.264127,12089
.2519127,12091
.3408211,12093
.3263552,12095
.3531933,12097
.2537796,12099
.2941392,12101
.279965,12103
.357929,12105
.4157706,12107
.1886205,12109
.3040895,12111
.2807478,12113
.2062117,12115
.2736135,12117
.1380828,12119
.3587493,12121
.4341317,12123
.4557641,12125
.2955762,12127
.2896282,12129
.2575387,12131
.3558368,12133
.3528399,13001
.425,13003
.3981763,13005
.5,13007
.4328098,13009
.3387681,13011
.3271429,13013
.361815,13015
.5208012,13017
.4646962,13019
.464817,13021
.3771428,13023
.4174312,13025
.5115207,13027
.2767723,13029
.4130037,13031
.4368557,13033
.4122807,13035
.4236111,13037
.3504566,13039
.434375,13043
.3893229,13045
.3268102,13047
.4666667,13049
.3639702,13051
.313253,13053
.4599483,13055
.2153712,13057
.2907501,13059
.4939759,13061
.4880542,13063
.4759358,13065
.2645614,13067
.427226,13069
.3697876,13071
.2460098,13073
.4915572,13075
.2885906,13077
.4419355,13079
.5165165,13081
.3987342,13083
.2534909,13085
.4375,13087
.3538826,13089
.4230171,13091
.4962963,13093
.5288719,13095
.4108544,13097
.4935065,13099
.4188034,13101
.2955,13103
.3454545,13105
.4410995,13107
.4321766,13109
.255079,13111
.2130021,13113
.4142437,13115
.1493663,13117
.3403974,13119
.3124541,13121
.3026445,13123
.3095238,13125
.3539263,13127
.359673,13129
.4038461,13131
.2614601,13133
.268795,13135
.2645114,13137
.2942027,13139
.4978166,13141
.4539683,13143
.2640449,13145
.3506815,13147
.4110787,13149
.37,13151
.3264174,13153
.4477612,13155
.2607537,13157
.37,13159
.3804574,13161
.4661017,13163
.4603774,13165
.3707865,13167
.3337321,13169
.3893653,13171
.4278846,13173
.3798883,13175
.3004032,13177
.4305825,13179
.3483146,13181
.4,13183
.4030899,13185
.2932243,13187
.4226804,13189
.4046392,13191
.4949239,13193
.3052516,13195
.4377683,13197
.4690509,13199
.342246,13201
.4721362,13205
.2971098,13207
.371179,13209
.3018598,13211
.3839935,13213
.4410723,13215
.4203875,13217
.1514286,13219
.3092269,13221
.3554493,13223
.4183674,13225
.3016453,13227
.3513072,13229
.2751938,13231
.4744361,13233
.397541,13235
.3568345,13237
.4078947,13239
.2444853,13241
.4632768,13243
.4858766,13245
.390715,13247
.3066667,13249
.4330544,13251
.4041812,13253
.4461874,13255
.3760684,13257
.5424837,13259
.4603904,13261
.4904459,13263
.4736842,13265
.4176829,13267
.4409938,13269
.4292237,13271
.4818482,13273
.3781399,13275
.4301856,13277
.4009547,13279
.2576112,13281
.4210526,13283
.4273205,13285
.5151515,13287
.4042553,13289
.2042253,13291
.4411441,13293
.3932997,13295
.3263929,13297
.4278027,13299
.4921466,13301
.4829192,13303
.436345,13305
.4909091,13307
.5245901,13309
.2929864,13311
.3305653,13313
.5,13315
.4,13317
.4882155,13319
.4168013,13321
.180362,15001
.1549696,15003
,15005
.1427959,15007
.1920904,15009
.1723627,16001
.1690141,16003
.2711489,16005
.148718,16007
.1803279,16009
