FIPS,Total_Juvenile_Arrests
1001,60.5
1003,731.0
1005,137.0
1007,103.0
1009,96.0
1011,11.0
1013,42.0
1015,420.5
1017,92.5
1019,71.0
1021,42.5
1023,12.5
1025,77.0
1027,10.5
1029,22.5
1031,524.0
1033,316.0
1035,11.5
1037,14.5
1039,58.5
1041,32.0
1043,500.0
1045,86.5
1047,172.0
1049,107.5
1051,224.0
1053,136.5
1055,178.0
1057,32.0
1059,119.0
1061,137.5
1063,9.0
1065,30.5
1067,71.0
1069,557.0
1071,122.5
1073,951.0
1075,21.0
1077,312.0
1079,164.0
1081,291.0
1083,90.5
1085,9.0
1087,35.0
1089,928.0
1091,110.5
1093,93.0
1095,407.0
1097,1139.0
1099,78.5
1101,649.0
1103,671.5
1105,16.5
1107,55.5
1109,159.0
1111,82.5
1113,110.5
1115,201.0
1117,581.0
1119,8.0
1121,517.0
1123,169.0
1125,618.0
1127,112.0
1129,18.5
1131,6.0
1133,68.5
2013,0.0
2016,0.0
2020,885.0
2050,217.0
2060,0.0
2068,0.0
2070,41.0
2090,240.0
2100,0.0
2105,0.0
2110,107.0
2122,150.0
2130,93.0
2150,26.0
2164,0.0
2170,230.0
2180,104.0
2185,72.0
2188,62.0
2195,0.0
2198,5.0
2220,18.0
2230,0.0
2240,0.0
2261,21.0
2270,0.0
2275,0.0
2282,0.0
4001,77.5
4003,925.0
4005,683.0
4007,384.0
4009,218.0
4011,42.0
4012,29.0
4013,11718.0
4015,930.0
4017,404.0
4019,5308.0
4021,1494.0
4023,311.0
4025,1170.0
4027,1832.0
5001,88.0
5003,153.0
5005,125.0
5007,825.0
5009,68.0
5011,98.0
5013,5.0
5015,96.0
5017,109.0
5019,0.0
5021,47.0
5023,0.0
5025,19.0
5027,5.0
5029,49.0
5031,481.0
5033,214.0
5035,342.0
5037,52.0
5039,11.0
5041,51.0
5043,137.0
5045,266.0
5047,105.0
5049,0.0
5051,390.0
5053,27.0
5055,260.0
5057,149.0
5059,88.0
5061,44.0
5063,0.0
5065,2.5
5067,0.0
5069,561.0
5071,116.0
5073,10.5
5075,129.0
5077,0.0
5079,15.0
5081,33.0
5083,84.0
5085,167.0
5087,77.0
5089,26.0
5091,151.0
5093,195.0
5095,21.0
5097,0.0
5099,40.0
5101,5.0
5103,106.0
5105,12.5
5107,52.0
5109,25.0
5111,138.0
5113,7.5
5115,206.0
5117,28.0
5119,1132.0
5121,91.0
5123,48.0
5125,455.0
5127,29.0
5129,2.5
5131,607.0
5133,77.0
5135,123.0
5137,0.0
5139,75.0
5141,25.0
5143,1070.0
5145,178.0
5147,42.0
5149,90.0
6001,0.0
6003,0.0
6005,9.0
6007,182.0
6009,26.0
6011,23.0
6013,0.0
6015,504.0
6017,130.0
6019,1551.0
6021,0.0
6023,173.0
6025,266.0
6027,92.0
6029,706.0
6031,135.0
6033,43.0
6035,33.0
6037,3421.0
6039,512.0
6041,217.0
6043,2.5
6045,242.0
6047,338.0
6049,10.0
6051,25.0
6053,1105.0
6055,201.0
6057,15.0
6059,0.0
6061,247.0
6063,0.0
6065,1617.0
6067,814.0
6069,53.0
6071,3026.0
6073,1442.0
6075,394.0
6077,840.0
6079,302.0
6081,658.0
6083,1029.0
6085,0.0
6087,275.0
6089,180.0
6091,2.5
6093,13.0
6095,886.0
6097,828.0
6099,741.0
6101,82.0
6103,85.0
6105,25.0
6107,964.0
6109,99.0
6111,1461.0
6113,164.0
6115,109.0
8001,498.0
8003,24.0
8005,927.0
8007,16.0
8009,2.5
8011,6.0
8013,345.0
8014,47.0
8015,12.0
8017,2.5
8019,5.0
8021,6.0
8023,5.0
8025,2.5
8027,2.5
8029,40.0
8031,935.0
8033,2.5
8035,483.0
8037,35.0
8039,19.0
8041,1291.0
8043,55.0
8045,97.0
8047,2.5
8049,7.0
8051,10.0
8053,0.0
8055,28.0
8057,7.0
8059,659.0
8061,2.5
8063,6.0
8065,9.0
8067,27.0
8069,596.0
8071,40.0
8073,2.5
8075,28.0
8077,409.0
8079,2.5
8081,13.0
8083,76.0
8085,36.0
8087,33.0
8089,17.0
8091,2.5
8093,17.0
8095,7.0
8097,20.0
8099,18.0
8101,244.0
8103,13.0
8105,11.0
8107,26.0
8109,9.0
8111,0.0
8113,10.0
8115,0.0
8117,30.0
8119,23.0
8121,10.0
8123,616.0
8125,9.0
9001,1812.0
9003,1843.5
9005,244.5
9007,413.0
9009,2318.5
9011,621.0
9013,352.5
9015,309.0
10001,1121.0
10003,2262.0
10005,881.0
12001,806.0
12003,88.0
12005,705.0
12007,82.0
12009,1232.5
12011,3195.0
12013,19.0
12015,304.0
12017,242.0
12019,353.0
12021,807.5
12023,206.5
12027,148.0
12029,39.0
12031,1612.0
12033,1366.5
12035,229.0
12037,37.0
12039,112.0
12041,53.5
12043,33.0
12045,25.0
12047,117.0
12049,198.0
12051,166.0
12053,397.0
12055,384.0
12057,3465.5
12059,44.0
12061,336.0
12063,98.0
12065,47.0
12067,8.5
12069,786.5
12071,1307.5
12073,803.5
12075,136.0
12077,22.0
12079,50.0
12081,1019.0
12083,1102.0
12085,310.5
12086,2697.0
12087,133.0
12089,112.0
12091,767.0
12093,241.0
12095,3643.0
12097,855.0
12099,2867.0
12101,1269.0
12103,2735.0
12105,2660.0
12107,237.5
12109,390.5
12111,914.0
12113,422.5
12115,481.5
12117,1260.5
12119,148.0
12121,154.0
12123,83.5
12125,44.0
12127,1758.0
12129,85.0
12131,171.0
12133,49.0
13001,0.0
13003,0.0
13005,0.0
13007,0.0
13009,0.0
13011,0.0
13013,0.0
13015,184.0
13017,0.0
13019,0.0
13021,611.0
13023,0.0
13025,0.0
13027,0.0
13029,0.0
