,NAME,state,county,County_Name,State_Name,State_Abbreviation,State_Abbreviation_County,FIPS
1,"Sebastian County, Arkansas",05,131,SEBASTIAN,Arkansas,AR,AR-SEBASTIAN,05131
2,"Sevier County, Arkansas",05,133,SEVIER,Arkansas,AR,AR-SEVIER,05133
3,"Sharp County, Arkansas",05,135,SHARP,Arkansas,AR,AR-SHARP,05135
4,"Stone County, Arkansas",05,137,STONE,Arkansas,AR,AR-STONE,05137
5,"Union County, Arkansas",05,139,UNION,Arkansas,AR,AR-UNION,05139
6,"Van Buren County, Arkansas",05,141,VAN BUREN,Arkansas,AR,AR-VAN BUREN,05141
7,"Washington County, Arkansas",05,143,WASHINGTON,Arkansas,AR,AR-WASHINGTON,05143
8,"White County, Arkansas",05,145,WHITE,Arkansas,AR,AR-WHITE,05145
9,"Yell County, Arkansas",05,149,YELL,Arkansas,AR,AR-YELL,05149
10,"Colusa County, California",06,011,COLUSA,California,CA,CA-COLUSA,06011
11,"Butte County, California",06,007,BUTTE,California,CA,CA-BUTTE,06007
12,"Alameda County, California",06,001,ALAMEDA,California,CA,CA-ALAMEDA,06001
13,"Alpine County, California",06,003,ALPINE,California,CA,CA-ALPINE,06003
14,"Amador County, California",06,005,AMADOR,California,CA,CA-AMADOR,06005
15,"Calaveras County, California",06,009,CALAVERAS,California,CA,CA-CALAVERAS,06009
16,"Contra Costa County, California",06,013,CONTRA COSTA,California,CA,CA-CONTRA COSTA,06013
17,"Del Norte County, California",06,015,DEL NORTE,California,CA,CA-DEL NORTE,06015
18,"Kings County, California",06,031,KINGS,California,CA,CA-KINGS,06031
19,"Glenn County, California",06,021,GLENN,California,CA,CA-GLENN,06021
20,"Humboldt County, California",06,023,HUMBOLDT,California,CA,CA-HUMBOLDT,06023
21,"Imperial County, California",06,025,IMPERIAL,California,CA,CA-IMPERIAL,06025
22,"El Dorado County, California",06,017,EL DORADO,California,CA,CA-EL DORADO,06017
23,"Fresno County, California",06,019,FRESNO,California,CA,CA-FRESNO,06019
24,"Inyo County, California",06,027,INYO,California,CA,CA-INYO,06027
25,"Kern County, California",06,029,KERN,California,CA,CA-KERN,06029
26,"Mariposa County, California",06,043,MARIPOSA,California,CA,CA-MARIPOSA,06043
27,"Lake County, California",06,033,LAKE,California,CA,CA-LAKE,06033
28,"Lassen County, California",06,035,LASSEN,California,CA,CA-LASSEN,06035
29,"Los Angeles County, California",06,037,LOS ANGELES,California,CA,CA-LOS ANGELES,06037
30,"Madera County, California",06,039,MADERA,California,CA,CA-MADERA,06039
31,"Marin County, California",06,041,MARIN,California,CA,CA-MARIN,06041
32,"Orange County, California",06,059,ORANGE,California,CA,CA-ORANGE,06059
33,"Mendocino County, California",06,045,MENDOCINO,California,CA,CA-MENDOCINO,06045
34,"Merced County, California",06,047,MERCED,California,CA,CA-MERCED,06047
35,"Modoc County, California",06,049,MODOC,California,CA,CA-MODOC,06049
36,"Mono County, California",06,051,MONO,California,CA,CA-MONO,06051
37,"Monterey County, California",06,053,MONTEREY,California,CA,CA-MONTEREY,06053
38,"Napa County, California",06,055,NAPA,California,CA,CA-NAPA,06055
39,"Nevada County, California",06,057,NEVADA,California,CA,CA-NEVADA,06057
40,"San Bernardino County, California",06,071,SAN BERNARDINO,California,CA,CA-SAN BERNARDINO,06071
41,"Sacramento County, California",06,067,SACRAMENTO,California,CA,CA-SACRAMENTO,06067
42,"San Benito County, California",06,069,SAN BENITO,California,CA,CA-SAN BENITO,06069
43,"Placer County, California",06,061,PLACER,California,CA,CA-PLACER,06061
44,"Plumas County, California",06,063,PLUMAS,California,CA,CA-PLUMAS,06063
45,"Riverside County, California",06,065,RIVERSIDE,California,CA,CA-RIVERSIDE,06065
46,"Autauga County, Alabama",01,001,AUTAUGA,Alabama,AL,AL-AUTAUGA,01001
47,"Bibb County, Alabama",01,007,BIBB,Alabama,AL,AL-BIBB,01007
48,"Chambers County, Alabama",01,017,CHAMBERS,Alabama,AL,AL-CHAMBERS,01017
49,"Cherokee County, Alabama",01,019,CHEROKEE,Alabama,AL,AL-CHEROKEE,01019
50,"Clarke County, Alabama",01,025,CLARKE,Alabama,AL,AL-CLARKE,01025
51,"Butler County, Alabama",01,013,BUTLER,Alabama,AL,AL-BUTLER,01013
52,"Blount County, Alabama",01,009,BLOUNT,Alabama,AL,AL-BLOUNT,01009
53,"Bullock County, Alabama",01,011,BULLOCK,Alabama,AL,AL-BULLOCK,01011
54,"Chilton County, Alabama",01,021,CHILTON,Alabama,AL,AL-CHILTON,01021
55,"Choctaw County, Alabama",01,023,CHOCTAW,Alabama,AL,AL-CHOCTAW,01023
56,"Coosa County, Alabama",01,037,COOSA,Alabama,AL,AL-COOSA,01037
57,"Clay County, Alabama",01,027,CLAY,Alabama,AL,AL-CLAY,01027
58,"Cleburne County, Alabama",01,029,CLEBURNE,Alabama,AL,AL-CLEBURNE,01029
59,"Coffee County, Alabama",01,031,COFFEE,Alabama,AL,AL-COFFEE,01031
60,"Conecuh County, Alabama",01,035,CONECUH,Alabama,AL,AL-CONECUH,01035
61,"Colbert County, Alabama",01,033,COLBERT,Alabama,AL,AL-COLBERT,01033
62,"Escambia County, Alabama",01,053,ESCAMBIA,Alabama,AL,AL-ESCAMBIA,01053
63,"Covington County, Alabama",01,039,COVINGTON,Alabama,AL,AL-COVINGTON,01039
64,"Crenshaw County, Alabama",01,041,CRENSHAW,Alabama,AL,AL-CRENSHAW,01041
65,"Cullman County, Alabama",01,043,CULLMAN,Alabama,AL,AL-CULLMAN,01043
66,"Dale County, Alabama",01,045,DALE,Alabama,AL,AL-DALE,01045
67,"Dallas County, Alabama",01,047,DALLAS,Alabama,AL,AL-DALLAS,01047
68,"DeKalb County, Alabama",01,049,DEKALB,Alabama,AL,AL-DEKALB,01049
69,"Elmore County, Alabama",01,051,ELMORE,Alabama,AL,AL-ELMORE,01051
70,"Hale County, Alabama",01,065,HALE,Alabama,AL,AL-HALE,01065
71,"Etowah County, Alabama",01,055,ETOWAH,Alabama,AL,AL-ETOWAH,01055
72,"Fayette County, Alabama",01,057,FAYETTE,Alabama,AL,AL-FAYETTE,01057
73,"Franklin County, Alabama",01,059,FRANKLIN,Alabama,AL,AL-FRANKLIN,01059
74,"Geneva County, Alabama",01,061,GENEVA,Alabama,AL,AL-GENEVA,01061
75,"Greene County, Alabama",01,063,GREENE,Alabama,AL,AL-GREENE,01063
