"Easy Access to State and County Juvenile Court Case Counts"

"Districts in state: 28"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Districts","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Aleutians East","3,300","100","300","0","0","--","--","--","--","--"
"Aleutians West","5,600","300","600","0","0","--","--","--","--","--"
"Anchorage","288,000","29,700","69,200","420","465","--","--","--","--","--"
"Bethel","18,400","2,600","6,500","95","122","--","--","--","--","--"
"Bristol Bay","800","0","100","0","0","--","--","--","--","--"
"Denali","2,100","200","400","0","0","--","--","--","--","--"
"Dillingham","4,900","600","1,500","17","24","--","--","--","--","--"
"Fairbanks North Star","96,800","9,200","23,000","80","160","--","--","--","--","--"
"Haines","2,500","200","500","0","0","--","--","--","--","--"
"Hoonah-Angoon","2,100","200","400","0","0","--","--","--","--","--"
"Juneau","32,000","3,000","6,700","58","49","--","--","--","--","--"
"Kenai Peninsula","58,700","6,000","13,200","72","78","--","--","--","--","--"
"Ketchikan Gateway","13,900","1,400","3,000","21","72","--","--","--","--","--"
"Kodiak Island","13,000","1,300","3,200","14","12","--","--","--","--","--"
"Lake and Peninsula","1,600","200","500","0","0","--","--","--","--","--"
"Matanuska-Susitna","108,300","13,100","28,600","105","125","--","--","--","--","--"
"Nome","10,000","1,400","3,500","60","44","--","--","--","--","--"
"North Slope","9,800","1,100","2,600","30","42","--","--","--","--","--"
"Northwest Arctic","7,600","1,100","2,800","37","25","--","--","--","--","--"
"Petersburg","3,300","300","700","0","0","--","--","--","--","--"
"Prince of Wales-Hyder","6,200","700","1,400","*","*","--","--","--","--","--"
"Sitka","8,500","800","1,800","7","11","--","--","--","--","--"
"Skagway","1,200","100","200","0","0","--","--","--","--","--"
"Southeast Fairbanks","6,900","700","1,700","0","0","--","--","--","--","--"
"Valdez-Cordova","9,200","900","2,100","10","11","--","--","--","--","--"
"Wrangell City","2,500","200","500","0","0","--","--","--","--","--"
"Yakutat City","600","0","100","0","0","--","--","--","--","--"
"Yukon-Koyukuk","5,200","600","1,500","0","0","--","--","--","--","--"

"Number of Reported Cases",,,,"1,027","1,243","--","--","--","--","--"
"Population Represented","723,200","76,000","176,500","76,000","76,000","--","--","--","--","--"
"Rates for Reporting Districts",,,,"13.51","16.35","--","--","--","--","--"
"Number of Reporting Counties",,,,"28","28","--","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Alaska Division of Juvenile Justice"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
