"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 75"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Arkansas","17,500","1,700","4,000","36","--","52","--","--","--","--"
"Ashley","19,700","2,000","4,400","71","--","82","--","--","--","--"
"Baxter","41,900","3,600","7,500","81","--","44","--","--","--","--"
"Benton","279,100","33,100","72,700","536","--","289","--","--","--","--"
"Boone","37,400","3,900","8,500","14","--","54","--","--","--","--"
"Bradley","10,800","1,200","2,600","47","--","51","--","--","--","--"
"Calhoun","5,200","400","1,000","*","--","*","--","--","--","--"
"Carroll","28,400","2,800","6,100","47","--","49","--","--","--","--"
"Chicot","10,100","1,000","2,200","36","--","73","--","--","--","--"
"Clark","22,300","1,900","4,200","--","--","--","--","--","--","--"
"Clay","14,600","1,400","3,100","23","--","24","--","--","--","--"
"Cleburne","24,900","2,300","4,700","--","--","--","--","--","--","--"
"Cleveland","8,000","900","1,700","10","--","9","--","--","--","--"
"Columbia","23,500","2,200","4,800","*","--","*","--","--","--","--"
"Conway","20,800","2,100","4,700","28","--","21","--","--","--","--"
"Craighead","110,300","12,200","27,600","257","--","224","--","--","--","--"
"Crawford","63,300","7,200","15,400","100","--","114","--","--","--","--"
"Crittenden","48,000","5,800","13,000","284","--","58","--","--","--","--"
"Cross","16,400","1,700","3,800","29","--","23","--","--","--","--"
"Dallas","7,000","700","1,500","11","--","--","--","--","--","--"
"Desha","11,400","1,300","2,900","51","--","--","--","--","--","--"
"Drew","18,200","1,800","3,900","43","--","94","--","--","--","--"
"Faulkner","126,000","13,200","28,700","202","--","64","--","--","--","--"
"Franklin","17,700","1,900","4,000","105","--","--","--","--","--","--"
"Fulton","12,500","1,300","2,600","--","--","--","--","--","--","--"
"Garland","99,400","9,100","19,800","239","--","151","--","--","--","--"
"Grant","18,300","1,900","4,000","7","--","20","--","--","--","--"
"Greene","45,300","5,000","11,000","37","--","223","--","--","--","--"
"Hempstead","21,500","2,400","5,500","82","--","67","--","--","--","--"
"Hot Spring","33,800","3,400","7,000","31","--","57","--","--","--","--"
"Howard","13,200","1,500","3,500","14","--","30","--","--","--","--"
"Independence","37,800","4,200","9,300","--","--","--","--","--","--","--"
"Izard","13,600","1,200","2,400","*","--","--","--","--","--","--"
"Jackson","16,700","1,500","3,400","--","--","--","--","--","--","--"
"Jefferson","66,800","6,600","14,500","274","--","287","--","--","--","--"
"Johnson","26,600","3,000","6,500","95","--","21","--","--","--","--"
"Lafayette","6,600","600","1,200","*","--","8","--","--","--","--"
"Lawrence","16,400","1,700","3,600","48","--","81","--","--","--","--"
"Lee","8,900","700","1,600","--","--","--","--","--","--","--"
