"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 58"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Alameda","1,671,300","150,400","340,100","0","--","--","--","0","--","--"
"Alpine","1,100","100","200","0","--","--","--","0","--","--"
"Amador","39,800","2,700","6,000","9","--","--","--","24","--","--"
"Butte","219,200","19,900","44,400","182","--","--","--","161","--","--"
"Calaveras","45,900","3,700","7,800","26","--","--","--","92","--","--"
"Colusa","21,500","2,800","5,800","23","--","--","--","*","--","--"
"Contra Costa","1,153,500","123,400","258,600","--","--","--","--","--","--","--"
"Del Norte","27,800","2,700","5,800","504","--","--","--","367","--","--"
"El Dorado","192,800","18,900","38,100","130","--","--","--","119","--","--"
"Fresno","999,100","125,100","281,900","1,551","--","--","--","936","--","--"
"Glenn","28,400","3,400","7,600","0","--","--","--","0","--","--"
"Humboldt","135,600","11,500","25,600","173","--","--","--","44","--","--"
"Imperial","181,200","22,300","51,600","266","--","--","--","160","--","--"
"Inyo","18,000","1,600","3,700","92","--","--","--","*","--","--"
"Kern","900,200","116,400","259,100","706","--","--","--","640","--","--"
"Kings","152,900","17,900","41,300","135","--","--","--","126","--","--"
"Lake","64,400","6,000","13,600","43","--","--","--","81","--","--"
"Lassen","30,600","2,300","5,300","33","--","--","--","50","--","--"
"Los Angeles","10,039,100","964,500","2,144,600","3,421","--","--","--","19,722","--","--"
"Madera","157,300","19,400","43,100","512","--","--","--","116","--","--"
"Marin","258,800","26,200","51,300","217","--","--","--","52","--","--"
"Mariposa","17,200","1,300","2,800","*","--","--","--","12","--","--"
"Mendocino","86,700","8,200","18,300","242","--","--","--","121","--","--"
"Merced","277,700","37,000","81,200","338","--","--","--","140","--","--"
"Modoc","8,800","800","1,700","10","--","--","--","32","--","--"
"Mono","14,400","1,200","2,600","25","--","--","--","10","--","--"
"Monterey","434,100","50,400","112,700","1,105","--","--","--","67","--","--"
"Napa","137,700","13,600","27,800","201","--","--","--","102","--","--"
"Nevada","99,800","8,100","16,900","15","--","--","--","67","--","--"
"Orange","3,175,700","318,100","689,700","--","--","--","--","--","--","--"
"Placer","398,300","42,300","87,900","247","--","--","--","189","--","--"
"Plumas","18,800","1,500","3,300","0","--","--","--","0","--","--"
"Riverside","2,470,500","287,800","614,200","1,617","--","--","--","1,258","--","--"
"Sacramento","1,552,100","163,900","363,100","814","--","--","--","928","--","--"
"San Benito","62,800","7,500","16,000","53","--","--","--","35","--","--"
"San Bernardino","2,180,100","259,100","569,600","3,026","--","--","--","3,649","--","--"
"San Diego","3,338,300","310,300","714,800","1,442","--","--","--","1,442","--","--"
"San Francisco","881,500","46,700","118,200","394","--","--","--","598","--","--"
"San Joaquin","762,100","94,500","204,600","840","--","--","--","1,003","--","--"
"San Luis Obispo","283,100","22,700","49,500","302","--","--","--","247","--","--"
"San Mateo","766,600","70,200","155,200","658","--","--","--","218","--","--"
"Santa Barbara","446,500","43,100","98,600","1,029","--","--","--","281","--","--"
"Santa Clara","1,927,900","190,400","415,900","0","--","--","--","0","--","--"
"Santa Cruz","273,200","24,000","51,900","275","--","--","--","142","--","--"
"Shasta","180,100","17,300","38,800","180","--","--","--","160","--","--"
"Sierra","3,000","200","500","*","--","--","--","0","--","--"
"Siskiyou","43,500","4,100","8,700","13","--","--","--","48","--","--"
"Solano","447,600","44,300","98,500","886","--","--","--","189","--","--"
"Sonoma","494,300","45,400","95,500","828","--","--","--","297","--","--"
"Stanislaus","550,700","68,000","148,400","741","--","--","--","319","--","--"
"Sutter","97,000","11,500","25,000","82","--","--","--","77","--","--"
"Tehama","65,100","7,200","15,500","85","--","--","--","112","--","--"
"Trinity","12,300","1,000","2,100","25","--","--","--","11","--","--"
"Tulare","466,200","64,900","142,100","964","--","--","--","765","--","--"
"Tuolumne","54,500","4,200","9,200","99","--","--","--","198","--","--"
"Ventura","846,000","89,600","190,900","1,461","--","--","--","786","--","--"
"Yolo","220,500","21,200","45,800","164","--","--","--","388","--","--"
"Yuba","78,700","9,200","21,600","109","--","--","--","38","--","--"

"Number of Reported Cases",,,,"26,295","--","--","--","36,623","--","--"
"Population Represented","39,512,200","4,032,100","8,894,600","3,590,600","--","--","--","7,946,300","--","--"
"Rates for Reporting Counties",,,,"7.32","--","--","--","4.61","--","--"
"Number of Reporting Counties",,,,"56","--","--","--","56","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Judicial Council of California"
"Mode: Annual Court Statistics Report: Statewide Caseload Trends"
"1. Delinquency figures are cases disposed for fiscal year 2018-2019. They include delinquency and status offense cases."
"2. Totals for delinquency include miscellaneous juvenile petitions as well as non-minor dependent (AB 12) and W&I 777 petitions, both new data fields collected as of FY18-19."
"3. Status figures were reported with delinquency figures."
"4. Dependency figures are cases disposed for fiscal year 2018-2019."
"5. Totals for dependency include non-minor dependent (AB 12) and W&I 387 petitions, a new data field collected as of FY18-19.

"

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
