"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 64"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adams","517,400","62,000","135,200","498","--","--","--","96","--","--"
"Alamosa","16,200","1,700","3,900","24","--","--","--","15","--","--"
"Arapahoe","656,600","70,800","152,900","927","--","--","--","68","--","--"
"Archuleta","14,000","1,200","2,500","16","--","--","--","*","--","--"
"Baca","3,600","400","800","*","--","--","--","0","--","--"
"Bent","5,600","400","900","6","--","--","--","*","--","--"
"Boulder","326,200","30,400","61,200","345","--","--","--","28","--","--"
"Broomfield","70,500","7,800","15,600","47","--","--","--","8","--","--"
"Chaffee","20,400","1,500","3,100","12","--","--","--","5","--","--"
"Cheyenne","1,800","200","500","*","--","--","--","*","--","--"
"Clear Creek","9,700","700","1,500","5","--","--","--","*","--","--"
"Conejos","8,200","1,000","2,100","6","--","--","--","*","--","--"
"Costilla","3,900","400","700","5","--","--","--","5","--","--"
"Crowley","6,100","300","700","*","--","--","--","0","--","--"
"Custer","5,100","300","700","*","--","--","--","*","--","--"
"Delta","31,200","2,900","6,100","40","--","--","--","12","--","--"
"Denver","727,200","57,900","138,600","935","--","--","--","87","--","--"
"Dolores","2,100","200","400","*","--","--","--","*","--","--"
"Douglas","351,200","44,800","88,400","483","--","--","--","60","--","--"
"Eagle","55,100","5,800","11,800","35","--","--","--","5","--","--"
"Elbert","26,700","3,000","5,700","19","--","--","--","*","--","--"
"El Paso","720,400","76,200","171,600","1,291","--","--","--","208","--","--"
"Fremont","47,800","3,600","7,700","55","--","--","--","25","--","--"
"Garfield","60,100","6,800","15,000","97","--","--","--","*","--","--"
"Gilpin","6,200","500","900","*","--","--","--","*","--","--"
"Grand","15,700","1,400","2,600","7","--","--","--","*","--","--"
"Gunnison","17,500","1,400","2,900","10","--","--","--","*","--","--"
"Hinsdale","800","100","100","0","--","--","--","0","--","--"
"Huerfano","6,900","500","1,100","28","--","--","--","5","--","--"
"Jackson","1,400","100","200","7","--","--","--","0","--","--"
"Jefferson","582,900","52,900","113,200","659","--","--","--","80","--","--"
"Kiowa","1,400","100","300","*","--","--","--","*","--","--"
"Kit Carson","7,100","800","1,800","6","--","--","--","*","--","--"
"Lake","8,100","700","1,600","9","--","--","--","*","--","--"
"La Plata","56,200","4,900","10,500","27","--","--","--","*","--","--"
"Larimer","356,900","32,500","69,100","596","--","--","--","59","--","--"
"Las Animas","14,500","1,200","2,600","40","--","--","--","5","--","--"
"Lincoln","5,700","500","1,200","*","--","--","--","*","--","--"
"Logan","22,400","1,800","4,000","28","--","--","--","11","--","--"
"Mesa","154,200","15,200","32,800","409","--","--","--","44","--","--"
"Mineral","800","0","100","*","--","--","--","0","--","--"
"Moffat","13,300","1,500","3,400","13","--","--","--","8","--","--"
"Montezuma","26,200","2,600","5,700","76","--","--","--","*","--","--"
"Montrose","42,800","4,200","9,100","36","--","--","--","11","--","--"
"Morgan","29,100","3,200","7,500","33","--","--","--","25","--","--"
"Otero","18,300","2,100","4,400","17","--","--","--","10","--","--"
"Ouray","5,000","400","800","*","--","--","--","*","--","--"
"Park","18,800","1,400","2,800","17","--","--","--","5","--","--"
"Phillips","4,300","500","1,000","7","--","--","--","0","--","--"
"Pitkin","17,800","1,300","2,600","20","--","--","--","*","--","--"
"Prowers","12,200","1,400","3,100","18","--","--","--","8","--","--"
"Pueblo","168,400","17,600","37,400","244","--","--","--","41","--","--"
"Rio Blanco","6,300","700","1,500","13","--","--","--","5","--","--"
"Rio Grande","11,300","1,200","2,500","11","--","--","--","6","--","--"
"Routt","25,600","2,200","4,600","26","--","--","--","5","--","--"
"Saguache","6,800","700","1,400","9","--","--","--","*","--","--"
"San Juan","700","0","100","0","--","--","--","0","--","--"
"San Miguel","8,200","700","1,400","10","--","--","--","*","--","--"
"Sedgwick","2,200","200","400","0","--","--","--","0","--","--"
"Summit","31,000","2,300","5,000","30","--","--","--","*","--","--"
"Teller","25,400","2,100","4,300","23","--","--","--","5","--","--"
"Washington","4,900","500","1,100","10","--","--","--","6","--","--"
"Weld","324,500","37,500","84,000","616","--","--","--","78","--","--"
"Yuma","10,000","1,200","2,700","9","--","--","--","*","--","--"

"Number of Reported Cases",,,,"7,937","--","--","--","1,094","--","--"
"Population Represented","5,758,700","580,500","1,259,500","580,500","--","--","--","1,259,500","--","--"
"Rates for Reporting Counties",,,,"13.67","--","--","--","0.87","--","--"
"Number of Reporting Counties",,,,"64","--","--","--","64","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Colorado Judicial Branch"
"Mode: Automated data file (delinquency figures) and Annual Statistical Report, FY 2019 (dependency figures)"
"1. Delinquency figures are petitioned case filings."
"2. Dependency figures are petitioned case filings for fiscal year 2019."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
