"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 67"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Alachua","269,000","20,600","48,300","466","340","0","--","--","--","--"
"Baker","29,200","3,200","7,000","50","38","0","--","--","--","--"
"Bay","174,700","16,000","36,000","425","280","0","--","--","--","--"
"Bradford","28,200","2,400","5,500","36","46","0","--","--","--","--"
"Brevard","601,900","51,800","109,200","582","648","*","--","--","--","--"
"Broward","1,952,800","185,200","410,200","1,727","1,468","0","--","--","--","--"
"Calhoun","14,100","1,400","2,800","9","10","0","--","--","--","--"
"Charlotte","188,900","10,800","22,300","75","229","0","--","--","--","--"
"Citrus","149,700","10,400","22,000","148","94","0","--","--","--","--"
"Clay","219,300","24,700","50,400","215","138","0","--","--","--","--"
"Collier","384,900","30,700","64,800","406","399","*","--","--","--","--"
"Columbia","71,700","7,000","15,400","162","42","*","--","--","--","--"
"De Soto","38,000","3,300","7,200","74","74","0","--","--","--","--"
"Dixie","16,800","1,400","3,100","19","20","0","--","--","--","--"
"Duval","957,800","90,400","215,700","1,069","543","0","--","--","--","--"
"Escambia","318,300","28,700","66,200","940","424","*","--","--","--","--"
"Flagler","115,100","9,600","19,100","118","111","0","--","--","--","--"
"Franklin","12,100","900","1,900","10","27","0","--","--","--","--"
"Gadsden","45,700","4,500","9,900","76","36","0","--","--","--","--"
"Gilchrist","18,600","1,700","3,700","25","26","*","--","--","--","--"
"Glades","13,800","1,100","2,000","6","27","0","--","--","--","--"
"Gulf","13,600","1,100","2,500","12","13","0","--","--","--","--"
"Hamilton","14,400","1,200","2,700","103","14","0","--","--","--","--"
"Hardee","26,900","3,100","6,900","95","103","0","--","--","--","--"
"Hendry","42,000","5,000","11,200","71","95","0","--","--","--","--"
"Hernando","193,900","16,900","35,400","147","250","0","--","--","--","--"
"Highlands","106,200","8,300","17,900","211","173","0","--","--","--","--"
"Hillsborough","1,472,000","145,000","325,200","1,508","1,955","*","--","--","--","--"
"Holmes","19,600","1,900","4,000","25","19","0","--","--","--","--"
"Indian River","159,900","11,800","25,000","251","85","0","--","--","--","--"
"Jackson","46,400","4,100","8,800","54","44","0","--","--","--","--"
"Jefferson","14,200","1,100","2,400","21","26","0","--","--","--","--"
"Lafayette","8,400","900","1,700","6","*","0","--","--","--","--"
"Lake","367,100","32,500","69,400","237","547","*","--","--","--","--"
"Lee","770,600","61,900","133,500","579","726","*","--","--","--","--"
"Leon","293,600","24,500","54,700","596","205","*","--","--","--","--"
"Levy","41,500","3,600","8,100","69","67","0","--","--","--","--"
"Liberty","8,400","700","1,500","15","7","0","--","--","--","--"
"Madison","18,500","1,600","3,400","39","11","0","--","--","--","--"
"Manatee","403,300","34,200","72,500","428","591","0","--","--","--","--"
"Marion","365,600","30,800","67,500","510","592","0","--","--","--","--"
"Martin","161,000","12,500","26,100","166","142","*","--","--","--","--"
"Miami-Dade","2,716,900","242,300","549,700","854","1,843","0","--","--","--","--"
