"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 159"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Appling","18,400","1,800","4,300","--","--","--","--","--","--","--"
"Atkinson","8,200","800","2,000","--","--","--","--","--","--","--"
"Bacon","11,200","1,100","2,700","--","--","--","--","--","--","--"
"Baker","3,000","200","600","--","--","--","--","--","--","--"
"Baldwin","44,900","3,400","7,800","--","--","--","--","--","--","--"
"Banks","19,200","1,800","4,000","--","--","--","--","--","--","--"
"Barrow","83,200","8,700","20,300","--","--","--","--","--","--","--"
"Bartow","107,700","10,500","24,200","53","75","13","43","--","--","--"
"Ben Hill","16,700","1,700","3,900","--","--","--","--","--","--","--"
"Berrien","19,400","1,900","4,400","--","--","--","--","--","--","--"
"Bibb","153,200","14,300","35,100","355","129","17","110","--","--","--"
"Bleckley","12,900","1,000","2,400","--","--","--","--","--","--","--"
"Brantley","19,100","1,800","4,200","--","--","--","--","--","--","--"
"Brooks","15,500","1,300","3,100","--","--","--","--","--","--","--"
"Bryan","39,600","4,800","11,000","--","--","--","--","--","--","--"
"Bulloch","79,600","6,100","14,900","--","--","--","--","--","--","--"
"Burke","22,400","2,300","5,400","--","--","--","--","--","--","--"
"Butts","24,900","2,000","4,800","--","--","--","--","--","--","--"
"Calhoun","6,200","500","1,000","--","--","--","--","--","--","--"
"Camden","54,700","4,900","12,600","43","*","*","0","--","--","--"
"Candler","10,800","1,100","2,500","--","--","--","--","--","--","--"
"Carroll","120,000","11,400","26,600","194","27","91","190","--","--","--"
"Catoosa","67,600","6,600","14,300","--","--","--","--","--","--","--"
"Charlton","13,400","1,000","2,300","--","--","--","--","--","--","--"
"Chatham","289,400","23,000","57,200","533","274","65","126","--","--","--"
"Chattahoochee","10,900","700","2,400","--","--","--","--","--","--","--"
"Chattooga","24,800","2,200","5,200","23","5","*","15","--","--","--"
"Cherokee","258,800","26,600","58,200","--","--","--","--","--","--","--"
"Clarke","128,300","8,100","20,900","276","137","71","104","--","--","--"
"Clay","2,800","200","500","12","*","0","0","--","--","--"
"Clayton","292,300","32,000","76,400","--","--","--","--","--","--","--"
"Clinch","6,600","700","1,600","--","--","--","--","--","--","--"
"Cobb","760,100","72,100","166,400","1,027","376","184","176","--","--","--"
"Coffee","43,300","4,000","10,000","--","--","--","--","--","--","--"
"Colquitt","45,600","4,700","11,000","--","--","--","--","--","--","--"
"Columbia","156,700","16,300","37,100","155","125","90","148","--","--","--"
"Cook","17,300","1,800","4,100","--","--","--","--","--","--","--"
"Coweta","148,500","15,100","33,600","110","101","28","58","--","--","--"
"Crawford","12,400","1,100","2,400","--","--","--","--","--","--","--"
"Crisp","22,400","2,200","5,000","--","--","--","--","--","--","--"
"Dade","16,100","1,200","2,900","--","--","--","--","--","--","--"
"Dawson","26,100","2,200","4,900","37","8","26","7","--","--","--"
"Decatur","26,400","2,500","6,000","--","--","--","--","--","--","--"
"De Kalb","759,300","64,300","165,600","1,196","488","19","463","--","--","--"
"Dodge","20,600","1,600","3,700","--","--","--","--","--","--","--"
"Dooly","13,400","1,000","2,000","--","--","--","--","--","--","--"
"Dougherty","88,000","8,000","19,600","492","42","*","109","--","--","--"
"Douglas","146,300","16,000","35,100","--","--","--","--","--","--","--"
"Early","10,200","1,000","2,400","--","--","--","--","--","--","--"
"Echols","4,000","400","1,000","--","--","--","--","--","--","--"
"Effingham","64,300","6,900","16,000","--","--","--","--","--","--","--"
"Elbert","19,200","1,600","3,900","--","--","--","--","--","--","--"
"Emanuel","22,600","2,200","5,300","--","--","--","--","--","--","--"
"Evans","10,700","1,100","2,700","--","--","--","--","--","--","--"
"Fannin","26,200","1,800","4,000","--","--","--","--","--","--","--"
"Fayette","114,400","12,300","24,300","205","10","64","22","--","--","--"
"Floyd","98,500","9,200","21,300","--","--","--","--","--","--","--"
"Forsyth","244,300","29,200","61,700","--","--","--","--","--","--","--"
"Franklin","23,300","2,000","4,800","--","--","--","--","--","--","--"
"Fulton","1,063,900","91,400","214,800","1,564","110","292","327","--","--","--"
"Gilmer","31,400","2,400","5,600","--","--","--","--","--","--","--"
"Glascock","3,000","300","600","--","--","--","--","--","--","--"
"Glynn","85,300","7,400","17,100","--","--","--","--","--","--","--"
"Gordon","58,000","5,800","12,900","49","39","8","105","--","--","--"
"Grady","24,600","2,500","5,800","--","--","--","--","--","--","--"
"Greene","18,300","1,300","3,300","--","--","--","--","--","--","--"
"Gwinnett","936,200","105,500","233,900","1,261","406","9","799","--","--","--"
"Habersham","45,300","4,200","9,500","--","--","--","--","--","--","--"
"Hall","204,400","21,000","47,700","301","28","123","46","--","--","--"
"Hancock","8,500","600","1,200","--","--","--","--","--","--","--"
"Haralson","29,800","2,900","6,800","--","--","--","--","--","--","--"
"Harris","35,200","3,300","7,000","--","--","--","--","--","--","--"
"Hart","26,200","2,300","5,100","--","--","--","--","--","--","--"
"Heard","11,900","1,100","2,500","--","--","--","--","--","--","--"
"Henry","234,600","26,400","55,300","418","152","21","121","--","--","--"
"Houston","157,900","16,300","38,100","1,032","371","468","166","--","--","--"
"Irwin","9,400","800","1,800","--","--","--","--","--","--","--"
"Jackson","73,000","7,500","17,400","--","--","--","--","--","--","--"
"Jasper","14,200","1,400","3,100","--","--","--","--","--","--","--"
"Jeff Davis","15,100","1,600","3,700","--","--","--","--","--","--","--"
"Jefferson","15,400","1,400","3,400","--","--","--","--","--","--","--"
"Jenkins","8,700","700","1,600","--","--","--","--","--","--","--"
"Johnson","9,600","700","1,700","--","--","--","--","--","--","--"
"Jones","28,700","2,900","6,100","--","--","--","--","--","--","--"
"Lamar","19,100","1,500","3,700","--","--","--","--","--","--","--"
"Lanier","10,400","1,000","2,400","--","--","--","--","--","--","--"
"Laurens","47,500","4,700","11,000","--","--","--","--","--","--","--"
"Lee","30,000","3,300","7,400","--","--","--","--","--","--","--"
"Liberty","61,400","5,500","16,700","--","--","--","--","--","--","--"
"Lincoln","7,900","600","1,400","--","--","--","--","--","--","--"
"Long","19,600","2,100","5,000","--","--","--","--","--","--","--"
"Lowndes","117,400","10,900","26,900","--","--","--","--","--","--","--"
"Lumpkin","33,600","2,400","5,500","--","--","--","--","--","--","--"
"McDuffie","21,300","2,100","5,000","--","--","--","--","--","--","--"
"McIntosh","14,400","1,000","2,100","--","--","--","--","--","--","--"
"Macon","12,900","900","2,200","--","--","--","--","--","--","--"
"Madison","29,900","2,800","6,400","--","--","--","--","--","--","--"
"Marion","8,400","700","1,600","--","--","--","--","--","--","--"
"Meriwether","21,200","1,800","4,200","--","--","--","--","--","--","--"
"Miller","5,700","500","1,200","--","--","--","--","--","--","--"
"Mitchell","21,900","2,000","4,600","--","--","--","--","--","--","--"
"Monroe","27,600","2,300","5,200","--","--","--","--","--","--","--"
"Montgomery","9,200","700","1,700","--","--","--","--","--","--","--"
"Morgan","19,300","1,800","4,100","--","--","--","--","--","--","--"
"Murray","40,100","4,100","9,200","53","7","45","*","--","--","--"
"Muscogee","195,800","18,000","46,000","834","136","78","191","--","--","--"
"Newton","111,700","12,200","27,100","265","83","97","82","--","--","--"
"Oconee","40,300","4,700","9,900","--","--","--","--","--","--","--"
"Oglethorpe","15,300","1,200","3,000","--","--","--","--","--","--","--"
"Paulding","168,700","18,400","41,000","--","--","--","--","--","--","--"
"Peach","27,500","2,200","5,400","--","--","--","--","--","--","--"
"Pickens","32,600","2,700","6,000","--","--","--","--","--","--","--"
"Pierce","19,500","2,000","4,500","--","--","--","--","--","--","--"
"Pike","19,000","1,900","4,100","--","--","--","--","--","--","--"
"Polk","42,600","4,400","10,200","25","5","0","0","--","--","--"
"Pulaski","11,100","900","1,900","--","--","--","--","--","--","--"
"Putnam","22,100","1,800","4,100","--","--","--","--","--","--","--"
"Quitman","2,300","200","400","--","--","--","--","--","--","--"
"Rabun","17,100","1,200","2,600","--","--","--","--","--","--","--"
"Randolph","6,800","600","1,300","--","--","--","--","--","--","--"
"Richmond","202,500","17,000","43,400","--","--","--","--","--","--","--"
"Rockdale","90,900","9,600","20,600","220","156","*","20","--","--","--"
"Schley","5,300","600","1,200","--","--","--","--","--","--","--"
"Screven","14,000","1,100","2,800","--","--","--","--","--","--","--"
"Seminole","8,100","700","1,600","--","--","--","--","--","--","--"
"Spalding","66,700","6,300","14,800","229","38","10","0","--","--","--"
"Stephens","25,900","2,300","5,500","--","--","--","--","--","--","--"
"Stewart","6,600","300","700","--","--","--","--","--","--","--"
"Sumter","29,500","2,700","6,300","--","--","--","--","--","--","--"
"Talbot","6,200","400","1,000","--","--","--","--","--","--","--"
"Taliaferro","1,500","100","200","--","--","--","--","--","--","--"
"Tattnall","25,300","2,100","4,900","--","--","--","--","--","--","--"
"Taylor","8,000","700","1,500","--","--","--","--","--","--","--"
"Telfair","15,900","1,100","2,400","--","--","--","--","--","--","--"
"Terrell","8,500","800","1,900","--","--","--","--","--","--","--"
"Thomas","44,500","4,200","9,900","60","63","*","16","--","--","--"
"Tift","40,600","3,900","9,500","108","0","21","0","--","--","--"
"Toombs","26,800","2,900","6,700","--","--","--","--","--","--","--"
"Towns","12,000","600","1,500","--","--","--","--","--","--","--"
"Treutlen","6,900","600","1,500","--","--","--","--","--","--","--"
"Troup","69,900","6,900","16,000","264","0","18","0","--","--","--"
"Turner","8,000","800","1,800","--","--","--","--","--","--","--"
"Twiggs","8,100","600","1,500","--","--","--","--","--","--","--"
"Union","24,500","1,600","3,500","--","--","--","--","--","--","--"
"Upson","26,300","2,300","5,600","133","16","5","0","--","--","--"
"Walker","69,800","6,100","14,100","50","59","14","105","--","--","--"
"Walton","94,600","9,800","21,600","259","5","65","17","--","--","--"
"Ware","35,700","3,400","8,200","46","22","5","24","--","--","--"
"Warren","5,300","400","1,000","--","--","--","--","--","--","--"
"Washington","20,400","1,800","4,200","--","--","--","--","--","--","--"
"Wayne","29,900","2,900","6,800","--","--","--","--","--","--","--"
"Webster","2,600","200","400","--","--","--","--","--","--","--"
"Wheeler","7,900","500","1,300","--","--","--","--","--","--","--"
"White","30,800","2,600","5,700","--","--","--","--","--","--","--"
"Whitfield","104,600","11,300","25,400","155","169","90","114","--","--","--"
"Wilcox","8,600","700","1,600","--","--","--","--","--","--","--"
"Wilkes","9,800","900","1,900","--","--","--","--","--","--","--"
"Wilkinson","9,000","900","1,900","--","--","--","--","--","--","--"
"Worth","20,200","1,900","4,200","--","--","--","--","--","--","--"

"Number of Reported Cases",,,,"12,037","3,666","2,048","3,706","--","--","--"
"Population Represented","10,617,400","1,017,100","2,359,300","633,900","633,900","633,900","633,900","--","--","--"
