"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 99"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adair","7,200","700","1,600","*","5","--","--","--","--","--"
"Adams","3,600","400","800","5","15","--","--","--","--","--"
"Allamakee","13,700","1,400","3,200","*","28","--","--","--","--","--"
"Appanoose","12,400","1,300","2,800","13","27","--","--","--","--","--"
"Audubon","5,500","500","1,200","*","8","--","--","--","--","--"
"Benton","25,600","2,800","5,900","20","31","--","--","--","--","--"
"Black Hawk","131,200","12,300","28,500","137","371","--","--","--","--","--"
"Boone","26,200","2,700","5,500","21","57","--","--","--","--","--"
"Bremer","25,100","2,700","5,600","23","91","--","--","--","--","--"
"Buchanan","21,200","2,700","5,500","18","44","--","--","--","--","--"
"Buena Vista","19,600","2,200","5,000","15","83","--","--","--","--","--"
"Butler","14,400","1,600","3,200","*","25","--","--","--","--","--"
"Calhoun","9,700","900","2,100","*","15","--","--","--","--","--"
"Carroll","20,200","2,300","4,900","20","31","--","--","--","--","--"
"Cass","12,800","1,400","2,800","10","35","--","--","--","--","--"
"Cedar","18,600","2,000","4,100","*","37","--","--","--","--","--"
"Cerro Gordo","42,400","4,000","8,800","19","157","--","--","--","--","--"
"Cherokee","11,200","1,100","2,400","6","16","--","--","--","--","--"
"Chickasaw","11,900","1,300","2,800","5","29","--","--","--","--","--"
"Clarke","9,400","1,200","2,400","7","35","--","--","--","--","--"
"Clay","16,000","1,700","3,600","7","42","--","--","--","--","--"
"Clayton","17,500","1,700","3,700","*","14","--","--","--","--","--"
"Clinton","46,400","4,800","10,500","18","103","--","--","--","--","--"
"Crawford","16,800","1,900","4,200","15","32","--","--","--","--","--"
"Dallas","93,500","11,200","25,600","63","221","--","--","--","--","--"
"Davis","9,000","1,200","2,700","5","6","--","--","--","--","--"
"Decatur","7,900","800","1,800","*","9","--","--","--","--","--"
"Delaware","17,000","1,900","4,000","11","18","--","--","--","--","--"
"Des Moines","39,000","4,100","8,800","82","244","--","--","--","--","--"
"Dickinson","17,300","1,500","3,300","*","15","--","--","--","--","--"
"Dubuque","97,300","10,000","22,100","104","393","--","--","--","--","--"
"Emmet","9,200","900","1,900","6","27","--","--","--","--","--"
"Fayette","19,600","1,900","4,100","11","53","--","--","--","--","--"
"Floyd","15,600","1,700","3,600","10","26","--","--","--","--","--"
"Franklin","10,100","1,100","2,300","*","15","--","--","--","--","--"
"Fremont","7,000","700","1,500","*","9","--","--","--","--","--"
"Greene","8,900","900","2,000","*","32","--","--","--","--","--"
"Grundy","12,200","1,300","2,800","7","22","--","--","--","--","--"
"Guthrie","10,700","1,100","2,300","10","17","--","--","--","--","--"
"Hamilton","14,800","1,500","3,400","*","40","--","--","--","--","--"
"Hancock","10,600","1,100","2,300","*","15","--","--","--","--","--"
"Hardin","16,800","1,600","3,300","34","77","--","--","--","--","--"
"Harrison","14,000","1,500","3,200","15","18","--","--","--","--","--"
"Henry","20,000","2,000","4,300","37","91","--","--","--","--","--"
"Howard","9,200","1,100","2,300","*","11","--","--","--","--","--"
"Humboldt","9,600","1,100","2,200","6","19","--","--","--","--","--"
"Ida","6,900","800","1,700","5","11","--","--","--","--","--"
"Iowa","16,200","1,700","3,800","5","9","--","--","--","--","--"
"Jackson","19,400","2,000","4,300","*","40","--","--","--","--","--"
