"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 102"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adams","65,400","6,600","14,800","56","--","0","--","64","--","--"
"Alexander","5,800","600","1,300","0","--","0","--","0","--","--"
"Bond","16,400","1,500","3,100","6","--","0","--","0","--","--"
"Boone","53,500","6,700","13,100","124","--","11","--","22","--","--"
"Brown","6,600","500","1,000","0","--","0","--","*","--","--"
"Bureau","32,600","3,400","6,900","0","--","0","--","0","--","--"
"Calhoun","4,700","500","1,000","*","--","0","--","*","--","--"
"Carroll","14,300","1,300","2,800","0","--","0","--","0","--","--"
"Cass","12,100","1,400","3,000","9","--","0","--","15","--","--"
"Champaign","209,700","17,100","39,300","161","--","6","--","44","--","--"
"Christian","32,300","3,100","6,500","34","--","0","--","55","--","--"
"Clark","15,400","1,600","3,400","*","--","0","--","0","--","--"
"Clay","13,200","1,300","3,000","22","--","*","--","*","--","--"
"Clinton","37,600","3,600","7,900","72","--","8","--","11","--","--"
"Coles","50,600","4,200","9,100","0","--","0","--","*","--","--"
"Cook","5,150,200","496,200","1,113,200","2,570","1,159","0","--","1,193","--","--"
"Crawford","18,700","1,700","3,700","23","--","0","--","20","--","--"
"Cumberland","10,800","1,100","2,400","*","--","0","--","0","--","--"
"De Kalb","104,900","10,100","22,500","152","--","10","--","34","--","--"
"De Witt","15,600","1,600","3,300","0","--","0","--","0","--","--"
"Douglas","19,500","2,200","4,800","15","--","*","--","14","--","--"
"Du Page","922,900","97,100","207,600","575","--","12","--","56","--","--"
"Edgar","17,200","1,700","3,500","0","--","0","--","0","--","--"
"Edwards","6,400","700","1,400","*","--","0","--","0","--","--"
"Effingham","34,000","3,600","8,100","87","--","0","--","22","--","--"
"Fayette","21,300","2,100","4,400","22","--","*","--","53","--","--"
"Ford","13,000","1,400","2,900","5","--","0","--","*","--","--"
"Franklin","38,500","3,900","8,500","44","--","*","--","59","--","--"
"Fulton","34,300","3,200","6,700","30","--","7","--","41","--","--"
"Gallatin","4,800","500","1,000","5","--","0","--","*","--","--"
"Greene","13,000","1,300","2,800","14","--","0","--","16","--","--"
"Grundy","51,100","6,200","12,800","70","--","0","--","15","--","--"
"Hamilton","8,100","900","1,800","10","--","0","--","*","--","--"
"Hancock","17,700","1,800","3,700","15","--","0","--","32","--","--"
"Hardin","3,800","300","700","0","--","0","--","0","--","--"
"Henderson","6,600","600","1,200","5","--","0","--","7","--","--"
"Henry","48,900","5,200","10,800","45","--","*","--","28","--","--"
"Iroquois","27,100","2,800","5,900","10","--","0","--","13","--","--"
"Jackson","56,800","4,500","10,400","92","--","*","--","21","--","--"
"Jasper","9,600","1,000","2,200","20","--","*","--","10","--","--"
"Jefferson","37,700","3,700","8,400","45","--","0","--","71","--","--"
"Jersey","21,800","2,100","4,400","*","--","0","--","*","--","--"
"Jo Daviess","21,200","2,000","4,000","*","--","0","--","9","--","--"
"Johnson","12,400","1,100","2,300","11","--","0","--","*","--","--"
"Kane","532,400","64,500","133,000","330","--","19","--","70","--","--"
"Kankakee","109,900","11,800","24,700","222","--","6","--","42","--","--"
"Kendall","129,000","17,700","36,300","166","--","9","--","14","--","--"
"Knox","49,700","4,400","9,900","77","--","0","--","29","--","--"
"Lake","696,500","81,800","166,200","681","--","29","--","208","--","--"
"La Salle","108,700","11,000","23,100","129","--","9","--","43","--","--"
"Lawrence","15,700","1,400","3,000","8","--","0","--","5","--","--"
"Lee","34,100","3,100","6,700","26","--","*","--","16","--","--"
"Livingston","35,600","3,500","7,700","*","--","*","--","42","--","--"
"Logan","28,600","2,500","5,500","16","--","0","--","33","--","--"
"McDonough","29,700","2,400","5,100","33","--","*","--","14","--","--"
"McHenry","307,800","35,400","71,300","191","--","*","--","88","--","--"
"McLean","171,500","16,500","36,400","225","--","0","--","120","--","--"
"Macon","104,000","10,300","23,100","161","--","0","--","227","--","--"
"Macoupin","44,900","4,600","9,500","20","--","0","--","41","--","--"
"Madison","263,000","26,200","57,100","317","--","21","--","308","--","--"
"Marion","37,200","3,900","8,600","73","--","25","--","67","--","--"
"Marshall","11,400","1,100","2,300","6","--","0","--","0","--","--"
"Mason","13,400","1,300","2,800","15","--","0","--","12","--","--"
"Massac","13,800","1,400","3,000","21","--","*","--","10","--","--"
"Menard","12,200","1,300","2,600","*","--","0","--","8","--","--"
"Mercer","15,400","1,600","3,300","*","--","0","--","0","--","--"
"Monroe","34,600","3,600","7,600","*","--","0","--","*","--","--"
"Montgomery","28,400","2,700","5,700","19","--","0","--","20","--","--"
"Morgan","33,700","3,000","6,400","*","--","0","--","8","--","--"
"Moultrie","14,500","1,700","3,700","13","--","0","--","*","--","--"
"Ogle","50,600","5,500","11,300","22","--","0","--","8","--","--"
"Peoria","179,200","18,300","42,400","455","--","9","--","388","--","--"
"Perry","20,900","1,900","4,000","*","--","0","--","0","--","--"
"Piatt","16,300","1,700","3,600","14","--","0","--","18","--","--"
"Pike","15,600","1,600","3,500","0","--","0","--","0","--","--"
"Pope","4,200","300","500","*","--","0","--","*","--","--"
"Pulaski","5,300","500","1,100","0","--","0","--","0","--","--"
"Putnam","5,700","500","1,100","0","--","0","--","0","--","--"
"Randolph","31,800","2,700","6,100","15","--","0","--","19","--","--"
"Richland","15,500","1,600","3,500","61","--","0","--","26","--","--"
"Rock Island","141,900","14,100","31,600","163","--","0","--","66","--","--"
"St. Clair","259,700","27,600","60,500","179","--","7","--","140","--","--"
"Saline","23,500","2,300","5,000","36","--","5","--","60","--","--"
"Sangamon","194,700","20,100","43,000","262","--","16","--","429","--","--"
"Schuyler","6,800","600","1,200","6","--","0","--","*","--","--"
"Scott","5,000","500","1,000","0","--","0","--","0","--","--"
"Shelby","21,600","2,100","4,600","18","--","0","--","*","--","--"
"Stark","5,300","500","1,100","*","--","*","--","*","--","--"
"Stephenson","44,500","4,400","9,500","57","--","0","--","50","--","--"
"Tazewell","131,800","14,100","29,700","61","--","*","--","177","--","--"
"Union","16,700","1,700","3,500","0","--","0","--","0","--","--"
"Vermilion","75,800","8,000","17,700","123","--","0","--","*","--","--"
"Wabash","11,500","1,200","2,600","*","--","0","--","*","--","--"
"Warren","16,800","1,600","3,600","0","--","0","--","0","--","--"
"Washington","13,900","1,400","2,900","*","--","0","--","0","--","--"
