JuvenileName,ActualName
AK-ALEUTIANS EAST,AK-ALEUTIANS EAST BOROUGH
AK-ALEUTIANS WEST,AK-ALEUTIANS WEST CENSUS AREA
AK-ANCHORAGE,AK-ANCHORAGE MUNICIPALITY
AK-BETHEL,AK-BETHEL CENSUS AREA
AK-BRISTOL BAY,AK-BRISTOL BAY BOROUGH
AK-DENALI,AK-DENALI BOROUGH
AK-DILLINGHAM,AK-DILLINGHAM CENSUS AREA
AK-FAIRBANKS NORTH STAR,AK-FAIRBANKS NORTH STAR BOROUGH
AK-HAINES,AK-HAINES BOROUGH
AK-HOONAH-ANGOON,AK-HOONAH-ANGOON CENSUS AREA
AK-JUNEAU,AK-JUNEAU CITY AND BOROUGH
AK-KENAI PENINSULA,AK-KENAI PENINSULA BOROUGH
AK-KETCHIKAN GATEWAY,AK-KETCHIKAN GATEWAY BOROUGH
AK-KODIAK ISLAND,AK-KODIAK ISLAND BOROUGH
AK-LAKE AND PENINSULA,AK-LAKE AND PENINSULA BOROUGH
AK-MATANUSKA-SUSITNA,AK-MATANUSKA-SUSITNA BOROUGH
AK-NOME,AK-NOME CENSUS AREA
AK-NORTH SLOPE,AK-NORTH SLOPE BOROUGH
AK-NORTHWEST ARCTIC,AK-NORTHWEST ARCTIC BOROUGH
AK-PETERSBURG,AK-PETERSBURG CENSUS AREA
AK-PRINCE OF WALES-HYDER,AK-PRINCE OF WALES-HYDER CENSUS AREA
AK-SITKA,AK-SITKA CITY AND BOROUGH
AK-SKAGWAY,AK-SKAGWAY MUNICIPALITY
AK-SOUTHEAST FAIRBANKS,AK-SOUTHEAST FAIRBANKS CENSUS AREA
AK-VALDEZ-CORDOVA,AK-VALDEZ-CORDOVA CENSUS AREA
AK-WRANGELL CITY,AK-WADE HAMPTON CENSUS AREA
AK-YAKUTAT CITY,AK-WRANGELL CITY AND BOROUGH
AK-YUKON-KOYUKUK,AK-YAKUTAT CITY AND BOROUGH
AL-DE KALB,AL-DEKALB
CT-BRIDGEPORT,CT-FAIRFIELD
CT-MIDDLETOWN,CT-MIDDLESEX
CT-NEW BRITAIN,CT-HARTFORD
CT-ROCKVILLE,CT-TOLLAND
CT-STAMFORD,CT-FAIRFIELD
CT-TORRINGTON,CT-LITCHFIELD
CT-WATERBURY,CT-NEW HAVEN
CT-WATERFORD,CT-NEW LONDON
CT-WILLIMANTIC,CT-WINDHAM
FL-DE SOTO,FL-DESOTO
GA-DE KALB,GA-DEKALB
IL-DE KALB,IL-DEKALB
IL-DU PAGE,IL-DUPAGE
IL-LA SALLE,IL-LASALLE
IN-DE KALB,IN-DEKALB
IN-LA PORTE,IN-LAPORTE
MO-DE KALB,MO-DEKALB
MS-DE SOTO,MS-DESOTO
SD-OGLALA LAKOTA,SD-SHANNON
TN-DE KALB,TN-DEKALB
TX-DE WITT,TX-DEWITT
