"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 105"

,"2018 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Allen","12,400","1,400","2,800","56","--","--","--","--","--","--"
"Anderson","7,900","900","2,000","20","--","--","--","--","--","--"
"Atchison","16,200","1,800","3,800","89","--","--","--","--","--","--"
"Barber","4,500","400","1,000","8","--","--","--","--","--","--"
"Barton","26,100","2,800","6,200","91","--","--","--","--","--","--"
"Bourbon","14,700","1,700","3,800","17","--","--","--","--","--","--"
"Brown","9,600","1,100","2,400","33","--","--","--","--","--","--"
"Butler","66,800","8,400","17,000","92","--","--","--","--","--","--"
"Chase","2,600","200","500","0","--","--","--","--","--","--"
"Chautauqua","3,300","300","700","*","--","--","--","--","--","--"
"Cherokee","20,000","2,200","4,600","25","--","--","--","--","--","--"
"Cheyenne","2,700","200","600","*","--","--","--","--","--","--"
"Clark","2,000","200","500","*","--","--","--","--","--","--"
"Clay","8,000","900","1,900","31","--","--","--","--","--","--"
"Cloud","8,700","800","2,000","33","--","--","--","--","--","--"
"Coffey","8,200","800","1,800","12","--","--","--","--","--","--"
"Comanche","1,700","200","400","0","--","--","--","--","--","--"
"Cowley","35,200","3,800","8,300","42","--","--","--","--","--","--"
"Crawford","39,000","3,800","8,500","87","--","--","--","--","--","--"
"Decatur","2,900","200","600","0","--","--","--","--","--","--"
"Dickinson","18,700","2,100","4,400","96","--","--","--","--","--","--"
"Doniphan","7,700","700","1,600","6","--","--","--","--","--","--"
"Douglas","121,400","9,900","22,100","165","--","--","--","--","--","--"
"Edwards","2,800","300","700","*","--","--","--","--","--","--"
"Elk","2,500","200","500","*","--","--","--","--","--","--"
"Ellis","28,700","2,700","6,200","51","--","--","--","--","--","--"
"Ellsworth","6,200","500","1,100","6","--","--","--","--","--","--"
"Finney","36,600","4,800","11,000","93","--","--","--","--","--","--"
"Ford","33,900","4,300","10,200","80","--","--","--","--","--","--"
"Franklin","25,600","2,900","6,100","87","--","--","--","--","--","--"
"Geary","32,600","3,200","10,000","186","--","--","--","--","--","--"
"Gove","2,600","300","600","0","--","--","--","--","--","--"
"Graham","2,500","200","500","5","--","--","--","--","--","--"
"Grant","7,300","1,000","2,300","18","--","--","--","--","--","--"
"Gray","6,000","800","1,700","7","--","--","--","--","--","--"
"Greeley","1,200","100","300","*","--","--","--","--","--","--"
"Greenwood","6,100","600","1,300","10","--","--","--","--","--","--"
"Hamilton","2,600","300","700","*","--","--","--","--","--","--"
"Harper","5,500","600","1,400","10","--","--","--","--","--","--"
"Harvey","34,200","3,900","8,200","117","--","--","--","--","--","--"
"Haskell","4,000","500","1,100","9","--","--","--","--","--","--"
"Hodgeman","1,800","200","400","*","--","--","--","--","--","--"
"Jackson","13,300","1,600","3,300","23","--","--","--","--","--","--"
"Jefferson","19,000","2,100","4,300","23","--","--","--","--","--","--"
"Jewell","2,800","200","500","9","--","--","--","--","--","--"
"Johnson","597,600","67,500","145,600","1,716","--","--","--","--","--","--"
"Kearny","3,900","500","1,100","5","--","--","--","--","--","--"
"Kingman","7,300","800","1,600","8","--","--","--","--","--","--"
"Kiowa","2,500","200","600","7","--","--","--","--","--","--"
"Labette","20,000","2,100","4,800","40","--","--","--","--","--","--"
"Lane","1,600","200","300","*","--","--","--","--","--","--"
