"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 24"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Allegany","70,400","5,600","12,200","120","239","*","64","--","--","--"
"Anne Arundel","579,200","56,900","128,900","623","1,414","0","48","--","--","--"
"Baltimore","827,400","80,800","178,900","1,204","1,936","0","*","--","--","--"
"Calvert","92,500","10,500","21,300","81","273","0","66","--","--","--"
"Caroline","33,400","3,600","7,900","43","108","0","20","--","--","--"
"Carroll","168,400","17,300","36,400","69","209","0","25","--","--","--"
"Cecil","102,900","11,000","23,100","143","248","*","90","--","--","--"
"Charles","163,300","18,500","38,900","140","518","0","5","--","--","--"
"Dorchester","31,900","3,100","6,700","135","249","0","17","--","--","--"
"Frederick","259,500","28,000","60,000","279","403","*","109","--","--","--"
"Garrett","29,000","2,500","5,300","24","79","*","80","--","--","--"
"Harford","255,400","26,900","56,600","161","321","0","22","--","--","--"
"Howard","325,700","37,800","78,900","188","339","0","10","--","--","--"
"Kent","19,400","1,400","3,000","9","87","0","12","--","--","--"
"Montgomery","1,050,700","110,400","242,400","697","954","*","77","--","--","--"
"Prince George's","909,300","85,700","201,300","431","682","0","7","--","--","--"
"Queen Anne's","50,400","5,300","10,800","18","78","0","63","--","--","--"
"St. Mary's","113,500","12,400","27,100","76","289","0","94","--","--","--"
"Somerset","25,600","1,900","4,300","95","232","0","14","--","--","--"
"Talbot","37,200","3,200","6,800","30","104","0","10","--","--","--"
"Washington","151,000","15,100","32,800","341","355","*","44","--","--","--"
"Wicomico","103,600","10,300","22,700","221","442","*","34","--","--","--"
"Worcester","52,300","4,200","8,900","119","244","*","166","--","--","--"
"Baltimore City","593,500","49,800","119,700","940","322","0","0","--","--","--"

"Number of Reported Cases",,,,"6,187","10,125","11","1,081","--","--","--"
"Population Represented","6,045,700","602,200","1,334,700","602,200","602,200","602,200","602,200","--","--","--"
"Rates for Reporting Counties",,,,"10.27","16.81","0.02","1.80","--","--","--"
"Number of Reporting Counties",,,,"24","24","24","24","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Department of Juvenile Services"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
