"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 83"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Alcona","10,400","600","1,200","26","--","--","--","11","--","--"
"Alger","9,100","600","1,300","23","--","--","--","6","--","--"
"Allegan","118,100","11,600","26,600","249","--","--","--","100","--","--"
"Alpena","28,400","2,200","5,000","94","--","--","--","23","--","--"
"Antrim","23,300","1,800","3,800","21","--","--","--","13","--","--"
"Arenac","14,900","1,100","2,500","36","--","--","--","23","--","--"
"Baraga","8,200","600","1,300","5","--","--","--","*","--","--"
"Barry","61,600","5,600","12,700","101","--","--","--","44","--","--"
"Bay","103,100","8,800","19,300","224","--","--","--","79","--","--"
"Benzie","17,800","1,300","3,000","40","--","--","--","11","--","--"
"Berrien","153,400","13,300","31,200","666","--","--","--","109","--","--"
"Branch","43,500","4,100","9,400","226","--","--","--","50","--","--"
"Calhoun","134,200","12,100","28,600","541","--","--","--","109","--","--"
"Cass","51,800","4,600","10,000","181","--","--","--","56","--","--"
"Charlevoix","26,100","2,100","4,500","48","--","--","--","6","--","--"
"Cheboygan","25,300","1,700","3,800","80","--","--","--","25","--","--"
"Chippewa","37,300","2,700","6,300","161","--","--","--","13","--","--"
"Clare","31,000","2,500","5,800","71","--","--","--","15","--","--"
"Clinton","79,600","7,300","16,500","112","--","--","--","19","--","--"
"Crawford","14,000","1,000","2,400","102","--","--","--","32","--","--"
"Delta","35,800","2,800","6,500","91","--","--","--","64","--","--"
"Dickinson","25,200","2,000","4,700","25","--","--","--","12","--","--"
"Eaton","110,300","9,100","21,300","280","--","--","--","51","--","--"
"Emmet","33,400","2,700","5,900","66","--","--","--","15","--","--"
"Genesee","405,800","36,400","85,000","806","--","--","--","507","--","--"
"Gladwin","25,400","1,800","4,400","95","--","--","--","32","--","--"
"Gogebic","14,000","1,000","2,200","31","--","--","--","16","--","--"
"Grand Traverse","93,100","7,700","17,500","195","--","--","--","60","--","--"
"Gratiot","40,700","3,200","7,400","113","--","--","--","20","--","--"
"Hillsdale","45,600","4,000","9,200","174","--","--","--","35","--","--"
"Houghton","35,700","3,000","6,800","33","--","--","--","*","--","--"
"Huron","31,000","2,400","5,600","57","--","--","--","30","--","--"
"Ingham","292,400","22,100","54,300","538","--","--","--","597","--","--"
"Ionia","64,700","5,800","13,400","160","--","--","--","56","--","--"
"Iosco","25,100","1,600","3,900","59","--","--","--","17","--","--"
"Iron","11,100","700","1,700","20","--","--","--","10","--","--"
"Isabella","69,900","4,900","11,400","183","--","--","--","54","--","--"
"Jackson","158,500","13,600","31,800","476","--","--","--","162","--","--"
"Kalamazoo","265,100","22,200","53,700","1,355","--","--","--","255","--","--"
"Kalkaska","18,000","1,600","3,500","22","--","--","--","12","--","--"
"Kent","657,000","61,300","148,400","1,959","--","--","--","676","--","--"
"Keweenaw","2,100","100","300","0","--","--","--","0","--","--"
"Lake","11,900","800","1,800","63","--","--","--","6","--","--"
"Lapeer","87,600","7,600","16,500","116","--","--","--","25","--","--"
"Leelanau","21,800","1,400","3,300","14","--","--","--","*","--","--"
"Lenawee","98,500","8,500","19,200","241","--","--","--","62","--","--"
"Livingston","192,000","17,100","37,400","198","--","--","--","38","--","--"
"Luce","6,200","400","900","24","--","--","--","6","--","--"
"Mackinac","10,800","700","1,600","12","--","--","--","6","--","--"
"Macomb","874,000","74,000","170,700","1,184","--","--","--","400","--","--"
"Manistee","24,600","1,800","3,900","48","--","--","--","14","--","--"
"Marquette","66,700","4,800","11,200","145","--","--","--","21","--","--"
"Mason","29,100","2,500","5,600","122","--","--","--","24","--","--"
"Mecosta","43,500","3,300","7,500","125","--","--","--","12","--","--"
"Menominee","22,800","1,800","3,800","47","--","--","--","7","--","--"
"Midland","83,200","7,300","16,600","111","--","--","--","92","--","--"
"Missaukee","15,100","1,300","3,300","37","--","--","--","7","--","--"
"Monroe","150,500","13,200","29,700","369","--","--","--","56","--","--"
"Montcalm","63,900","5,800","13,200","186","--","--","--","86","--","--"
"Montmorency","9,300","600","1,300","13","--","--","--","8","--","--"
"Muskegon","173,600","15,900","37,400","604","--","--","--","189","--","--"
"Newaygo","49,000","4,500","10,300","157","--","--","--","47","--","--"
"Oakland","1,257,600","106,600","243,800","1,218","--","--","--","257","--","--"
"Oceana","26,500","2,500","5,600","63","--","--","--","6","--","--"
"Ogemaw","21,000","1,600","3,700","54","--","--","--","12","--","--"
"Ontonagon","5,700","300","700","*","--","--","--","*","--","--"
"Osceola","23,500","2,200","4,900","136","--","--","--","15","--","--"
"Oscoda","8,200","600","1,500","13","--","--","--","13","--","--"
"Otsego","24,700","2,100","4,800","76","--","--","--","22","--","--"
"Ottawa","291,800","28,200","65,300","711","--","--","--","76","--","--"
"Presque Isle","12,600","800","1,800","39","--","--","--","*","--","--"
"Roscommon","24,000","1,500","3,300","51","--","--","--","15","--","--"
"Saginaw","190,500","16,200","38,400","326","--","--","--","192","--","--"
"St. Clair","159,100","13,900","30,500","402","--","--","--","90","--","--"
"St. Joseph","61,000","6,000","13,900","139","--","--","--","53","--","--"
"Sanilac","41,200","3,700","8,200","72","--","--","--","29","--","--"
"Schoolcraft","8,100","600","1,300","22","--","--","--","7","--","--"
"Shiawassee","68,100","5,900","13,200","182","--","--","--","29","--","--"
"Tuscola","52,200","4,500","9,900","114","--","--","--","21","--","--"
"Van Buren","75,700","7,000","16,400","170","--","--","--","47","--","--"
"Washtenaw","367,600","27,400","63,700","438","--","--","--","130","--","--"
"Wayne","1,749,300","160,100","388,800","2,532","--","--","--","766","--","--"
"Wexford","33,600","3,200","7,300","89","--","--","--","26","--","--"

"Number of Reported Cases",,,,"20,411","--","--","--","6,349","--","--"
"Population Represented","9,986,900","863,700","2,016,500","863,700","--","--","--","2,016,500","--","--"
"Rates for Reporting Counties",,,,"23.63","--","--","--","3.15","--","--"
"Number of Reporting Counties",,,,"83","--","--","--","83","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"All Counties"
"Source: Michigan State Court Administrative Office"
"Mode: 2019 Caseload Report"
"1. Delinquency figures are new circuit court filings. They include delinquency and status offense cases. "
"2. Status figures were reported with delinquency filings."
"3. Dependency figures are new child protective circuit court filings."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
