"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 87"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Aitkin","15,900","1,300","2,600","41","--","17","--","--","--","--"
"Anoka","356,900","39,300","84,800","582","--","377","--","--","--","--"
"Becker","34,400","3,900","8,300","129","--","98","--","--","--","--"
"Beltrami","47,200","5,000","11,800","129","--","44","--","--","--","--"
"Benton","40,900","4,500","10,400","105","--","39","--","--","--","--"
"Big Stone","5,000","500","1,100","14","--","5","--","--","--","--"
"Blue Earth","67,700","6,000","13,500","279","--","240","--","--","--","--"
"Brown","25,000","2,500","5,500","49","--","34","--","--","--","--"
"Carlton","35,900","3,900","8,000","67","--","27","--","--","--","--"
"Carver","105,100","13,200","27,700","182","--","88","--","--","--","--"
"Cass","29,800","2,900","6,200","120","--","47","--","--","--","--"
"Chippewa","11,800","1,200","2,800","32","--","21","--","--","--","--"
"Chisago","56,600","6,000","12,800","119","--","85","--","--","--","--"
"Clay","64,200","6,800","15,900","239","--","69","--","--","--","--"
"Clearwater","8,800","1,000","2,200","49","--","24","--","--","--","--"
"Cook","5,500","400","800","6","--","*","--","--","--","--"
"Cottonwood","11,200","1,200","2,800","45","--","31","--","--","--","--"
"Crow Wing","65,100","6,500","13,900","263","--","107","--","--","--","--"
"Dakota","429,000","47,700","104,100","918","--","334","--","--","--","--"
"Dodge","20,900","2,600","5,400","48","--","16","--","--","--","--"
"Douglas","38,100","3,700","8,200","89","--","51","--","--","--","--"
"Faribault","13,700","1,400","3,000","55","--","22","--","--","--","--"
"Fillmore","21,100","2,400","5,200","32","--","18","--","--","--","--"
"Freeborn","30,300","3,100","6,600","120","--","81","--","--","--","--"
"Goodhue","46,300","4,800","10,200","156","--","113","--","--","--","--"
"Grant","6,000","600","1,300","5","--","12","--","--","--","--"
"Hennepin","1,265,800","118,800","276,100","2,493","--","512","--","--","--","--"
"Houston","18,600","1,900","4,100","39","--","13","--","--","--","--"
"Hubbard","21,500","2,100","4,600","92","--","36","--","--","--","--"
"Isanti","40,600","4,500","9,500","75","--","74","--","--","--","--"
"Itasca","45,100","4,500","9,300","208","--","75","--","--","--","--"
"Jackson","9,800","1,000","2,100","38","--","41","--","--","--","--"
"Kanabec","16,300","1,700","3,500","42","--","19","--","--","--","--"
"Kandiyohi","43,200","4,800","10,700","127","--","42","--","--","--","--"
"Kittson","4,300","400","900","*","--","0","--","--","--","--"
"Koochiching","12,200","1,100","2,200","27","--","12","--","--","--","--"
"Lac Qui Parle","6,600","700","1,400","*","--","8","--","--","--","--"
"Lake","10,600","1,000","2,000","16","--","15","--","--","--","--"
"Lake Of The Woods","3,700","300","700","10","--","*","--","--","--","--"
"Le Sueur","28,900","3,300","6,900","61","--","30","--","--","--","--"
"Lincoln","5,600","600","1,300","5","--","0","--","--","--","--"
