"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 115"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adair","25,300","1,800","4,300","22","42","*","48","55","26","--"
"Andrew","17,700","1,700","3,800","*","10","*","28","*","16","--"
"Atchison","5,100","400","1,000","*","5","*","38","6","12","--"
"Audrain","25,400","2,300","5,300","9","54","6","130","21","23","--"
"Barry","35,800","3,300","7,700","14","66","*","135","*","109","--"
"Barton","11,800","1,200","2,600","17","33","17","135","7","41","--"
"Bates","16,200","1,600","3,500","10","33","0","42","8","94","--"
"Benton","19,400","1,400","3,200","*","87","0","37","9","50","--"
"Bollinger","12,100","1,100","2,400","*","5","0","22","45","*","--"
"Boone","180,500","14,000","34,800","155","309","140","422","188","41","--"
"Buchanan","87,400","7,700","18,500","72","358","73","448","74","104","--"
"Butler","42,500","3,900","9,300","39","176","11","97","159","39","--"
"Caldwell","9,000","900","2,000","*","22","*","15","5","7","--"
"Callaway","44,700","3,800","8,800","42","173","27","163","100","*","--"
"Camden","46,300","3,400","7,600","11","91","6","77","53","59","--"
"Cape Girardeau","78,900","6,700","15,900","41","156","*","279","137","35","--"
"Carroll","8,700","800","1,800","*","11","*","40","*","8","--"
"Carter","6,000","600","1,300","*","14","*","26","*","*","--"
"Cass","105,800","10,500","23,800","109","215","33","313","109","212","--"
"Cedar","14,300","1,400","3,300","*","31","*","18","12","13","--"
"Chariton","7,400","700","1,600","0","9","0","62","*","*","--"
"Christian","88,600","9,200","21,000","21","282","9","519","70","133","--"
"Clark","6,800","600","1,400","*","*","11","66","25","50","--"
"Clay","249,900","24,100","56,400","21","345","11","49","64","216","--"
"Clinton","20,400","2,000","4,400","*","18","*","54","22","5","--"
"Cole","76,700","6,900","16,000","68","208","43","127","44","227","--"
"Cooper","17,700","1,600","3,600","9","73","*","94","0","14","--"
"Crawford","23,900","2,300","5,100","*","36","*","78","67","8","--"
"Dade","7,600","700","1,500","5","8","0","22","8","10","--"
"Dallas","16,900","1,600","3,800","*","35","0","31","21","31","--"
"Daviess","8,300","900","2,000","5","11","*","19","13","*","--"
"De Kalb","12,500","800","2,000","*","12","*","13","8","0","--"
"Dent","15,600","1,300","3,300","6","26","*","21","27","6","--"
"Douglas","13,200","1,200","2,800","*","8","8","*","24","7","--"
"Dunklin","29,100","2,800","7,000","29","27","*","95","86","205","--"
"Franklin","104,000","9,600","22,200","36","258","18","284","124","*","--"
"Gasconade","14,700","1,200","2,800","*","22","*","14","16","0","--"
"Gentry","6,600","600","1,600","*","6","*","18","13","31","--"
"Greene","293,100","23,600","57,500","95","333","9","31","310","17","--"
"Grundy","9,800","900","2,300","15","39","7","130","19","85","--"
"Harrison","8,400","900","1,900","10","18","*","44","13","27","--"
"Henry","21,800","1,900","4,500","*","35","5","59","37","74","--"
"Hickory","9,500","700","1,500","*","40","0","12","6","23","--"
"Holt","4,400","400","800","0","*","*","36","12","19","--"
"Howard","10,000","900","2,100","*","5","12","70","13","43","--"
"Howell","40,100","3,800","9,000","17","44","*","126","7","40","--"
"Iron","10,100","900","2,000","*","*","0","75","11","0","--"
"Jackson","703,000","64,300","155,500","293","699","23","62","873","558","--"
"Jasper","121,300","11,800","28,200","66","355","30","210","298","7","--"
"Jefferson","225,100","21,300","48,500","139","509","132","413","239","87","--"
"Johnson","54,100","4,400","11,100","40","97","11","135","73","34","--"
"Knox","4,000","400","900","*","6","0","14","10","*","--"
"Laclede","35,700","3,500","8,400","15","40","11","136","49","80","--"
"Lafayette","32,700","3,100","7,000","12","97","8","73","29","*","--"
"Lawrence","38,400","3,900","9,100","15","97","*","115","*","31","--"
"Lewis","9,800","900","2,000","9","15","5","33","5","6","--"
"Lincoln","59,000","5,900","14,200","28","138","10","220","69","281","--"
"Linn","11,900","1,200","2,600","*","19","10","96","28","*","--"
"Livingston","15,200","1,300","3,000","6","19","*","37","19","7","--"
"McDonald","22,800","2,300","5,500","22","63","24","92","74","74","--"
"Macon","15,100","1,500","3,300","11","26","5","103","45","21","--"
"Madison","12,100","1,200","2,600","15","27","*","40","20","0","--"
"Maries","8,700","800","1,600","0","*","*","10","14","37","--"
"Marion","28,500","2,700","6,200","8","83","*","77","27","10","--"
"Mercer","3,600","400","800","*","7","*","11","*","9","--"
