"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 82"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adams","30,700","2,700","6,100","87","48","33","*","--","--","--"
"Alcorn","37,000","3,900","8,300","22","53","*","5","--","--","--"
"Amite","12,300","1,200","2,500","9","11","*","*","--","--","--"
"Attala","18,200","2,100","4,500","22","21","0","7","--","--","--"
"Benton","8,300","900","1,800","*","*","16","*","--","--","--"
"Bolivar","30,600","3,200","7,500","68","83","28","11","--","--","--"
"Calhoun","14,400","1,600","3,300","5","7","0","*","--","--","--"
"Carroll","9,900","1,000","1,900","6","7","*","*","--","--","--"
"Chickasaw","17,100","1,900","4,300","6","*","40","0","--","--","--"
"Choctaw","8,200","800","1,800","*","0","0","0","--","--","--"
"Claiborne","9,000","800","1,900","10","*","*","*","--","--","--"
"Clarke","15,500","1,600","3,400","20","9","0","*","--","--","--"
"Clay","19,300","2,100","4,300","25","11","30","0","--","--","--"
"Coahoma","22,100","2,500","6,000","72","59","15","*","--","--","--"
"Copiah","28,100","3,000","6,400","41","27","50","8","--","--","--"
"Covington","18,600","2,100","4,600","23","30","27","*","--","--","--"
"De Soto","184,900","23,200","46,900","409","504","39","192","--","--","--"
"Forrest","74,900","7,600","17,400","110","171","*","61","--","--","--"
"Franklin","7,700","900","1,700","21","6","0","0","--","--","--"
"George","24,500","2,800","6,500","23","14","0","*","--","--","--"
"Greene","13,600","1,300","2,600","*","0","*","*","--","--","--"
"Grenada","20,800","2,300","4,900","57","39","10","9","--","--","--"
"Hancock","47,600","4,600","9,500","81","40","42","46","--","--","--"
"Harrison","208,100","22,500","49,500","379","295","8","226","--","--","--"
"Hinds","231,800","25,700","55,300","303","181","0","47","--","--","--"
"Holmes","17,000","2,000","4,300","72","*","11","*","--","--","--"
"Humphreys","8,100","1,100","2,100","18","*","13","*","--","--","--"
"Issaquena","1,300","100","100","--","--","--","--","--","--","--"
"Itawamba","23,400","2,300","5,000","22","19","15","*","--","--","--"
"Jackson","143,600","16,100","33,200","141","255","17","48","--","--","--"
"Jasper","16,400","1,700","3,700","22","12","9","*","--","--","--"
"Jefferson","7,000","700","1,600","15","15","5","*","--","--","--"
"Jefferson Davis","11,100","1,000","2,200","5","0","9","0","--","--","--"
"Jones","68,100","7,800","17,000","227","96","34","17","--","--","--"
"Kemper","9,700","900","1,800","--","--","--","--","--","--","--"
"Lafayette","54,000","4,500","10,000","27","35","53","5","--","--","--"
"Lamar","63,300","7,300","15,600","82","95","22","24","--","--","--"
"Lauderdale","74,100","8,000","17,300","127","140","62","108","--","--","--"
"Lawrence","12,600","1,500","3,100","29","10","13","*","--","--","--"
"Leake","22,800","3,000","5,800","*","6","0","*","--","--","--"
"Lee","85,400","9,800","21,300","126","214","98","110","--","--","--"
"Leflore","28,200","3,500","7,800","42","42","45","16","--","--","--"
"Lincoln","34,200","3,700","8,000","60","18","6","8","--","--","--"
"Lowndes","58,600","6,200","13,900","71","98","30","*","--","--","--"
"Madison","106,300","12,600","26,300","212","12","24","10","--","--","--"
"Marion","24,600","2,700","5,600","37","19","49","10","--","--","--"
"Marshall","35,300","3,400","7,300","37","21","46","7","--","--","--"
"Monroe","35,300","3,900","7,900","35","36","0","*","--","--","--"
"Montgomery","9,800","1,000","2,200","11","15","6","*","--","--","--"
"Neshoba","29,100","3,800","8,100","96","17","10","*","--","--","--"
"Newton","21,000","2,500","5,300","18","15","24","*","--","--","--"
"Noxubee","10,400","1,100","2,600","0","0","0","0","--","--","--"
"Oktibbeha","49,600","3,700","8,700","27","13","25","*","--","--","--"
"Panola","34,200","3,800","8,400","54","50","21","*","--","--","--"
"Pearl River","55,500","5,900","12,600","60","43","14","32","--","--","--"
"Perry","12,000","1,300","2,700","12","*","13","*","--","--","--"
"Pike","39,300","4,700","10,100","117","154","0","48","--","--","--"
"Pontotoc","32,200","4,000","8,500","37","17","47","*","--","--","--"
"Prentiss","25,100","2,500","5,600","28","15","20","*","--","--","--"
"Quitman","6,800","700","1,500","10","0","7","*","--","--","--"
"Rankin","155,300","16,900","35,400","308","390","27","210","--","--","--"
"Scott","28,100","3,300","7,500","36","79","36","*","--","--","--"
"Sharkey","4,300","500","1,100","--","--","--","--","--","--","--"
"Simpson","26,700","3,100","6,200","44","7","63","0","--","--","--"
"Smith","15,900","1,800","3,700","42","*","24","0","--","--","--"
"Stone","18,300","1,800","4,000","14","6","*","*","--","--","--"
"Sunflower","25,100","2,600","5,400","56","19","34","20","--","--","--"
"Tallahatchie","13,800","1,200","2,700","17","6","0","*","--","--","--"
"Tate","28,300","3,100","6,400","70","45","12","12","--","--","--"
"Tippah","22,000","2,500","5,300","27","16","22","0","--","--","--"
"Tishomingo","19,400","2,000","4,200","14","15","22","*","--","--","--"
"Tunica","9,600","1,200","2,800","58","59","8","6","--","--","--"
"Union","28,800","3,300","7,200","26","10","12","*","--","--","--"
"Walthall","14,300","1,500","3,200","28","58","13","*","--","--","--"
"Warren","45,400","5,000","10,700","197","*","29","*","--","--","--"
"Washington","43,900","5,000","11,200","155","153","39","103","--","--","--"
"Wayne","20,200","2,200","4,900","17","31","*","*","--","--","--"
"Webster","9,700","1,100","2,300","*","0","8","0","--","--","--"
"Wilkinson","8,600","800","1,800","21","20","*","*","--","--","--"
"Winston","18,000","2,000","4,000","21","*","*","0","--","--","--"
"Yalobusha","12,100","1,200","2,700","6","5","0","*","--","--","--"
"Yazoo","29,700","2,900","6,100","54","80","5","10","--","--","--"

"Number of Reported Cases",,,,"4,901","4,116","1,460","1,489","--","--","--"
"Population Represented","2,976,100","325,700","698,600","324,300","324,300","324,300","324,300","--","--","--"
"Rates for Reporting Counties",,,,"15.11","12.69","4.50","4.59","--","--","--"
"Number of Reporting Counties",,,,"79","79","79","79","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Mississippi Department of Human Services, Division of Youth Services"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
