"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 56"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Beaverhead","9,500","800","1,600","*","16","0","7","--","--","--"
"Big Horn","13,300","2,000","4,500","5","77","0","17","--","--","--"
"Blaine","6,700","900","2,000","0","28","0","9","--","--","--"
"Broadwater","6,200","600","1,200","*","13","0","*","--","--","--"
"Carbon","10,700","900","1,800","*","11","0","0","--","--","--"
"Carter","1,300","100","300","0","0","0","0","--","--","--"
"Cascade","81,400","7,900","18,200","105","520","0","162","--","--","--"
"Chouteau","5,600","700","1,300","*","10","0","*","--","--","--"
"Custer","11,400","1,000","2,400","16","70","0","57","--","--","--"
"Daniels","1,700","200","400","0","5","0","0","--","--","--"
"Dawson","8,600","900","1,800","*","29","0","31","--","--","--"
"Deer Lodge","9,100","600","1,300","*","31","0","*","--","--","--"
"Fallon","2,800","400","800","*","*","0","0","--","--","--"
"Fergus","11,000","1,000","2,300","*","15","0","18","--","--","--"
"Flathead","103,800","10,400","22,600","30","410","0","192","--","--","--"
"Gallatin","114,400","9,900","22,500","16","203","0","73","--","--","--"
"Garfield","1,300","100","300","0","0","0","0","--","--","--"
"Glacier","13,800","1,800","4,300","*","34","0","0","--","--","--"
"Golden Valley","800","100","200","0","0","0","0","--","--","--"
"Granite","3,400","200","500","0","8","0","*","--","--","--"
"Hill","16,500","1,800","4,600","8","114","0","36","--","--","--"
"Jefferson","12,200","1,300","2,500","5","16","0","8","--","--","--"
"Judith Basin","2,000","200","400","*","*","0","*","--","--","--"
"Lake","30,500","3,400","7,100","17","95","0","30","--","--","--"
"Lewis And Clark","69,400","6,600","14,800","89","255","0","51","--","--","--"
"Liberty","2,300","200","500","0","8","0","0","--","--","--"
"Lincoln","20,000","1,800","3,600","6","58","0","33","--","--","--"
"McCone","1,700","200","400","0","*","0","0","--","--","--"
"Madison","8,600","600","1,300","0","10","0","6","--","--","--"
"Meagher","1,900","200","300","0","*","0","0","--","--","--"
"Mineral","4,400","400","800","0","6","0","0","--","--","--"
"Missoula","119,600","10,100","22,200","28","392","0","159","--","--","--"
"Musselshell","4,600","400","900","*","12","0","0","--","--","--"
"Park","16,600","1,300","2,800","*","38","*","42","--","--","--"
"Petroleum","500","0","100","0","*","0","*","--","--","--"
"Phillips","4,000","400","900","0","5","0","16","--","--","--"
"Pondera","5,900","600","1,400","0","13","0","*","--","--","--"
"Powder River","1,700","100","300","0","*","0","*","--","--","--"
"Powell","6,900","400","1,000","*","*","0","0","--","--","--"
"Prairie","1,100","100","200","0","10","0","*","--","--","--"
"Ravalli","43,800","4,000","8,200","5","110","0","70","--","--","--"
"Richland","10,800","1,200","2,700","*","35","0","16","--","--","--"
"Roosevelt","11,000","1,500","3,700","*","10","0","7","--","--","--"
"Rosebud","8,900","1,100","2,600","7","23","0","9","--","--","--"
"Sanders","12,100","1,000","2,100","*","25","0","6","--","--","--"
"Sheridan","3,300","300","700","*","7","0","9","--","--","--"
"Silver Bow","34,900","3,100","7,100","13","161","0","106","--","--","--"
"Stillwater","9,600","1,100","2,000","0","8","0","0","--","--","--"
"Sweet Grass","3,700","400","800","*","*","0","0","--","--","--"
"Teton","6,100","700","1,500","*","8","0","*","--","--","--"
"Toole","4,700","400","1,000","*","8","0","0","--","--","--"
"Treasure","700","0","100","0","0","0","*","--","--","--"
"Valley","7,400","800","1,700","*","13","0","13","--","--","--"
"Wheatland","2,100","200","500","*","*","0","0","--","--","--"
"Wibaux","1,000","100","200","0","0","0","0","--","--","--"
"Yellowstone","161,300","17,100","37,600","59","589","*","10","--","--","--"

"Number of Reported Cases",,,,"453","3,527","*","1,211","--","--","--"
"Population Represented","1,068,800","103,600","228,600","103,600","103,600","103,600","103,600","--","--","--"
"Rates for Reporting Counties",,,,"4.37","34.06","0.02","11.69","--","--","--"
"Number of Reporting Counties",,,,"56","56","56","56","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Office of State Court Administrator, Youth Court Services"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
