"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 100"

,"2018 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Alamance","166,400","12,800","32,600","187","103","12","22","--","--","--"
"Alexander","37,400","2,800","6,600","50","45","*","6","--","--","--"
"Alleghany","11,200","700","1,700","12","*","6","15","--","--","--"
"Anson","24,900","1,700","4,300","17","26","0","*","--","--","--"
"Ashe","27,100","1,700","4,200","16","16","*","*","--","--","--"
"Avery","17,500","900","2,300","23","17","9","10","--","--","--"
"Beaufort","47,100","3,400","8,200","63","33","*","*","--","--","--"
"Bertie","19,000","1,200","2,900","15","*","0","0","--","--","--"
"Bladen","33,200","2,400","5,900","12","*","0","0","--","--","--"
"Brunswick","136,700","7,300","18,500","42","50","*","12","--","--","--"
"Buncombe","259,100","16,300","42,200","166","102","84","63","--","--","--"
"Burke","90,400","6,000","14,800","101","33","50","13","--","--","--"
"Cabarrus","211,300","19,300","47,700","89","50","16","20","--","--","--"
"Caldwell","82,000","5,900","14,400","86","48","44","9","--","--","--"
"Camden","10,700","900","2,100","5","*","*","0","--","--","--"
"Carteret","69,500","4,500","10,700","30","10","0","*","--","--","--"
"Caswell","22,700","1,500","3,700","20","18","0","6","--","--","--"
"Catawba","158,700","12,400","30,700","143","69","117","31","--","--","--"
"Chatham","73,100","5,500","13,000","20","45","*","6","--","--","--"
"Cherokee","28,400","1,700","4,200","17","5","12","14","--","--","--"
"Chowan","14,000","1,000","2,400","7","17","0","*","--","--","--"
"Clay","11,100","700","1,700","*","6","6","5","--","--","--"
"Cleveland","97,600","7,500","18,900","72","96","47","34","--","--","--"
"Columbus","55,700","4,200","10,200","29","53","*","*","--","--","--"
"Craven","102,900","7,300","19,800","95","51","10","8","--","--","--"
"Cumberland","332,300","25,500","73,600","337","344","26","*","--","--","--"
"Currituck","27,100","2,100","5,300","25","17","6","9","--","--","--"
"Dare","36,500","2,600","6,100","35","18","7","32","--","--","--"
"Davidson","166,600","13,100","32,000","113","156","28","26","--","--","--"
"Davie","42,700","3,300","7,800","21","42","8","36","--","--","--"
"Duplin","58,900","4,900","12,400","36","44","*","*","--","--","--"
"Durham","316,700","20,600","59,100","154","51","6","6","--","--","--"
"Edgecombe","52,000","4,100","10,300","33","15","*","*","--","--","--"
"Forsyth","379,100","30,300","76,900","270","397","0","24","--","--","--"
"Franklin","67,600","5,300","13,000","13","12","*","*","--","--","--"
"Gaston","222,800","17,300","44,400","190","93","137","83","--","--","--"
"Gates","11,600","900","2,000","*","6","0","*","--","--","--"
"Graham","8,500","600","1,500","*","9","5","*","--","--","--"
"Granville","60,100","4,500","10,800","13","20","6","6","--","--","--"
"Greene","21,000","1,500","3,700","5","26","0","0","--","--","--"
"Guilford","533,700","41,100","105,000","402","281","12","24","--","--","--"
"Halifax","50,600","3,800","9,500","68","46","*","*","--","--","--"
"Harnett","134,200","11,400","31,400","78","84","*","12","--","--","--"
"Haywood","62,000","3,900","10,000","35","28","44","34","--","--","--"
"Henderson","116,700","7,900","19,500","102","24","58","36","--","--","--"
"Hertford","23,700","1,600","3,900","14","*","0","0","--","--","--"
"Hoke","54,800","4,500","13,500","44","76","*","*","--","--","--"
"Hyde","5,200","300","800","*","*","0","0","--","--","--"
"Iredell","178,400","14,900","35,800","158","138","5","21","--","--","--"
"Jackson","43,300","2,400","6,300","31","39","12","22","--","--","--"
"Johnston","202,700","18,600","45,700","92","105","9","*","--","--","--"
"Jones","9,600","600","1,600","10","9","0","*","--","--","--"
"Lee","61,500","5,100","13,100","64","100","12","8","--","--","--"
"Lenoir","56,000","4,500","11,100","25","36","0","*","--","--","--"
"Lincoln","83,800","6,400","15,400","72","39","18","7","--","--","--"
"McDowell","45,500","3,200","8,100","42","8","24","18","--","--","--"
"Macon","35,300","2,300","5,800","28","25","15","16","--","--","--"
"Madison","21,800","1,300","3,400","13","6","0","6","--","--","--"
"Martin","22,700","1,600","4,000","49","59","6","10","--","--","--"
"Mecklenburg","1,093,900","86,300","229,500","919","495","36","31","--","--","--"
"Mitchell","15,000","1,000","2,400","10","9","10","5","--","--","--"
"Montgomery","27,300","2,200","5,200","13","13","5","10","--","--","--"
"Moore","98,700","7,100","18,700","68","30","*","9","--","--","--"
"Nash","94,000","7,200","18,000","45","35","*","5","--","--","--"
"New Hanover","232,300","14,800","38,000","106","69","*","5","--","--","--"
"Northampton","19,700","1,200","3,000","12","6","0","0","--","--","--"
"Onslow","197,700","13,400","44,500","139","122","27","53","--","--","--"
"Orange","146,000","10,800","25,200","40","51","7","13","--","--","--"
"Pamlico","12,700","700","1,700","6","9","0","*","--","--","--"
"Pasquotank","39,600","3,000","7,800","44","52","*","9","--","--","--"
"Pender","62,200","4,800","12,100","32","36","0","0","--","--","--"
"Perquimans","13,400","900","2,200","*","11","0","0","--","--","--"
"Person","39,500","2,900","7,200","63","19","12","16","--","--","--"
"Pitt","179,900","13,200","34,100","152","145","*","14","--","--","--"
"Polk","20,600","1,200","2,900","8","6","14","*","--","--","--"
"Randolph","143,400","11,400","28,200","85","73","19","25","--","--","--"
"Richmond","44,900","3,500","9,100","90","24","9","0","--","--","--"
"Robeson","131,800","11,100","29,100","137","94","26","10","--","--","--"
"Rockingham","90,700","6,500","16,100","88","44","12","27","--","--","--"
"Rowan","141,300","11,200","27,600","118","36","*","7","--","--","--"
"Rutherford","66,800","5,000","12,000","44","26","13","12","--","--","--"
"Sampson","63,600","5,400","13,600","46","54","*","*","--","--","--"
"Scotland","34,800","2,700","7,100","36","52","*","7","--","--","--"
"Stanly","62,100","4,700","11,800","22","12","0","*","--","--","--"
"Stokes","45,500","3,100","7,400","22","44","9","22","--","--","--"
