"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 93"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adams","31,400","3,300","7,300","168","--","12","--","61","--","--"
"Antelope","6,300","700","1,500","28","--","*","--","5","--","--"
"Arthur","500","100","100","0","--","0","--","0","--","--"
"Banner","700","100","200","0","--","0","--","0","--","--"
"Blaine","500","0","100","0","--","0","--","0","--","--"
"Boone","5,200","500","1,200","*","--","*","--","*","--","--"
"Box Butte","10,800","1,200","2,700","60","--","*","--","12","--","--"
"Boyd","1,900","200","400","*","--","0","--","0","--","--"
"Brown","3,000","300","600","*","--","0","--","*","--","--"
"Buffalo","49,700","5,100","11,600","146","--","15","--","71","--","--"
"Burt","6,500","700","1,500","14","--","11","--","8","--","--"
"Butler","8,000","900","1,800","13","--","*","--","16","--","--"
"Cass","26,200","3,000","6,200","54","--","10","--","17","--","--"
"Cedar","8,400","1,000","2,100","30","--","0","--","*","--","--"
"Chase","3,900","500","1,000","*","--","*","--","*","--","--"
"Cherry","5,700","600","1,300","17","--","*","--","*","--","--"
"Cheyenne","8,900","900","2,000","12","--","5","--","17","--","--"
"Clay","6,200","700","1,500","27","--","*","--","6","--","--"
"Colfax","10,700","1,400","3,200","56","--","*","--","9","--","--"
"Cuming","8,800","1,000","2,200","35","--","8","--","*","--","--"
"Custer","10,800","1,200","2,600","21","--","8","--","33","--","--"
"Dakota","20,000","2,500","5,800","42","--","*","--","*","--","--"
"Dawes","8,600","700","1,500","35","--","*","--","14","--","--"
"Dawson","23,600","2,800","6,400","102","--","12","--","64","--","--"
"Deuel","1,800","200","400","*","--","0","--","0","--","--"
"Dixon","5,600","600","1,400","5","--","0","--","*","--","--"
"Dodge","36,600","4,000","8,800","92","--","39","--","54","--","--"
"Douglas","571,300","62,900","145,700","1,111","--","252","--","1,268","--","--"
"Dundy","1,700","200","300","*","--","0","--","0","--","--"
"Fillmore","5,500","500","1,100","14","--","*","--","*","--","--"
"Franklin","3,000","300","600","8","--","*","--","8","--","--"
"Frontier","2,600","200","500","*","--","*","--","0","--","--"
"Furnas","4,700","500","1,000","6","--","0","--","8","--","--"
"Gage","21,500","2,300","4,900","100","--","*","--","21","--","--"
"Garden","1,800","200","400","*","--","*","--","7","--","--"
"Garfield","2,000","200","400","*","--","0","--","0","--","--"
"Gosper","2,000","200","400","*","--","0","--","0","--","--"
"Grant","600","100","200","0","--","0","--","*","--","--"
"Greeley","2,400","200","500","*","--","*","--","0","--","--"
"Hall","61,400","7,600","16,900","348","--","35","--","41","--","--"
"Hamilton","9,300","1,000","2,300","17","--","*","--","0","--","--"
"Harlan","3,400","300","700","*","--","*","--","6","--","--"
"Hayes","900","100","200","*","--","0","--","0","--","--"
"Hitchcock","2,800","300","600","13","--","*","--","*","--","--"
"Holt","10,100","1,100","2,500","21","--","*","--","22","--","--"
"Hooker","700","100","100","0","--","0","--","0","--","--"
"Howard","6,400","700","1,600","7","--","0","--","*","--","--"
"Jefferson","7,000","700","1,500","*","--","*","--","*","--","--"
"Johnson","5,100","400","1,000","6","--","*","--","5","--","--"
"Kearney","6,500","800","1,600","13","--","*","--","6","--","--"
"Keith","8,000","800","1,600","61","--","*","--","8","--","--"
"Keya Paha","800","100","100","0","--","0","--","0","--","--"
"Kimball","3,600","400","800","6","--","*","--","6","--","--"
"Knox","8,300","900","2,000","10","--","8","--","0","--","--"
"Lancaster","319,100","32,400","72,200","469","--","166","--","270","--","--"
"Lincoln","34,900","3,900","8,200","117","--","41","--","93","--","--"
"Logan","700","100","200","*","--","0","--","0","--","--"
"Loup","700","100","100","0","--","0","--","0","--","--"
"McPherson","500","100","100","0","--","0","--","0","--","--"
"Madison","35,100","3,900","9,000","119","--","21","--","28","--","--"
"Merrick","7,800","800","1,700","11","--","*","--","*","--","--"
"Morrill","4,600","500","1,000","10","--","*","--","0","--","--"
"Nance","3,500","400","800","*","--","*","--","0","--","--"
"Nemaha","7,000","700","1,600","*","--","*","--","9","--","--"
"Nuckolls","4,100","400","800","6","--","*","--","5","--","--"
"Otoe","16,000","1,800","3,800","30","--","7","--","15","--","--"
"Pawnee","2,600","200","600","*","--","*","--","*","--","--"
"Perkins","2,900","300","700","*","--","0","--","0","--","--"
"Phelps","9,000","1,000","2,100","30","--","5","--","12","--","--"
"Pierce","7,100","800","1,800","7","--","0","--","6","--","--"
"Platte","33,500","3,900","8,800","91","--","23","--","31","--","--"
"Polk","5,200","600","1,200","5","--","0","--","12","--","--"
"Red Willow","10,700","1,000","2,400","33","--","17","--","9","--","--"
"Richardson","7,900","800","1,700","12","--","*","--","11","--","--"
"Rock","1,400","100","300","*","--","0","--","*","--","--"
"Saline","14,200","1,700","3,700","68","--","*","--","14","--","--"
"Sarpy","187,200","23,200","50,900","328","--","81","--","109","--","--"
"Saunders","21,600","2,400","5,300","31","--","*","--","7","--","--"
"Scotts Bluff","35,600","4,000","8,800","251","--","76","--","81","--","--"
"Seward","17,300","1,900","4,100","21","--","7","--","*","--","--"
"Sheridan","5,200","500","1,200","14","--","5","--","0","--","--"
"Sherman","3,000","300","600","*","--","0","--","5","--","--"
"Sioux","1,200","100","200","0","--","0","--","*","--","--"
"Stanton","5,900","700","1,400","13","--","*","--","7","--","--"
"Thayer","5,000","500","1,200","6","--","*","--","*","--","--"
"Thomas","700","100","200","0","--","0","--","0","--","--"
"Thurston","7,200","1,100","2,600","*","--","0","--","*","--","--"
"Valley","4,200","400","1,000","9","--","5","--","12","--","--"
"Washington","20,700","2,400","5,000","19","--","10","--","10","--","--"
"Wayne","9,400","800","1,800","15","--","0","--","8","--","--"
"Webster","3,500","400","800","*","--","0","--","*","--","--"
"Wheeler","800","100","200","0","--","0","--","0","--","--"
"York","13,700","1,400","3,200","24","--","*","--","13","--","--"

"Number of Reported Cases",,,,"4,494","--","963","--","2,604","--","--"
"Population Represented","1,934,400","212,800","476,100","212,800","--","212,800","--","476,100","--","--"
"Rates for Reporting Counties",,,,"21.11","--","4.52","--","5.47","--","--"
"Number of Reporting Counties",,,,"93","--","93","--","93","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"All Counties"
"Source: Nebraska Commission on Law Enforcement and Criminal Justice."
"Mode: Nebraska Judicial Branch Annual Caseload Report Separate Juvenile Courts (Sarpy, Lancaster, Douglas) and Juvenile Courts (all other counties)"
"1. Delinquency figures are juvenile misdemeanor and felony cases opened."
"2. Status figures are juvenile status offender cases opened."
"3. Dependency figures are juvenile neglected and dependent cases opened."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
