"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 21"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Atlantic","263,700","25,900","55,500","387","468","0","307","--","--","--"
"Bergen","932,200","93,700","196,300","364","320","0","256","--","--","--"
"Burlington","445,300","44,500","92,200","396","388","*","448","--","--","--"
"Camden","506,500","52,000","114,200","879","418","0","176","--","--","--"
"Cape May","92,000","7,400","16,000","164","83","0","350","--","--","--"
"Cumberland","149,500","16,000","35,500","323","152","*","912","--","--","--"
"Essex","799,000","83,500","189,400","792","635","0","355","--","--","--"
"Gloucester","291,600","30,700","63,100","262","246","0","1,313","--","--","--"
"Hudson","672,400","52,400","136,700","707","571","0","1,883","--","--","--"
"Hunterdon","124,400","12,400","23,700","22","29","0","54","--","--","--"
"Mercer","367,400","35,800","78,100","521","168","0","983","--","--","--"
"Middlesex","825,100","82,200","178,800","578","185","*","2,077","--","--","--"
"Monmouth","618,800","64,700","129,400","407","193","*","256","--","--","--"
"Morris","491,800","51,000","102,500","138","167","*","158","--","--","--"
"Ocean","607,200","62,600","146,700","393","443","*","84","--","--","--"
"Passaic","501,800","52,200","119,000","608","208","*","1,213","--","--","--"
"Salem","62,400","6,200","13,300","83","135","0","280","--","--","--"
"Somerset","328,900","35,800","70,800","98","84","0","373","--","--","--"
"Sussex","140,500","13,700","27,200","47","113","0","187","--","--","--"
"Union","556,300","58,600","129,900","507","390","0","143","--","--","--"
"Warren","105,300","10,300","20,400","53","93","*","74","--","--","--"

"Number of Reported Cases",,,,"7,729","5,489","13","11,882","--","--","--"
"Population Represented","8,882,200","891,600","1,938,600","891,600","891,600","891,600","891,600","--","--","--"
"Rates for Reporting Counties",,,,"8.67","6.16","0.01","13.33","--","--","--"
"Number of Reporting Counties",,,,"21","21","21","21","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Administrative Office of the Courts"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Non-petitioned status figures are cases referred, except for liquor offense cases which are cases disposed."
"3. Petitioned Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
