"Easy Access to State and County Juvenile Court Case Counts"

"Districts in state: 33"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Districts","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Bernalillo","679,100","68,100","145,100","519","784","0","16","--","--","--"
"Catron","3,500","200","400","*","0","0","0","--","--","--"
"Chaves","64,600","8,000","16,800","154","432","0","37","--","--","--"
"Cibola","26,700","2,700","6,200","44","37","0","*","--","--","--"
"Colfax","11,900","1,000","2,100","29","40","0","18","--","--","--"
"Curry","49,000","5,300","12,800","149","197","*","38","--","--","--"
"De Baca","1,700","200","400","*","*","0","*","--","--","--"
"Dona Ana","218,200","24,400","52,900","447","824","9","289","--","--","--"
"Eddy","58,500","6,800","15,500","62","228","*","84","--","--","--"
"Grant","27,000","2,400","5,200","36","50","0","49","--","--","--"
"Guadalupe","4,300","400","900","21","16","0","*","--","--","--"
"Harding","600","0","100","--","--","--","--","--","--","--"
"Hidalgo","4,200","400","900","*","*","0","6","--","--","--"
"Lea","71,100","9,500","21,100","115","185","*","122","--","--","--"
"Lincoln","19,600","1,700","3,600","24","66","0","56","--","--","--"
"Los Alamos","19,400","2,100","4,300","7","12","0","25","--","--","--"
"Luna","23,700","2,700","6,200","54","93","0","37","--","--","--"
"McKinley","71,400","9,400","20,100","27","81","0","68","--","--","--"
"Mora","4,500","400","800","*","*","0","*","--","--","--"
"Otero","67,500","6,600","15,400","114","216","*","61","--","--","--"
"Quay","8,300","800","1,800","27","25","0","*","--","--","--"
"Rio Arriba","38,900","4,000","9,000","57","100","0","27","--","--","--"
"Roosevelt","18,500","2,000","4,500","25","30","0","10","--","--","--"
"Sandoval","146,700","16,400","33,500","76","533","*","71","--","--","--"
"San Juan","124,000","15,400","32,300","247","302","*","223","--","--","--"
"San Miguel","27,300","2,200","4,800","52","95","0","22","--","--","--"
"Santa Fe","150,400","13,100","26,400","163","221","*","163","--","--","--"
"Sierra","10,800","700","1,700","8","21","0","10","--","--","--"
"Socorro","16,600","1,700","3,700","60","66","*","40","--","--","--"
"Taos","32,700","2,800","5,700","48","48","*","83","--","--","--"
"Torrance","15,500","1,500","3,100","21","39","*","10","--","--","--"
"Union","4,100","300","800","0","*","0","0","--","--","--"
"Valencia","76,700","8,600","17,900","138","216","0","146","--","--","--"

"Number of Reported Cases",,,,"2,730","4,968","32","1,723","--","--","--"
"Population Represented","2,096,800","222,100","475,800","222,000","222,000","222,000","222,000","--","--","--"
"Rates for Reporting Districts",,,,"12.29","22.37","0.14","7.76","--","--","--"
"Number of Reporting Districts",,,,"32","32","32","32","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Children, Youth and Families Department"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
