"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 62"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","305,500","18,300","49,100","137","230","116","--","--","--","--"
"Allegany","46,100","3,200","8,100","27","25","13","--","--","--","--"
"Bronx","1,418,200","111,100","311,000","366","0","166","--","--","--","--"
"Broome","190,500","12,400","32,500","155","63","16","--","--","--","--"
"Cattaraugus","76,100","5,900","14,600","59","8","7","--","--","--","--"
"Cayuga","76,600","5,200","13,100","44","14","10","--","--","--","--"
"Chautauqua","126,900","8,700","22,600","97","104","10","--","--","--","--"
"Chemung","83,500","6,100","15,600","76","55","10","--","--","--","--"
"Chenango","47,200","3,300","8,500","11","18","*","--","--","--","--"
"Clinton","80,500","4,900","12,800","6","32","*","--","--","--","--"
"Columbia","59,500","3,600","8,700","*","11","*","--","--","--","--"
"Cortland","47,600","3,200","8,000","24","25","14","--","--","--","--"
"Delaware","44,100","2,600","6,200","8","17","*","--","--","--","--"
"Dutchess","294,200","19,300","47,500","59","37","33","--","--","--","--"
"Erie","918,700","61,800","163,100","442","313","70","--","--","--","--"
"Essex","36,900","2,100","5,100","11","9","7","--","--","--","--"
"Franklin","50,000","3,400","8,500","10","44","8","--","--","--","--"
"Fulton","53,400","3,800","9,400","11","36","9","--","--","--","--"
"Genesee","57,300","4,100","10,200","17","9","9","--","--","--","--"
"Greene","47,200","2,600","6,700","12","21","16","--","--","--","--"
"Hamilton","4,400","200","500","0","*","0","--","--","--","--"
"Herkimer","61,300","4,500","11,000","16","34","7","--","--","--","--"
"Jefferson","109,800","7,900","23,900","40","28","5","--","--","--","--"
"Kings","2,559,900","176,600","523,800","411","0","87","--","--","--","--"
"Lewis","26,300","2,000","5,300","8","8","*","--","--","--","--"
"Livingston","62,900","4,000","9,700","25","18","6","--","--","--","--"
"Madison","70,900","4,700","11,800","25","41","11","--","--","--","--"
"Monroe","741,800","52,000","134,800","123","218","106","--","--","--","--"
"Montgomery","49,200","3,800","10,000","16","21","13","--","--","--","--"
"Nassau","1,356,900","101,500","255,800","235","284","40","--","--","--","--"
"New York","1,628,700","69,100","209,900","233","1,403","37","--","--","--","--"
"Niagara","209,300","14,200","36,700","50","169","15","--","--","--","--"
"Oneida","228,700","16,400","43,100","108","222","92","--","--","--","--"
"Onondaga","460,500","32,500","85,600","454","191","*","--","--","--","--"
"Ontario","109,800","7,700","19,100","29","46","24","--","--","--","--"
"Orange","384,900","33,900","86,400","104","81","24","--","--","--","--"
"Orleans","40,400","2,700","6,800","11","36","7","--","--","--","--"
"Oswego","117,100","8,500","21,600","38","51","22","--","--","--","--"
"Otsego","59,500","3,100","8,100","9","14","9","--","--","--","--"
"Putnam","98,300","7,000","16,500","7","17","12","--","--","--","--"
"Queens","2,253,900","140,100","404,400","209","0","83","--","--","--","--"
