"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 88"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adams","27,700","3,100","6,600","48","--","27","--","120","--","--"
"Allen","102,400","10,800","23,500","333","--","48","--","287","--","--"
"Ashland","53,500","5,600","11,900","166","--","28","--","118","--","--"
"Ashtabula","97,200","10,000","21,300","446","--","139","--","247","--","--"
"Athens","65,300","4,400","9,400","116","--","39","--","62","--","--"
"Auglaize","45,700","5,000","10,900","181","--","57","--","28","--","--"
"Belmont","67,000","5,800","12,600","183","--","67","--","74","--","--"
"Brown","43,400","4,700","9,900","109","--","32","--","153","--","--"
"Butler","383,100","41,500","89,100","1,158","--","250","--","521","--","--"
"Carroll","26,900","2,800","5,600","31","--","*","--","18","--","--"
"Champaign","38,900","4,300","8,700","271","--","213","--","46","--","--"
"Clark","134,100","13,800","29,900","739","--","364","--","398","--","--"
"Clermont","206,400","22,400","46,900","500","--","66","--","74","--","--"
"Clinton","42,000","4,400","9,600","442","--","85","--","97","--","--"
"Columbiana","101,900","9,700","20,600","148","--","94","--","143","--","--"
"Coshocton","36,600","3,900","8,700","62","--","10","--","100","--","--"
"Crawford","41,500","4,200","9,000","192","--","117","--","166","--","--"
"Cuyahoga","1,235,100","114,500","254,100","3,408","--","33","--","--","--","--"
"Darke","51,100","5,700","12,100","225","--","134","--","23","--","--"
"Defiance","38,100","4,100","8,600","216","--","38","--","58","--","--"
"Delaware","209,200","26,500","54,200","378","--","119","--","34","--","--"
"Erie","74,300","7,000","15,000","654","--","399","--","137","--","--"
"Fairfield","157,600","17,900","37,600","308","--","59","--","150","--","--"
"Fayette","28,500","3,100","6,700","244","--","100","--","56","--","--"
"Franklin","1,316,800","126,900","305,400","3,178","--","1,823","--","4,490","--","--"
"Fulton","42,100","4,600","9,800","142","--","34","--","21","--","--"
"Gallia","29,900","3,100","6,800","84","--","42","--","38","--","--"
"Geauga","93,600","10,600","21,100","170","--","58","--","60","--","--"
"Greene","168,900","15,700","34,800","487","--","62","--","179","--","--"
"Guernsey","38,900","4,000","8,600","190","--","25","--","234","--","--"
"Hamilton","817,500","81,900","187,100","3,992","463","1,643","332","--","--","--"
"Hancock","75,800","7,600","16,700","163","--","82","--","123","--","--"
"Hardin","31,400","3,400","7,300","101","--","53","--","57","--","--"
"Harrison","15,000","1,500","3,100","56","--","12","--","30","--","--"
"Henry","27,000","2,900","6,200","88","--","15","--","29","--","--"
"Highland","43,200","4,800","10,200","112","--","75","--","166","--","--"
"Hocking","28,300","2,900","6,100","114","--","21","--","92","--","--"
"Holmes","44,000","6,200","13,500","45","--","*","--","68","--","--"
"Huron","58,300","6,600","14,000","275","--","33","--","135","--","--"
"Jackson","32,400","3,500","7,700","107","--","90","--","38","--","--"
"Jefferson","65,300","5,900","12,500","100","--","50","--","37","--","--"
"Knox","62,300","6,600","14,100","237","--","43","--","213","--","--"
"Lake","230,100","22,200","45,400","650","--","223","--","126","--","--"
