"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 77"

,"2018 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adair","22,100","2,700","5,900","13","7","0","*","--","--","--"
"Alfalfa","5,800","500","1,100","*","11","0","0","--","--","--"
"Atoka","13,800","1,400","3,100","7","9","0","*","--","--","--"
"Beaver","5,300","700","1,400","*","*","0","0","--","--","--"
"Beckham","21,700","2,300","5,300","28","23","11","35","--","--","--"
"Blaine","9,500","1,100","2,500","26","27","*","6","--","--","--"
"Bryan","47,200","4,900","11,100","8","94","0","14","--","--","--"
"Caddo","29,000","3,200","7,300","34","26","0","0","--","--","--"
"Canadian","144,400","17,200","37,800","108","105","62","217","--","--","--"
"Carter","48,200","5,500","12,100","42","87","*","14","--","--","--"
"Cherokee","48,700","4,800","10,700","44","53","0","9","--","--","--"
"Choctaw","14,700","1,600","3,500","6","22","0","0","--","--","--"
"Cimarron","2,200","200","500","0","*","*","0","--","--","--"
"Cleveland","281,700","28,600","60,600","158","192","*","*","--","--","--"
"Coal","5,500","600","1,300","*","7","0","0","--","--","--"
"Comanche","120,400","12,000","28,300","185","244","0","84","--","--","--"
"Cotton","5,800","600","1,300","0","13","0","0","--","--","--"
"Craig","14,300","1,500","3,200","10","28","0","18","--","--","--"
"Creek","71,600","8,000","17,200","63","80","0","*","--","--","--"
"Custer","29,000","3,100","7,200","42","35","*","48","--","--","--"
"Delaware","42,700","4,200","8,600","50","139","0","81","--","--","--"
"Dewey","4,900","600","1,300","0","*","0","*","--","--","--"
"Ellis","4,000","500","900","5","*","0","*","--","--","--"
"Garfield","60,900","6,800","15,700","133","151","0","5","--","--","--"
"Garvin","27,800","3,100","6,900","16","69","0","16","--","--","--"
"Grady","55,600","6,500","13,400","35","34","0","*","--","--","--"
"Grant","4,300","500","1,000","0","6","0","0","--","--","--"
"Greer","5,800","500","1,200","9","*","0","0","--","--","--"
"Harmon","2,700","300","700","11","13","0","0","--","--","--"
"Harper","3,800","500","1,000","*","*","0","*","--","--","--"
"Haskell","12,700","1,400","3,000","12","15","0","*","--","--","--"
"Hughes","13,300","1,300","2,900","8","21","0","6","--","--","--"
"Jackson","24,900","2,600","6,300","32","32","0","0","--","--","--"
"Jefferson","6,100","700","1,500","*","*","0","*","--","--","--"
"Johnston","10,900","1,200","2,600","5","7","0","*","--","--","--"
"Kay","44,200","5,000","11,100","145","108","*","*","--","--","--"
"Kingfisher","15,800","2,000","4,300","11","18","*","5","--","--","--"
"Kiowa","8,700","900","2,000","5","6","0","0","--","--","--"
"Latimer","10,200","1,000","2,200","6","15","0","0","--","--","--"
"Le Flore","50,000","5,700","12,000","37","21","0","11","--","--","--"
"Lincoln","34,900","4,000","8,300","18","48","0","9","--","--","--"
"Logan","47,300","5,200","10,900","43","97","0","7","--","--","--"
"Love","10,100","1,100","2,500","14","16","0","0","--","--","--"
"McClain","40,000","5,000","10,300","21","73","0","*","--","--","--"
"McCurtain","32,700","3,600","8,200","17","75","0","17","--","--","--"
"McIntosh","19,800","1,900","4,000","26","23","5","20","--","--","--"
"Major","7,600","900","1,900","5","*","0","0","--","--","--"
"Marshall","16,800","1,800","3,900","6","27","0","*","--","--","--"
"Mayes","41,100","4,500","9,600","35","57","0","26","--","--","--"
"Murray","14,000","1,500","3,200","20","32","0","*","--","--","--"
"Muskogee","68,400","7,500","16,600","80","110","*","19","--","--","--"
"Noble","11,300","1,200","2,700","7","8","0","0","--","--","--"
"Nowata","10,200","1,100","2,300","25","27","0","7","--","--","--"
"Okfuskee","12,100","1,200","2,700","20","32","0","6","--","--","--"
"Oklahoma","792,600","86,100","203,400","799","246","*","6","--","--","--"
"Okmulgee","38,300","4,200","9,000","28","38","0","*","--","--","--"
"Osage","47,000","5,000","10,200","18","69","0","10","--","--","--"
"Ottawa","31,200","3,400","7,600","49","95","*","21","--","--","--"
"Pawnee","16,400","1,800","3,900","0","18","0","0","--","--","--"
"Payne","82,000","7,100","15,800","48","129","0","46","--","--","--"
"Pittsburg","43,900","4,400","9,700","24","62","0","0","--","--","--"
"Pontotoc","38,200","4,000","9,300","87","93","0","42","--","--","--"
