"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 36"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Baker","16,100","1,400","3,200","28","46","*","48","--","--","--"
"Benton","93,100","7,300","15,000","62","93","5","94","--","--","--"
"Clackamas","418,200","42,300","88,800","240","592","40","482","--","--","--"
"Clatsop","40,200","3,400","7,500","40","131","9","129","--","--","--"
"Columbia","52,400","5,200","10,900","51","78","10","70","--","--","--"
"Coos","64,500","5,400","11,800","93","69","47","46","--","--","--"
"Crook","24,400","2,200","4,800","60","23","25","26","--","--","--"
"Curry","22,900","1,400","3,200","20","54","6","46","--","--","--"
"Deschutes","197,700","18,400","39,100","186","553","19","347","--","--","--"
"Douglas","111,000","9,700","21,400","77","185","13","228","--","--","--"
"Gilliam","1,900","200","400","*","14","0","0","--","--","--"
"Grant","7,200","600","1,300","13","13","0","9","--","--","--"
"Harney","7,400","700","1,500","10","9","*","14","--","--","--"
"Hood River","23,400","2,600","5,500","28","40","5","35","--","--","--"
"Jackson","220,900","20,400","45,100","251","384","25","227","--","--","--"
"Jefferson","24,700","2,500","5,700","53","58","7","9","--","--","--"
"Josephine","87,500","7,900","17,100","85","102","7","59","--","--","--"
"Klamath","68,200","6,300","14,700","134","126","39","27","--","--","--"
"Lake","7,900","700","1,500","15","6","*","*","--","--","--"
"Lane","382,100","32,000","69,500","179","885","14","136","--","--","--"
"Lincoln","50,000","3,800","8,200","53","100","*","71","--","--","--"
"Linn","129,700","13,100","28,900","320","230","34","470","--","--","--"
"Malheur","30,600","3,500","7,900","48","133","7","185","--","--","--"
"Marion","347,800","38,300","84,600","410","857","17","512","--","--","--"
"Morrow","11,600","1,500","3,200","5","48","0","17","--","--","--"
"Multnomah","812,900","65,500","149,700","480","781","0","1,127","--","--","--"
"Polk","86,100","9,100","19,200","70","229","9","117","--","--","--"
"Sherman","1,800","200","300","0","0","0","0","--","--","--"
"Tillamook","27,000","2,400","5,100","40","94","*","70","--","--","--"
"Umatilla","78,000","9,000","19,600","55","298","6","104","--","--","--"
"Union","26,800","2,700","5,900","37","71","*","96","--","--","--"
"Wallowa","7,200","600","1,400","8","6","0","*","--","--","--"
"Wasco","26,700","2,600","5,900","40","48","13","66","--","--","--"
"Washington","601,600","62,300","135,200","302","951","16","678","--","--","--"
"Wheeler","1,300","100","200","0","0","0","0","--","--","--"
"Yamhill","107,100","11,100","23,400","152","186","7","113","--","--","--"

"Number of Reported Cases",,,,"3,646","7,493","396","5,663","--","--","--"
"Population Represented","4,217,700","396,300","866,600","396,300","396,300","396,300","396,300","--","--","--"
"Rates for Reporting Counties",,,,"9.20","18.91","1.00","14.29","--","--","--"
"Number of Reporting Counties",,,,"36","36","36","36","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Oregon Youth Authority"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"3. Status figures include Minor in Possession of Marijuana offenses."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
