"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 67"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adams","103,000","9,700","20,400","117","52","0","--","76","--","--"
"Allegheny","1,216,000","100,400","226,600","1,327","1,118","66","--","1,407","--","--"
"Armstrong","64,700","5,800","12,400","45","13","13","--","65","--","--"
"Beaver","163,900","14,600","31,500","243","91","*","--","32","--","--"
"Bedford","47,900","4,400","9,200","39","*","*","--","56","--","--"
"Berks","421,200","43,800","93,400","409","392","0","--","275","--","--"
"Blair","121,800","11,600","24,600","233","78","0","--","90","--","--"
"Bradford","60,300","6,000","13,100","43","58","*","--","85","--","--"
"Bucks","628,300","62,800","126,800","528","139","0","--","309","--","--"
"Butler","187,900","17,400","37,000","203","8","*","--","153","--","--"
"Cambria","130,200","11,700","24,900","235","41","9","--","109","--","--"
"Cameron","4,400","300","800","5","*","5","--","0","--","--"
"Carbon","64,200","6,000","12,300","53","27","0","--","74","--","--"
"Centre","162,400","11,200","24,100","58","27","*","--","55","--","--"
"Chester","525,000","57,100","118,000","293","258","14","--","90","--","--"
"Clarion","38,400","3,200","7,200","54","8","0","--","39","--","--"
"Clearfield","79,300","6,900","14,400","99","*","31","--","66","--","--"
"Clinton","38,600","3,700","7,700","50","28","8","--","35","--","--"
"Columbia","65,000","5,500","11,400","53","35","*","--","116","--","--"
"Crawford","84,600","8,100","17,300","108","30","*","--","55","--","--"
"Cumberland","253,400","23,400","51,300","236","195","*","--","197","--","--"
"Dauphin","278,300","28,000","62,600","586","297","9","--","253","--","--"
"Delaware","566,700","56,200","124,500","934","177","*","--","280","--","--"
"Elk","29,900","2,700","5,700","12","17","0","--","7","--","--"
"Erie","269,700","26,500","57,000","379","193","25","--","243","--","--"
"Fayette","129,300","11,500","24,700","85","403","11","--","198","--","--"
"Forest","7,200","500","800","7","0","0","--","0","--","--"
"Franklin","155,000","15,900","34,200","180","129","*","--","83","--","--"
"Fulton","14,500","1,400","2,900","7","8","0","--","*","--","--"
"Greene","36,200","3,200","7,000","13","6","*","--","134","--","--"
"Huntingdon","45,100","3,900","7,900","61","*","*","--","63","--","--"
"Indiana","84,100","7,000","15,100","51","39","5","--","74","--","--"
"Jefferson","43,400","4,200","9,200","34","*","0","--","80","--","--"
"Juniata","24,800","2,600","5,500","23","*","0","--","10","--","--"
"Lackawanna","209,700","20,000","43,000","300","34","0","--","128","--","--"
"Lancaster","545,700","57,000","127,900","594","253","0","--","228","--","--"
"Lawrence","85,500","7,900","17,000","91","48","0","--","83","--","--"
"Lebanon","141,800","14,800","32,200","138","75","14","--","45","--","--"
"Lehigh","369,300","38,500","83,100","423","254","0","--","372","--","--"
"Luzerne","317,400","28,900","62,700","111","272","215","--","642","--","--"
"Lycoming","113,300","10,600","23,100","237","92","0","--","34","--","--"
"McKean","40,600","3,900","8,100","47","46","6","--","71","--","--"
"Mercer","109,400","10,200","21,000","159","25","*","--","35","--","--"
"Mifflin","46,100","4,600","10,200","67","9","0","--","18","--","--"
"Monroe","170,300","16,700","33,100","185","8","*","--","83","--","--"
"Montgomery","830,900","83,700","178,500","620","364","*","--","264","--","--"
"Montour","18,200","1,700","3,700","25","*","0","--","8","--","--"
"Northampton","305,300","29,600","60,200","384","361","0","--","182","--","--"
"Northumberland","90,800","8,300","17,800","86","145","*","--","97","--","--"
"Perry","46,300","4,500","9,900","37","23","*","--","*","--","--"
"Philadelphia","1,584,100","140,900","342,200","1,898","295","*","--","2,285","--","--"
"Pike","55,800","5,200","9,700","64","*","*","--","32","--","--"
"Potter","16,500","1,600","3,300","27","6","*","--","7","--","--"
"Schuylkill","141,400","13,500","27,800","112","123","10","--","592","--","--"
"Snyder","40,400","4,000","8,400","35","27","*","--","11","--","--"
"Somerset","73,400","6,200","13,000","39","34","0","--","92","--","--"
"Sullivan","6,100","300","600","*","0","0","--","*","--","--"
"Susquehanna","40,300","3,600","7,400","10","27","0","--","34","--","--"
"Tioga","40,600","3,700","8,100","42","*","*","--","70","--","--"
"Union","44,900","3,700","7,900","12","*","*","--","12","--","--"
"Venango","50,700","4,600","9,700","99","69","0","--","60","--","--"
"Warren","39,200","3,500","7,600","55","8","0","--","12","--","--"
"Washington","206,900","18,600","40,200","206","187","5","--","146","--","--"
"Wayne","51,400","4,000","8,400","20","19","0","--","38","--","--"
"Westmoreland","348,900","30,600","63,600","450","142","15","--","148","--","--"
"Wyoming","26,800","2,500","5,200","40","*","*","--","38","--","--"
"York","449,100","46,200","98,700","477","688","*","--","371","--","--"

"Number of Reported Cases",,,,"13,895","7,524","517","--","11,055","--","--"
"Population Represented","12,802,000","1,210,600","2,634,600","1,210,600","1,210,600","1,210,600","--","2,634,600","--","--"
"Rates for Reporting Counties",,,,"11.48","6.21","0.43","--","4.20","--","--"
"Number of Reporting Counties",,,,"67","67","67","--","67","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"(status and dependency figures)"
"Source: Administrative Office of Pennsylvania Courts"
"Mode: Caseload Statistics of the Unified Judicial System of Pennsylvania"
"1. Status figures are petitions processed for 2019."
"2. Dependency figures are petitions processed for 2019."
"(delinquency figures)"
"Source: Juvenile Court Judges' Commission"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Figures presented here do not match those found in the Pennsylvania 2019 Juvenile Court Annual Report, due to differing units of count."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
