"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 46"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Abbeville","24,500","2,100","4,600","31","15","*","0","--","--","--"
"Aiken","170,900","14,900","34,400","178","187","49","0","--","--","--"
"Allendale","8,700","700","1,500","10","27","*","0","--","--","--"
"Anderson","202,600","18,700","43,300","234","202","25","21","--","--","--"
"Bamberg","14,100","1,100","2,500","6","9","*","*","--","--","--"
"Barnwell","20,900","2,000","4,600","56","51","*","*","--","--","--"
"Beaufort","192,100","13,900","33,100","170","134","39","37","--","--","--"
"Berkeley","227,900","21,700","51,300","403","193","85","19","--","--","--"
"Calhoun","14,600","1,100","2,600","25","*","17","0","--","--","--"
"Charleston","411,400","30,100","75,900","811","225","102","23","--","--","--"
"Cherokee","57,300","5,300","12,300","103","50","45","18","--","--","--"
"Chester","32,200","3,000","6,800","44","66","*","0","--","--","--"
"Chesterfield","45,600","4,100","9,400","53","53","22","*","--","--","--"
"Clarendon","33,700","2,700","5,900","32","29","0","0","--","--","--"
"Colleton","37,700","3,400","8,000","31","66","*","5","--","--","--"
"Darlington","66,600","6,000","13,800","119","88","14","8","--","--","--"
"Dillon","30,500","3,200","7,300","112","54","5","*","--","--","--"
"Dorchester","162,800","16,400","37,100","284","253","106","*","--","--","--"
"Edgefield","27,300","2,200","4,500","18","33","8","*","--","--","--"
"Fairfield","22,300","1,800","4,000","45","33","0","0","--","--","--"
"Florence","138,300","13,400","30,600","221","248","5","0","--","--","--"
"Georgetown","62,700","4,800","10,600","81","22","10","*","--","--","--"
"Greenville","523,500","47,900","113,500","831","378","117","15","--","--","--"
"Greenwood","70,800","6,400","15,100","150","147","9","36","--","--","--"
"Hampton","19,200","1,700","3,800","40","27","7","*","--","--","--"
"Horry","354,100","25,500","58,600","459","468","170","80","--","--","--"
"Jasper","30,100","2,300","5,700","26","50","0","15","--","--","--"
"Kershaw","66,600","6,500","14,500","59","36","12","23","--","--","--"
"Lancaster","98,000","8,300","20,100","69","135","*","8","--","--","--"
"Laurens","67,500","6,000","14,000","98","34","7","10","--","--","--"
"Lee","16,800","1,400","3,100","9","11","0","0","--","--","--"
"Lexington","298,800","28,700","64,800","214","360","45","21","--","--","--"
"McCormick","9,500","500","1,000","*","*","0","*","--","--","--"
"Marion","30,700","2,800","6,500","95","110","14","*","--","--","--"
"Marlboro","26,100","2,100","4,900","34","35","55","*","--","--","--"
"Newberry","38,400","3,300","7,700","64","57","19","0","--","--","--"
"Oconee","79,500","6,700","14,900","70","28","10","5","--","--","--"
"Orangeburg","86,200","7,700","17,700","207","53","44","0","--","--","--"
"Pickens","126,900","9,700","22,200","148","85","20","7","--","--","--"
"Richland","415,800","35,700","83,900","624","163","11","*","--","--","--"
"Saluda","20,500","1,700","4,100","13","28","8","5","--","--","--"
"Spartanburg","319,800","29,800","69,600","264","125","20","8","--","--","--"
"Sumter","106,700","9,900","24,000","150","185","15","24","--","--","--"
"Union","27,300","2,400","5,500","77","49","51","*","--","--","--"
"Williamsburg","30,400","2,600","5,800","44","25","8","0","--","--","--"
"York","281,000","27,800","63,800","398","249","48","11","--","--","--"

"Number of Reported Cases",,,,"7,212","4,881","1,232","425","--","--","--"
"Population Represented","5,148,700","449,600","1,048,900","449,600","449,600","449,600","449,600","--","--","--"
"Rates for Reporting Counties",,,,"16.04","10.86","2.74","0.95","--","--","--"
"Number of Reporting Counties",,,,"46","46","46","46","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Department of Juvenile Justice"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed. "
"2. Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
