"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 66"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Aurora","2,800","300","700","*","--","*","--","--","--","--"
"Beadle","18,500","2,000","5,000","85","--","11","--","--","--","--"
"Bennett","3,400","500","1,100","28","--","7","--","--","--","--"
"Bon Homme","6,900","600","1,300","16","--","6","--","--","--","--"
"Brookings","35,100","3,100","7,200","68","--","23","--","--","--","--"
"Brown","38,800","4,100","9,200","85","--","16","--","--","--","--"
"Brule","5,300","600","1,400","26","--","7","--","--","--","--"
"Buffalo","2,000","300","800","0","--","0","--","--","--","--"
"Butte","10,400","1,200","2,600","54","--","15","--","--","--","--"
"Campbell","1,400","100","200","0","--","0","--","--","--","--"
"Charles Mix","9,300","1,100","2,800","39","--","24","--","--","--","--"
"Clark","3,700","300","1,000","*","--","0","--","--","--","--"
"Clay","14,100","1,000","2,500","33","--","*","--","--","--","--"
"Codington","28,000","3,100","6,600","57","--","59","--","--","--","--"
"Corson","4,100","600","1,500","0","--","0","--","--","--","--"
"Custer","9,000","700","1,300","6","--","*","--","--","--","--"
"Davison","19,800","2,100","4,600","71","--","26","--","--","--","--"
"Day","5,400","600","1,200","19","--","8","--","--","--","--"
"Deuel","4,400","500","1,000","0","--","12","--","--","--","--"
"Dewey","5,900","800","2,200","0","--","0","--","--","--","--"
"Douglas","2,900","300","800","*","--","7","--","--","--","--"
"Edmunds","3,800","400","900","*","--","*","--","--","--","--"
"Fall River","6,700","500","1,100","22","--","20","--","--","--","--"
"Faulk","2,300","200","600","*","--","*","--","--","--","--"
"Grant","7,100","700","1,600","7","--","*","--","--","--","--"
"Gregory","4,200","500","1,000","*","--","*","--","--","--","--"
"Haakon","1,900","200","400","0","--","0","--","--","--","--"
"Hamlin","6,200","900","2,000","9","--","*","--","--","--","--"
"Hand","3,200","300","700","0","--","*","--","--","--","--"
"Hanson","3,500","500","1,000","*","--","*","--","--","--","--"
"Harding","1,300","100","300","*","--","0","--","--","--","--"
"Hughes","17,500","1,800","4,200","39","--","46","--","--","--","--"
"Hutchinson","7,300","700","1,800","11","--","10","--","--","--","--"
"Hyde","1,300","100","300","0","--","*","--","--","--","--"
"Jackson","3,300","400","1,200","*","--","*","--","--","--","--"
"Jerauld","2,000","200","500","0","--","*","--","--","--","--"
"Jones","900","100","200","0","--","*","--","--","--","--"
"Kingsbury","4,900","500","1,200","*","--","*","--","--","--","--"
"Lake","12,800","1,200","2,600","7","--","5","--","--","--","--"
"Lawrence","25,800","2,200","4,500","61","--","62","--","--","--","--"
"Lincoln","61,100","7,600","16,900","95","--","37","--","--","--","--"
"Lyman","3,800","500","1,100","*","--","*","--","--","--","--"
"McCook","5,600","700","1,600","6","--","*","--","--","--","--"
"McPherson","2,400","300","600","7","--","*","--","--","--","--"
"Marshall","4,900","500","1,200","*","--","0","--","--","--","--"
"Meade","28,300","3,000","6,300","77","--","15","--","--","--","--"
"Mellette","2,100","300","600","6","--","*","--","--","--","--"
"Miner","2,200","200","500","*","--","*","--","--","--","--"
"Minnehaha","193,100","20,200","48,700","952","--","786","--","--","--","--"
"Moody","6,600","800","1,700","22","--","25","--","--","--","--"
"Oglala Lakota","14,200","2,300","5,200","--","--","--","--","--","--","--"
"Pennington","113,800","11,500","26,000","576","--","320","--","--","--","--"
"Perkins","2,900","300","600","0","--","*","--","--","--","--"
"Potter","2,200","200","500","*","--","*","--","--","--","--"
"Roberts","10,400","1,200","3,000","44","--","53","--","--","--","--"
"Sanborn","2,300","200","600","*","--","*","--","--","--","--"
"Spink","6,400","700","1,500","13","--","19","--","--","--","--"
"Stanley","3,100","300","800","*","--","10","--","--","--","--"
"Sully","1,400","100","300","7","--","*","--","--","--","--"
"Todd","10,200","1,800","4,200","0","--","0","--","--","--","--"
"Tripp","5,400","500","1,300","20","--","8","--","--","--","--"
"Turner","8,400","1,000","2,000","13","--","16","--","--","--","--"
"Union","15,900","1,800","3,900","42","--","21","--","--","--","--"
"Walworth","5,400","600","1,300","5","--","7","--","--","--","--"
"Yankton","22,800","2,200","4,800","85","--","37","--","--","--","--"
"Ziebach","2,800","400","800","0","--","0","--","--","--","--"

"Number of Reported Cases",,,,"2,746","--","1,768","--","--","--","--"
"Population Represented","884,700","95,000","217,100","92,700","--","92,700","--","--","--","--"
"Rates for Reporting Counties",,,,"29.61","--","19.06","--","--","--","--"
"Number of Reporting Counties",,,,"65","--","65","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Unified Judicial System"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed. "
"2. Status figures are cases disposed. "
"3. Oglala Lakota County is an American Indian reservation that handles juvenile matters in the tribal court, which is not part of the State's juvenile court system."
"4. Beginning in 2018, these delinquency and status figures include juvenile citations."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
