"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 95"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Anderson","77,000","7,800","16,300","328","42","68","10","8","176","--"
"Bedford","49,700","5,900","12,600","222","43","74","64","0","0","--"
"Benton","16,200","1,500","3,200","8","24","0","*","0","0","--"
"Bledsoe","15,100","1,100","2,200","--","--","--","--","0","0","--"
"Blount","133,100","12,800","26,500","--","--","--","--","0","37","--"
"Bradley","108,100","11,100","23,600","11","451","*","293","*","*","--"
"Campbell","39,800","3,800","8,100","--","--","--","--","0","0","--"
"Cannon","14,700","1,400","3,200","11","18","*","*","52","0","--"
"Carroll","27,800","2,700","6,000","12","39","*","47","59","*","--"
"Carter","56,400","5,000","10,200","--","--","--","--","*","*","--"
"Cheatham","40,700","4,300","8,900","51","32","153","19","*","59","--"
"Chester","17,300","1,800","3,800","20","41","21","44","36","59","--"
"Claiborne","32,000","2,800","6,100","35","23","53","28","*","0","--"
"Clay","7,600","700","1,500","*","6","*","48","0","0","--"
"Cocke","36,000","3,500","7,300","--","--","--","--","63","24","--"
"Coffee","56,500","6,300","13,600","--","--","--","--","0","10","--"
"Crockett","14,200","1,600","3,300","31","9","11","5","6","0","--"
"Cumberland","60,500","4,800","10,400","89","65","47","26","*","12","--"
"Davidson","694,100","58,000","143,100","796","1,596","278","*","644","185","--"
"Decatur","11,700","1,200","2,400","--","--","--","--","14","8","--"
"De Kalb","20,500","2,100","4,400","6","16","7","9","0","0","--"
"Dickson","53,900","5,700","12,300","17","96","11","92","58","36","--"
"Dyer","37,200","4,100","8,800","142","22","100","37","0","0","--"
"Fayette","41,100","3,500","7,600","46","80","*","15","6","45","--"
"Fentress","18,500","1,800","3,800","--","--","--","--","0","0","--"
"Franklin","42,200","4,000","8,300","105","38","63","57","0","0","--"
"Gibson","49,100","5,400","11,800","169","36","111","61","114","59","--"
"Giles","29,500","2,900","6,100","64","70","51","18","7","59","--"
"Grainger","23,300","2,300","4,700","13","0","48","0","59","*","--"
"Greene","69,100","6,500","13,300","113","61","73","93","19","74","--"
"Grundy","13,400","1,400","2,900","*","33","34","22","0","0","--"
"Hamblen","64,900","6,900","14,900","136","315","15","69","126","89","--"
"Hamilton","367,800","33,800","76,000","1,517","590","253","162","267","41","--"
"Hancock","6,600","700","1,400","--","--","--","--","0","0","--"
"Hardeman","25,000","2,200","4,800","94","*","17","0","0","0","--"
"Hardin","25,700","2,500","5,200","26","33","78","37","0","0","--"
"Hawkins","56,800","5,500","11,100","56","81","33","114","15","125","--"
