"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 254"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Anderson","57,700","4,400","10,300","17","18","0","0","--","--","--"
"Andrews","18,700","2,300","5,500","20","37","0","0","--","--","--"
"Angelina","86,700","8,900","20,800","72","111","0","0","--","--","--"
"Aransas","23,500","1,700","3,900","9","23","0","0","--","--","--"
"Archer","8,600","800","1,700","0","*","0","0","--","--","--"
"Armstrong","1,900","200","400","0","0","0","0","--","--","--"
"Atascosa","51,200","5,500","13,100","36","66","0","*","--","--","--"
"Austin","30,000","3,000","6,800","18","22","0","0","--","--","--"
"Bailey","7,000","900","2,000","6","20","0","0","--","--","--"
"Bandera","23,100","1,600","3,600","6","22","0","*","--","--","--"
"Bastrop","88,700","9,200","21,200","80","157","0","8","--","--","--"
"Baylor","3,500","300","800","*","0","0","0","--","--","--"
"Bee","32,600","2,800","6,500","36","33","0","0","--","--","--"
"Bell","362,900","36,700","95,000","258","351","0","*","--","--","--"
"Bexar","2,003,600","198,600","478,600","1,701","2,414","0","13","--","--","--"
"Blanco","11,900","900","2,000","*","0","0","0","--","--","--"
"Borden","700","100","100","0","0","0","0","--","--","--"
"Bosque","18,700","1,600","3,700","16","7","0","*","--","--","--"
"Bowie","93,200","8,700","20,800","82","89","0","0","--","--","--"
"Brazoria","374,300","39,400","92,200","458","449","*","16","--","--","--"
"Brazos","229,200","17,700","44,800","311","162","16","106","--","--","--"
"Brewster","9,200","700","1,600","0","6","0","*","--","--","--"
"Briscoe","1,500","100","300","0","0","0","0","--","--","--"
"Brooks","7,100","700","1,900","27","6","0","0","--","--","--"
"Brown","37,900","3,500","7,600","22","44","0","*","--","--","--"
"Burleson","18,400","1,600","3,800","23","*","0","0","--","--","--"
"Burnet","48,200","4,200","9,500","32","50","*","11","--","--","--"
"Caldwell","43,700","4,100","9,400","82","64","0","*","--","--","--"
"Calhoun","21,300","2,000","4,800","37","27","0","0","--","--","--"
"Callahan","13,900","1,200","2,900","16","17","0","0","--","--","--"
"Cameron","423,200","50,200","119,000","764","362","10","144","--","--","--"
"Camp","13,100","1,400","3,200","*","8","0","*","--","--","--"
"Carson","5,900","600","1,300","*","7","0","0","--","--","--"
"Cass","30,000","2,700","6,300","7","13","0","0","--","--","--"
"Castro","7,500","900","2,000","0","0","0","0","--","--","--"
"Chambers","43,800","5,000","11,500","9","0","0","0","--","--","--"
