"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 133"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Accomack","32,300","3,000","6,700","40","32","17","15","--","--","--"
"Albemarle","109,300","9,800","21,600","104","86","32","53","--","--","--"
"Alleghany","14,900","1,300","2,700","35","32","47","11","--","--","--"
"Amelia","13,100","1,300","2,700","22","14","*","0","--","--","--"
"Amherst","31,600","2,800","6,100","72","*","44","*","--","--","--"
"Appomattox","15,900","1,500","3,300","57","5","39","21","--","--","--"
"Arlington","236,800","17,000","43,000","345","55","65","70","--","--","--"
"Augusta","75,600","7,000","14,000","144","20","108","23","--","--","--"
"Bath","4,100","300","600","*","*","6","0","--","--","--"
"Bedford","79,000","7,600","15,500","167","18","241","17","--","--","--"
"Bland","6,300","500","900","*","*","13","22","--","--","--"
"Botetourt","33,400","3,200","6,300","68","17","46","9","--","--","--"
"Brunswick","16,200","1,300","2,700","25","15","*","0","--","--","--"
"Buchanan","21,000","1,800","3,600","41","15","23","60","--","--","--"
"Buckingham","17,100","1,500","3,000","35","10","17","0","--","--","--"
"Campbell","54,900","4,900","10,600","63","9","24","55","--","--","--"
"Caroline","30,700","3,000","7,000","42","56","24","12","--","--","--"
"Carroll","29,800","2,600","5,300","47","42","25","34","--","--","--"
"Charles City","7,000","500","1,000","*","*","*","*","--","--","--"
"Charlotte","11,900","1,200","2,500","13","14","*","*","--","--","--"
"Chesterfield","352,800","39,000","83,000","849","751","66","61","--","--","--"
"Clarke","14,600","1,500","2,900","22","5","*","0","--","--","--"
"Craig","5,100","500","900","7","7","10","6","--","--","--"
"Culpeper","52,600","6,000","13,000","125","42","68","12","--","--","--"
"Cumberland","9,900","900","1,900","17","8","*","*","--","--","--"
"Dickenson","14,300","1,300","2,800","26","14","25","56","--","--","--"
"Dinwiddie","28,500","2,700","5,700","33","23","7","5","--","--","--"
"Essex","11,000","1,000","2,000","20","11","21","9","--","--","--"
"Fairfax","1,147,500","121,200","266,800","1,243","414","115","124","--","--","--"
"Fauquier","71,200","7,800","16,500","76","49","26","14","--","--","--"
"Floyd","15,700","1,500","3,000","18","18","*","10","--","--","--"
"Fluvanna","27,300","2,600","5,400","22","11","24","*","--","--","--"
"Franklin","56,000","5,100","10,500","202","30","169","32","--","--","--"
"Frederick","89,300","9,600","20,300","199","34","20","30","--","--","--"
"Giles","16,700","1,600","3,400","29","20","8","15","--","--","--"
"Gloucester","37,300","3,400","7,400","48","32","6","8","--","--","--"
"Goochland","23,800","2,100","4,100","12","7","21","5","--","--","--"
"Grayson","15,600","1,200","2,600","14","9","9","13","--","--","--"
"Greene","19,800","2,200","4,700","25","21","25","6","--","--","--"
"Greensville","11,300","900","1,900","30","*","7","0","--","--","--"
"Halifax","33,900","3,300","6,800","93","76","12","0","--","--","--"
"Hanover","107,800","11,600","23,300","209","131","48","71","--","--","--"
"Henrico","330,800","34,200","74,200","787","458","148","29","--","--","--"
"Henry","50,600","4,700","9,700","80","53","20","26","--","--","--"
"Highland","2,200","100","300","5","*","*","*","--","--","--"
"Isle Of Wight","37,100","3,700","7,700","41","29","5","*","--","--","--"
"James City","76,500","7,300","15,100","145","76","28","49","--","--","--"
"King And Queen","7,000","600","1,200","*","*","0","8","--","--","--"
"King George","26,800","3,200","6,600","37","8","18","*","--","--","--"
"King William","17,100","1,800","3,900","26","11","0","9","--","--","--"
"Lancaster","10,600","800","1,600","16","18","24","*","--","--","--"
"Lee","23,400","2,100","4,300","30","20","59","69","--","--","--"
"Loudoun","413,500","54,300","115,300","315","595","36","105","--","--","--"
"Louisa","37,600","3,400","7,500","94","44","24","6","--","--","--"
"Lunenburg","12,200","1,000","2,300","60","25","17","22","--","--","--"
"Madison","13,300","1,300","2,700","16","9","13","10","--","--","--"
"Mathews","8,800","700","1,400","10","12","6","13","--","--","--"
"Mecklenburg","30,600","2,700","5,700","92","26","25","11","--","--","--"
"Middlesex","10,600","800","1,700","28","7","*","*","--","--","--"
