"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 39"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adams","20,000","3,100","7,200","16","112","23","6","*","--","--"
"Asotin","22,600","2,100","4,500","64","42","68","10","0","--","--"
"Benton","204,400","24,700","54,300","456","658","356","56","83","--","--"
"Chelan","77,200","8,100","17,900","142","79","274","26","48","--","--"
"Clallam","77,300","5,800","12,900","159","113","317","38","0","--","--"
"Clark","488,200","53,800","114,700","548","697","1,132","77","123","--","--"
"Columbia","4,000","300","700","*","*","13","0","0","--","--"
"Cowlitz","110,600","11,400","25,200","213","213","607","12","151","--","--"
"Douglas","43,400","5,200","11,200","44","97","144","15","0","--","--"
"Ferry","7,600","500","1,300","12","19","9","*","0","--","--"
"Franklin","95,200","13,500","30,500","209","301","320","7","34","--","--"
"Garfield","2,200","200","500","*","0","0","0","0","--","--"
"Grant","97,700","13,000","28,700","182","482","291","23","114","--","--"
"Grays Harbor","75,100","7,000","15,300","176","183","172","39","0","--","--"
"Island","85,100","6,200","15,400","36","66","109","*","0","--","--"
"Jefferson","32,200","1,800","3,800","18","21","24","*","22","--","--"
"King","2,252,800","196,500","451,600","--","--","--","--","--","--","--"
"Kitsap","271,500","24,200","54,900","244","251","263","15","99","--","--"
"Kittitas","47,900","3,600","8,100","64","55","38","5","*","--","--"
"Klickitat","22,400","2,000","4,300","29","47","45","16","0","--","--"
"Lewis","80,700","7,700","17,200","186","217","315","24","0","--","--"
"Lincoln","10,900","1,100","2,400","14","20","51","*","0","--","--"
"Mason","66,800","5,800","13,000","66","37","140","*","0","--","--"
"Okanogan","42,200","4,400","9,800","125","72","219","6","22","--","--"
"Pacific","22,500","1,600","3,400","38","35","29","7","*","--","--"
"Pend Oreille","13,700","1,300","2,600","16","32","41","14","*","--","--"
"Pierce","905,000","90,900","210,500","736","1,586","1,569","49","591","--","--"
"San Juan","17,600","1,100","2,200","6","21","*","*","0","--","--"
"Skagit","129,200","12,500","27,800","215","157","435","16","12","--","--"
"Skamania","12,100","1,100","2,200","6","18","27","*","0","--","--"
"Snohomish","822,100","81,200","184,100","548","494","1,911","23","31","--","--"
"Spokane","522,800","51,500","114,900","816","809","2,814","34","7","--","--"
"Stevens","45,700","4,600","9,700","54","99","103","6","0","--","--"
"Thurston","290,500","27,500","61,700","482","258","716","20","69","--","--"
"Wahkiakum","4,500","400","800","*","*","0","0","0","--","--"
"Walla Walla","60,800","5,900","12,600","91","131","202","6","0","--","--"
"Whatcom","229,200","19,700","44,000","218","151","502","21","151","--","--"
"Whitman","50,100","3,300","7,500","29","32","67","*","0","--","--"
"Yakima","250,900","33,200","74,000","623","580","267","17","128","--","--"

"Number of Reported Cases",,,,"6,889","8,192","13,617","609","1,695","--","--"
"Population Represented","7,614,900","737,800","1,663,100","541,400","541,400","541,400","541,400","1,211,400","--","--"
"Rates for Reporting Counties",,,,"12.73","15.13","25.15","1.12","1.40","--","--"
"Number of Reporting Counties",,,,"38","38","38","38","38","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Office of the Administrator for the Courts"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"3. Dependency figures are cases disposed."
"4. Differences in data entry practices among the juvenile courts may contribute to variations in the data."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
