"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 72"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Adams","20,200","1,300","2,700","50","--","90","--","24","--","--"
"Ashland","15,600","1,400","3,200","59","--","51","--","21","--","--"
"Barron","45,200","4,000","9,200","36","--","23","--","100","--","--"
"Bayfield","15,000","1,100","2,400","20","--","15","--","10","--","--"
"Brown","264,500","24,900","58,700","220","--","28","--","130","--","--"
"Buffalo","13,000","1,100","2,500","15","--","13","--","24","--","--"
"Burnett","15,400","1,100","2,500","9","--","36","--","38","--","--"
"Calumet","50,100","5,100","10,900","54","--","21","--","25","--","--"
"Chippewa","64,700","5,900","13,300","80","--","97","--","59","--","--"
"Clark","34,800","4,000","9,700","69","--","41","--","21","--","--"
"Columbia","57,500","5,000","11,300","63","--","29","--","29","--","--"
"Crawford","16,100","1,400","3,000","27","--","25","--","10","--","--"
"Dane","546,700","43,300","104,200","551","--","30","--","118","--","--"
"Dodge","87,800","7,400","16,100","65","--","74","--","51","--","--"
"Door","27,700","2,000","4,200","39","--","28","--","10","--","--"
"Douglas","43,200","3,500","8,000","163","--","193","--","87","--","--"
"Dunn","45,400","3,600","8,400","106","--","175","--","56","--","--"
"Eau Claire","104,600","8,200","19,900","116","--","164","--","92","--","--"
"Florence","4,300","300","600","*","--","8","--","0","--","--"
"Fond Du Lac","103,400","9,200","20,700","108","--","40","--","109","--","--"
"Forest","9,000","700","1,700","47","--","55","--","44","--","--"
"Grant","51,400","4,400","10,000","97","--","115","--","39","--","--"
"Green","37,000","3,600","7,700","91","--","83","--","28","--","--"
"Green Lake","18,900","1,700","3,900","17","--","6","--","22","--","--"
"Iowa","23,700","2,200","5,000","28","--","31","--","7","--","--"
"Iron","5,700","400","800","10","--","*","--","17","--","--"
"Jackson","20,600","1,800","4,200","11","--","49","--","31","--","--"
"Jefferson","84,800","7,500","16,500","49","--","20","--","75","--","--"
"Juneau","26,700","2,200","5,000","14","--","6","--","32","--","--"
