"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 55"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Barbour","16,400","1,500","3,200","9","0","0","0","152","--","--"
"Berkeley","119,200","12,600","27,500","101","*","9","21","105","--","--"
"Boone","21,500","2,200","4,400","39","0","206","45","177","--","--"
"Braxton","14,000","1,200","2,700","7","0","*","0","107","--","--"
"Brooke","21,900","1,900","3,800","9","0","9","78","30","--","--"
"Cabell","91,900","8,100","18,100","54","0","70","410","265","--","--"
"Calhoun","7,100","600","1,300","12","0","0","22","37","--","--"
"Clay","8,500","900","1,900","*","0","0","0","52","--","--"
"Doddridge","8,400","600","1,300","5","0","0","0","32","--","--"
"Fayette","42,400","3,900","8,700","6","0","0","0","200","--","--"
"Gilmer","7,800","500","1,100","*","0","0","0","24","--","--"
"Grant","11,600","1,000","2,200","7","0","0","0","49","--","--"
"Greenbrier","34,700","3,100","6,800","21","*","24","55","73","--","--"
"Hampshire","23,200","2,100","4,200","17","5","*","0","68","--","--"
"Hancock","28,800","2,700","5,500","22","0","15","20","42","--","--"
"Hardy","13,800","1,300","2,800","7","14","*","*","34","--","--"
"Harrison","67,300","6,600","14,200","50","18","118","13","221","--","--"
"Jackson","28,600","2,900","6,000","11","*","*","433","134","--","--"
"Jefferson","57,100","6,100","12,600","58","0","*","0","46","--","--"
"Kanawha","178,100","16,400","35,600","458","41","784","16","769","--","--"
"Lewis","15,900","1,500","3,300","12","0","0","0","78","--","--"
"Lincoln","20,400","2,100","4,500","11","*","18","0","118","--","--"
"Logan","32,000","3,000","6,600","10","*","--","*","188","--","--"
"McDowell","17,600","1,600","3,600","*","0","0","0","62","--","--"
"Marion","56,100","5,000","11,200","40","*","32","63","199","--","--"
"Marshall","30,500","2,800","5,800","41","34","9","26","60","--","--"
"Mason","26,500","2,600","5,500","8","0","9","507","95","--","--"
"Mercer","58,800","5,400","12,200","61","0","--","36","212","--","--"
"Mineral","26,900","2,500","5,300","24","*","15","0","59","--","--"
"Mingo","23,400","2,300","5,200","6","0","*","0","96","--","--"
"Monongalia","105,600","7,100","17,300","22","28","6","124","253","--","--"
"Monroe","13,300","1,200","2,600","7","0","*","10","14","--","--"
"Morgan","17,900","1,600","3,200","15","11","0","25","35","--","--"
"Nicholas","24,500","2,300","5,000","21","0","13","0","159","--","--"
"Ohio","41,400","3,600","7,900","14","*","6","0","133","--","--"
"Pendleton","7,000","600","1,300","5","*","*","9","*","--","--"
"Pleasants","7,500","600","1,400","15","0","*","*","29","--","--"
"Pocahontas","8,200","600","1,400","*","0","7","*","20","--","--"
"Preston","33,400","2,900","6,400","*","0","*","19","139","--","--"
"Putnam","56,400","6,000","12,400","23","0","76","31","82","--","--"
"Raleigh","73,400","7,000","15,200","81","0","132","0","281","--","--"
"Randolph","28,700","2,400","5,400","21","6","26","215","190","--","--"
"Ritchie","9,600","900","1,900","10","0","*","*","33","--","--"
"Roane","13,700","1,400","2,800","16","0","*","377","69","--","--"
"Summers","12,600","1,000","2,000","12","0","*","0","17","--","--"
"Taylor","16,700","1,600","3,300","13","0","0","0","119","--","--"
"Tucker","6,800","500","1,000","*","0","*","0","31","--","--"
"Tyler","8,600","800","1,700","5","0","0","0","30","--","--"
"Upshur","24,200","2,300","4,900","15","8","5","0","80","--","--"
"Wayne","39,400","3,900","7,900","26","0","43","114","93","--","--"
"Webster","8,100","800","1,600","*","0","0","0","51","--","--"
"Wetzel","15,100","1,400","3,000","16","0","0","0","20","--","--"
"Wirt","5,800","600","1,200","*","0","12","*","9","--","--"
"Wood","83,500","8,000","17,500","65","*","103","26","254","--","--"
"Wyoming","20,400","2,100","4,200","24","0","22","0","60","--","--"

"Number of Reported Cases",,,,"1,551","187","1,802","2,710","5,989","--","--"
"Population Represented","1,792,100","166,300","359,600","166,300","166,300","158,000","166,300","359,600","--","--"
"Rates for Reporting Counties",,,,"9.33","1.12","11.41","16.30","16.66","--","--"
"Number of Reporting Counties",,,,"55","55","53","55","55","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: West Virginia Supreme Court of Appeals Administrative Office, Court Services Division"
"Mode: Automated data file (delinquency and status figures), 2019 Annual Report (dependency figures)"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"3. Dependency figures are petitioned case filings for fiscal year 2019."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
