"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","38,900","2,700","6,300","27","--","0","--","16","--","--"
"Big Horn","11,800","1,400","2,900","5","--","5","--","11","--","--"
"Campbell","46,300","5,700","12,600","83","--","19","--","94","--","--"
"Carbon","14,800","1,500","3,400","15","--","6","--","37","--","--"
"Converse","13,800","1,500","3,400","17","--","5","--","15","--","--"
"Crook","7,600","800","1,900","8","--","*","--","7","--","--"
"Fremont","39,300","4,600","10,000","47","--","8","--","53","--","--"
"Goshen","13,200","1,200","2,600","13","--","7","--","11","--","--"
"Hot Springs","4,400","400","900","*","--","0","--","5","--","--"
"Johnson","8,400","900","1,800","8","--","0","--","13","--","--"
"Laramie","99,500","10,300","22,900","86","--","30","--","97","--","--"
"Lincoln","19,800","2,500","5,200","7","--","*","--","6","--","--"
"Natrona","79,900","8,600","19,100","62","--","*","--","131","--","--"
"Niobrara","2,400","200","400","0","--","*","--","*","--","--"
"Park","29,200","2,800","6,000","17","--","*","--","13","--","--"
"Platte","8,400","800","1,700","18","--","7","--","9","--","--"
"Sheridan","30,500","3,100","6,400","12","--","*","--","36","--","--"
"Sublette","9,800","1,100","2,200","*","--","*","--","11","--","--"
"Sweetwater","42,300","5,200","11,000","69","--","34","--","56","--","--"
"Teton","23,500","1,900","4,200","12","--","*","--","6","--","--"
"Uinta","20,200","2,700","5,800","16","--","*","--","11","--","--"
"Washakie","7,800","900","1,800","10","--","*","--","12","--","--"
"Weston","6,900","600","1,400","5","--","*","--","14","--","--"

"Number of Reported Cases",,,,"540","--","147","--","666","--","--"
"Population Represented","578,800","61,500","133,700","61,500","--","61,500","--","133,700","--","--"
"Rates for Reporting Counties",,,,"8.78","--","2.39","--","4.98","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Wyoming District Court"
"Mode: District Court Statistical Tables"
"1. Delinquency figures are cases petitioned for fiscal year 2019."
"2. Status figures are cases petitioned for fiscal year 2019."
"3. Dependency figures are abuse and/or neglect petitions and Department of Family Services termination of parental rights petitions for fiscal year 2019."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
